time,open,high,low,close,volume,note
2010-01-04,8.0300,8.1500,7.9200,7.9300,243569126,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-02-26,4.1000,4.1600,4.1000,4.1200,158673813,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-02-27,4.1300,4.1400,4.1000,4.1300,126832206,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-02-28,4.1200,4.1500,4.1200,4.1200,191519435,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-03,4.1100,4.1500,4.1000,4.1500,167553192,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-04,4.1400,4.1600,4.1200,4.1500,110070607,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-05,4.1600,4.2200,4.1500,4.2000,199319032,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-06,4.2100,4.2200,4.1300,4.1400,252091978,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-07,4.1400,4.1600,4.1300,4.1300,116774571,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-10,4.1300,4.1300,4.0800,4.1000,155260604,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-11,4.0900,4.1100,4.0800,4.1100,103157637,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-12,4.1100,4.1200,4.0900,4.1000,80752947,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-13,4.1000,4.1300,4.0900,4.1200,117859436,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-14,4.1200,4.1700,4.1100,4.1600,185862763,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-17,4.1600,4.1800,4.1500,4.1600,116374890,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-18,4.1700,4.1700,4.1400,4.1500,92027982,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-19,4.1500,4.1700,4.1400,4.1600,127397308,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-20,4.1600,4.1900,4.1300,4.1400,173125247,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-21,4.1400,4.1600,4.0800,4.0900,200589423,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-24,4.0900,4.1200,4.0700,4.0800,164982452,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-25,4.0900,4.1000,4.0700,4.0800,115748535,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-26,4.0800,4.0900,4.0400,4.0400,228757437,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-27,4.0400,4.0500,4.0300,4.0400,129207920,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
