time,open,high,low,close,volume,note
2018-01-02,49.9800,50.1900,49.0300,49.3100,4471440,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-06-27,97.1200,98.9700,96.8000,97.0600,6747802,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-06-28,97.0500,98.8000,94.1000,98.0000,7646048,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-06-29,97.0000,98.5900,94.8000,94.9200,6014990,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-06-30,95.0000,97.7700,94.8200,96.1500,6287175,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-01,95.9900,96.8700,94.5200,95.0800,4087757,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-04,94.5300,95.3500,93.0000,94.7900,4749501,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-05,94.7800,95.8800,91.7100,92.8700,6539501,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-06,93.0000,93.3500,91.2800,91.9800,5311677,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-07,92.1500,92.6000,91.1200,91.1800,3715291,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-08,91.6500,93.5300,91.3000,91.3100,4461147,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-11,91.0500,91.2700,89.5000,89.9300,3431708,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-12,90.6000,91.4000,88.7100,89.1000,4075972,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-13,89.1100,89.9900,88.5200,88.8900,2859705,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-14,88.6800,90.4500,88.3600,89.2500,3089015,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-15,88.6900,89.5500,86.3800,86.4000,5288882,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-18,86.9000,89.7000,86.7000,88.3000,4797949,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-19,88.3400,89.3600,87.8000,88.8100,3113015,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-20,89.1000,89.6800,88.7400,89.0100,2523296,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-21,88.4600,89.3800,88.4200,88.4700,2333207,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-22,88.9000,89.6900,87.5000,88.6400,3467896,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-25,88.6300,88.6400,85.3000,85.6600,3895785,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-26,85.6600,87.5000,85.1000,87.1100,2851960,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-27,86.5000,87.1700,85.8800,85.9000,2270851,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-28,86.4000,89.3000,86.4000,87.6000,3981871,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-07-29,87.6000,87.8500,85.9200,86.0400,2782441,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-01,85.7700,85.8000,84.2000,85.1500,2799727,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-02,84.0100,84.0100,80.1100,82.0000,5273261,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-03,81.3600,84.0900,81.3600,82.1000,3651614,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-04,83.0000,83.8700,82.4700,82.8500,2256832,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-05,83.1500,86.3300,83.1300,86.0300,4257108,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-08,85.8900,86.6600,85.3000,86.4400,2762456,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-09,86.0000,86.5100,85.0800,85.8700,2261958,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-10,85.7900,86.6600,84.2300,85.0000,3010602,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-11,86.0000,90.2700,85.7000,89.9200,9295974,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-12,88.5000,89.0000,87.6900,88.0600,4644361,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-15,87.2000,88.1700,86.6000,87.3300,2855403,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-16,87.5000,88.0000,86.5100,86.8700,3132311,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-17,87.0000,88.9100,85.0100,88.4200,5773178,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-18,87.9000,87.9000,86.5300,86.5700,3390555,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-19,86.6900,87.2200,85.3100,85.3100,2811141,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-22,85.2000,85.5500,84.5000,85.1000,1912613,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-23,85.0600,86.3300,84.0000,85.0200,2760344,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-24,84.5000,86.8600,82.7100,82.9400,3727831,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-25,82.9300,84.3300,81.6600,83.8200,3437676,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-26,83.7700,84.3700,83.0000,83.2000,2154434,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-29,81.9700,83.3100,81.6000,82.4400,2146602,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
