time,open,high,low,close,volume,note
2018-01-02,71.7600,71.9900,70.1800,71.1000,21238221,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-04-22,102.6100,104.2000,100.6100,101.4200,19451267,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-04-25,99.0700,99.9000,92.1000,92.2100,30754291,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-04-26,93.0100,94.7800,91.4700,92.2400,24078793,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-04-27,92.0000,101.4600,89.9000,101.4600,34085501,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-04-28,104.0000,109.3500,102.2100,105.8500,47077605,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-04-29,105.8600,111.6000,104.1400,110.6700,38366992,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-05,109.0000,110.5000,106.5000,108.4800,29094466,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-06,103.5000,106.5400,103.5000,104.0900,18153510,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-09,102.1200,104.4800,102.0200,103.0300,12757602,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-10,101.2000,106.8500,100.7100,106.8500,23559520,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-11,106.0000,115.2900,105.2500,110.7900,35823069,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-12,109.5000,111.2000,108.2800,109.4200,17475976,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-13,111.0300,111.8400,108.0200,108.8600,14453442,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-16,109.9900,111.6800,107.3600,107.5500,15743591,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-17,108.2000,118.3100,107.9500,117.2100,44680459,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-18,116.8800,119.2300,115.8900,117.5100,30472163,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-19,115.9900,121.6600,114.9200,120.5300,31852114,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-20,121.5400,123.5500,118.4400,121.5200,26156439,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-23,122.0000,127.2100,121.3900,124.8000,31784789,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-24,123.5000,125.9900,119.3500,119.7000,31640620,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-25,119.4300,121.1800,116.6800,118.9900,20295214,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-26,120.9800,124.2800,118.0600,121.2000,27190151,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-27,123.9900,124.1000,118.7000,119.4000,19511277,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-30,120.4800,121.8100,118.1000,119.2300,16714194,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-05-31,119.2300,119.4600,116.1200,119.0000,18160263,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-01,118.1100,118.4700,114.0100,117.0500,23496403,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-02,115.5100,117.3000,114.6800,116.6800,22080387,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-06,117.1500,128.3000,117.1500,126.8400,43182192,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-07,126.8900,128.6600,125.5700,127.1300,27109561,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-08,130.0000,133.8000,128.4100,130.7900,41023226,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-09,129.8400,131.9900,127.1800,128.1500,22706720,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-10,126.7200,131.6000,126.1500,131.4800,25475542,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-13,129.3800,139.3400,129.3800,137.0000,39808288,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-14,134.9400,135.1600,130.0000,134.8700,29240419,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
