time,open,high,low,close,volume,note
2026-01-05,24.3900,24.6500,24.2100,24.6500,7614408,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-04,23.5000,24.1300,23.3400,24.1000,13288476,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-05,24.1200,25.5000,23.9900,25.0600,33691995,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-06,25.0600,25.2000,24.2100,24.2800,18221648,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-09,24.5000,24.7000,24.2900,24.3600,9495476,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-10,24.4000,24.5000,24.2500,24.3000,6723281,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-11,24.3000,24.4400,24.1100,24.2200,6622255,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-12,24.1800,24.2500,23.3800,23.4200,18459005,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-13,23.4200,23.5000,23.0900,23.0900,14207348,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-24,23.3200,23.3200,22.9200,22.9700,13154900,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-25,22.9800,23.0900,22.9100,22.9900,14839538,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-26,23.0100,23.0300,22.2500,22.4600,28020593,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-27,22.4500,22.7700,22.4200,22.6100,11026018,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-02,22.3800,22.6800,22.2100,22.5000,17718194,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-03,22.5000,22.9100,22.1500,22.3000,17245551,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-04,22.0900,22.3000,21.7400,21.9400,10540400,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-05,22.1600,22.2900,21.9300,22.1300,7902023,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-06,22.1500,22.6100,22.1000,22.5500,11784718,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-09,22.3600,22.3600,21.8100,22.0900,12135074,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-10,22.2300,22.4300,21.8600,22.2600,14168468,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-11,22.2500,22.4800,22.1200,22.4000,10222950,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-12,22.3800,22.7700,22.1200,22.2100,7007442,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-13,22.2100,22.5900,22.1300,22.3200,10525620,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-16,22.3500,22.3800,22.0800,22.3300,6911500,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-17,22.4000,23.1000,22.3000,22.7600,21250548,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-18,22.7700,22.8400,22.4700,22.7600,8654194,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-19,22.5100,22.6400,22.2500,22.3500,6997062,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-20,22.4500,22.4500,22.0000,22.0000,8429270,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-23,21.6500,21.7300,21.1200,21.2500,11875267,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-24,21.4600,21.9300,21.2000,21.8000,10931264,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-25,21.8300,22.3600,21.7500,22.2700,7528449,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-26,22.2500,22.3000,21.5800,21.6100,8215220,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-27,21.4100,21.6900,20.9700,21.3600,11105848,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-30,21.1000,21.2500,20.8000,21.1900,10847009,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-03-31,21.8100,22.9500,21.8100,22.3600,33069267,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-01,22.4000,23.1500,22.3600,23.0800,22803612,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-02,23.0200,23.0700,22.7500,22.8700,9834484,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-03,22.8800,23.0000,22.2900,22.3800,6997324,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-07,22.3800,22.5900,21.7500,22.1500,11523857,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-08,22.4900,22.6000,22.2700,22.4900,13837110,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-09,22.3100,22.6800,22.2100,22.5100,9220600,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-10,22.6000,22.9200,22.4600,22.6600,8893673,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-13,22.5100,22.6700,22.3000,22.4600,8456110,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-14,22.6600,22.6800,22.0200,22.3000,15434059,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-15,22.4300,23.4200,22.3000,23.0700,19386762,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
