time,open,high,low,close,volume,note
2026-01-05,1.5100,1.5200,1.5000,1.5100,81815771,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-04,1.5900,1.6500,1.5800,1.6500,182166186,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-05,1.6400,1.6500,1.6100,1.6200,141557050,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-06,1.6100,1.6400,1.5900,1.6100,118962780,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-09,1.6200,1.6500,1.6100,1.6300,157409890,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-10,1.6300,1.6400,1.6000,1.6200,105071237,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-11,1.6200,1.6500,1.6100,1.6400,118599649,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-12,1.6400,1.6600,1.6100,1.6400,135219145,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-13,1.6400,1.6400,1.5700,1.5800,169202380,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-24,1.6000,1.6500,1.5900,1.6400,184508468,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-25,1.6400,1.8000,1.6300,1.7400,572507542,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-26,1.7400,1.8300,1.7100,1.7500,532626633,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-27,1.7600,1.8200,1.7300,1.7700,316432605,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-02,1.7700,1.7900,1.7200,1.7600,258555494,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-03,1.7500,1.7900,1.7000,1.7100,240047673,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-04,1.6900,1.7500,1.6800,1.7000,193391746,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-05,1.7100,1.7300,1.6700,1.6800,167092256,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-06,1.6800,1.7100,1.6500,1.7000,155407905,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-09,1.7000,1.7100,1.6600,1.6900,169232244,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-10,1.6900,1.7100,1.6600,1.6700,204887644,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-11,1.6600,1.6900,1.6300,1.6800,221222215,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-12,1.6800,1.7400,1.6700,1.7400,290194351,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-13,1.7200,1.8000,1.7200,1.7400,252748044,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-16,1.7300,1.7500,1.6600,1.6700,248777532,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-17,1.6700,1.7700,1.6700,1.7100,313229724,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-18,1.7000,1.7200,1.6600,1.6700,247817165,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-19,1.6500,1.6600,1.5800,1.5800,297692038,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-20,1.5800,1.6000,1.5300,1.5400,224216971,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-23,1.5100,1.5200,1.4600,1.4700,206255597,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-24,1.4900,1.5200,1.4500,1.5100,203874675,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-25,1.5200,1.5600,1.5000,1.5500,187753341,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-26,1.5500,1.5600,1.5000,1.5100,171417460,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-27,1.4900,1.5400,1.4800,1.5300,128407708,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-30,1.5100,1.5500,1.5000,1.5400,131249867,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-03-31,1.5400,1.5600,1.5200,1.5200,116462190,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-01,1.5400,1.5500,1.5200,1.5300,116501650,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-02,1.5300,1.5400,1.5000,1.5100,121801034,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-03,1.5100,1.5200,1.4700,1.4900,114332356,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-07,1.4800,1.5000,1.4700,1.5000,80578749,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-08,1.5200,1.5400,1.5100,1.5400,128515838,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-09,1.5300,1.5500,1.5200,1.5300,122547154,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-10,1.5300,1.5500,1.5300,1.5400,95407303,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-13,1.5300,1.5500,1.5200,1.5400,111553841,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-14,1.5400,1.5500,1.5000,1.5200,132127556,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-15,1.5200,1.5300,1.5000,1.5000,82005386,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-16,1.5000,1.5200,1.5000,1.5100,76604256,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-17,1.5100,1.5200,1.5000,1.5100,63622007,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-20,1.5000,1.5200,1.4900,1.5100,78392593,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-21,1.5100,1.5200,1.5000,1.5200,60935835,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-22,1.5100,1.5200,1.5000,1.5100,55169406,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-23,1.5000,1.5100,1.4600,1.4700,170260073,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-24,1.4600,1.4700,1.4400,1.4500,104725750,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-27,1.4400,1.4500,1.4200,1.4300,90808578,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-28,1.4300,1.4500,1.4200,1.4400,49825313,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-29,1.4400,1.4700,1.4300,1.4600,91946704,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-04-30,1.4600,1.4700,1.4400,1.4400,99664440,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-06,1.4500,1.4700,1.4400,1.4600,128182573,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-07,1.4600,1.4700,1.4400,1.4500,95762488,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-08,1.4500,1.4600,1.4400,1.4500,74978665,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-11,1.4600,1.4600,1.4400,1.4500,85864742,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-12,1.4500,1.4500,1.4300,1.4300,71095920,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-13,1.4300,1.4400,1.4200,1.4400,68955386,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-14,1.4300,1.4400,1.4100,1.4100,96069884,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-15,1.4100,1.4200,1.3700,1.3800,101094978,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-18,1.3800,1.3900,1.3600,1.3900,80896997,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-19,1.3900,1.4000,1.3800,1.3900,53307536,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-20,1.3900,1.4000,1.3600,1.3600,62511886,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-21,1.3600,1.3800,1.3300,1.3400,108758182,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-22,1.3400,1.3600,1.3300,1.3400,61683188,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-25,1.3500,1.3600,1.3400,1.3500,77351479,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-26,1.3500,1.3600,1.3400,1.3500,72698295,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-27,1.3500,1.3600,1.3000,1.3200,90170424,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-28,1.3200,1.3300,1.3100,1.3200,51803219,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-05-29,1.3200,1.3500,1.3200,1.3400,95657955,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-01,1.3400,1.3700,1.3300,1.3700,88290651,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-02,1.3700,1.3700,1.3400,1.3500,92305567,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-03,1.3500,1.3500,1.3300,1.3300,74319692,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-04,1.3300,1.3400,1.3000,1.3100,67423134,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-05,1.3100,1.3400,1.3100,1.3200,70980713,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-08,1.3100,1.3300,1.2900,1.3100,88698292,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-09,1.3100,1.3100,1.2800,1.2900,61790087,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-10,1.2800,1.2900,1.2600,1.2800,67100990,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-11,1.2800,1.2900,1.2600,1.2800,60165166,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-12,1.2800,1.3300,1.2800,1.3300,105489267,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-15,1.3300,1.3700,1.3300,1.3400,109700127,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-16,1.3500,1.3500,1.3200,1.3200,60822221,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-17,1.3300,1.3300,1.2900,1.3000,69356455,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-18,1.2900,1.3200,1.2800,1.3000,65939230,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-22,1.2900,1.3100,1.2600,1.3000,81440387,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-23,1.2900,1.3200,1.2800,1.2900,78977534,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-24,1.3000,1.3000,1.2700,1.2700,60409692,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-25,1.2700,1.2800,1.2400,1.2500,73409083,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-26,1.2500,1.2600,1.2200,1.2300,64710631,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-29,1.2300,1.2500,1.2100,1.2400,69465242,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-06-30,1.2400,1.2600,1.2300,1.2400,76368147,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-07-01,1.2500,1.2900,1.2400,1.2700,92829468,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-07-02,1.2800,1.3000,1.2600,1.2700,84033809,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-07-03,1.2700,1.2900,1.2600,1.2700,59829434,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-07-06,1.2800,1.2900,1.2600,1.2700,68534780,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-07-07,1.2800,1.3000,1.2500,1.2700,110223071,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-07-08,1.2800,1.2900,1.2600,1.2700,92829150,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-07-09,1.2700,1.2800,1.2500,1.2600,71904383,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
