time,open,high,low,close,volume,note
2018-01-02,11.5100,11.7300,11.2300,11.6800,112745823,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-14,27.9300,28.2000,25.9000,26.9600,144465787,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-15,27.1000,29.5000,27.1000,27.9800,198262518,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-16,26.5000,26.5800,25.1800,25.1800,157549695,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-17,23.8700,24.5000,22.6600,23.0200,156556826,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-20,23.5900,24.7700,23.5500,24.7100,106996286,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-21,24.8500,25.8400,24.4700,24.8400,104484621,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-22,24.8600,25.5800,24.6500,24.8400,79024947,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-23,24.3100,26.3000,24.0500,25.9500,146032270,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-24,25.9300,25.9900,23.6000,23.6700,115572499,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-27,24.0600,24.6600,22.8800,23.3900,89247999,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-28,23.8100,23.9100,22.3600,22.9000,93575451,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-29,22.7900,23.9700,22.7500,23.8500,79482034,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-30,24.1000,24.1500,23.2300,23.9200,81349875,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-07-31,23.8100,24.9700,23.6800,24.3300,88321679,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-03,24.6100,25.5500,24.6100,25.2400,93472617,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-04,25.2000,25.2000,24.4800,24.7900,80102611,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-05,25.8900,25.9900,24.7600,24.8300,75531365,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-06,24.5000,24.5000,23.7500,23.9900,81039260,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-07,23.8800,24.0600,22.8600,23.4500,67513500,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-10,23.5000,24.2600,23.4500,24.0900,56134473,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-11,24.0900,24.3300,23.1300,23.1800,48113851,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-12,23.1200,23.5800,22.1700,22.9400,51980522,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-13,23.1300,23.4500,22.8300,23.1600,36270250,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-14,23.2600,23.6200,23.0600,23.4600,37149500,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-17,23.6000,24.0400,23.2400,23.9900,60391547,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-18,24.1500,24.2400,23.7800,24.0600,48265436,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-19,24.0100,24.0100,22.9100,23.0300,51411860,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-20,22.7500,23.2400,22.6300,22.8100,29577705,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-21,23.0000,23.3500,22.5100,22.6800,39022085,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-24,22.8400,23.5800,22.5000,23.3500,44876392,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-25,23.3900,23.5500,22.6700,22.8500,34150724,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-26,22.5500,22.7100,20.9000,21.0300,87156128,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-27,21.0400,21.6100,20.7700,21.4800,40169966,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-28,21.1100,21.8600,21.0300,21.7400,42009997,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-08-31,21.8100,22.2700,21.6700,21.6700,34191008,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-01,21.5600,21.9500,21.2600,21.7400,29701759,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-02,21.8800,21.9500,21.3300,21.6400,27533138,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-03,21.7900,21.7900,21.1700,21.2900,29498677,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-04,20.9200,22.1000,20.8800,21.7200,43963315,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-07,21.7200,22.4700,21.4500,21.6400,53098618,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-08,21.6400,21.8200,21.0000,21.1700,35637706,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-09,20.9200,21.1300,20.1100,20.3300,43700657,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-10,20.5100,20.7700,20.2000,20.2100,28137767,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-11,20.2800,22.2200,20.1300,22.0300,59220323,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-14,22.1600,22.7600,21.4700,21.7100,64901882,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-15,21.8200,22.0400,21.2400,21.8300,36205051,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-16,21.7500,23.1900,21.5900,22.5500,77061608,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-17,22.3900,23.6600,22.1100,23.3000,83267782,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-18,23.3200,23.5000,22.6000,23.1600,50482350,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-21,23.1700,23.4700,22.7500,23.0300,36021085,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-22,22.7600,22.9200,22.2200,22.2200,35519538,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-23,22.3900,23.0900,22.1800,23.0600,53241397,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-24,22.8000,23.1900,22.1000,22.2100,42038195,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-25,22.3900,22.5300,21.7700,21.8100,29510353,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-28,21.7600,22.7800,21.7500,22.0000,37016992,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-29,22.3200,22.4000,21.7300,22.0900,25845005,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-09-30,22.0100,22.5800,22.0100,22.1500,28374354,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-09,23.3200,24.0000,23.0100,23.6000,90185172,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-12,23.8700,24.5400,23.6200,24.1900,84223189,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-13,24.0000,25.1900,23.6800,25.1200,95305553,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-14,24.9900,25.2500,24.6500,24.7500,54960281,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-15,24.8500,25.2900,24.3800,24.9200,62266383,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-16,24.8000,24.9900,23.0600,23.4600,82264364,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-19,23.6000,23.6000,23.1000,23.2900,35312541,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-20,23.3600,23.8500,23.2600,23.8100,32087132,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-21,23.8500,24.0600,23.1900,23.4000,30789261,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-22,23.1600,23.3600,22.8500,23.0000,27546002,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-23,23.0900,23.2500,21.9900,22.1000,45325590,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-26,21.7000,23.0300,21.5200,22.9500,40878135,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-27,22.7100,22.9900,22.5300,22.7800,19452048,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-28,22.6000,23.3500,21.9200,23.0500,45393065,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-29,22.6000,24.0500,22.6000,23.8100,52895960,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-10-30,23.8100,24.2700,23.2000,23.3400,59069587,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-02,23.6000,24.1100,22.9600,23.7500,55906620,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-03,23.7500,24.0600,23.3500,23.9000,53192299,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-04,24.0500,24.8400,23.8000,23.8500,72358026,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-05,24.1000,24.2600,23.6400,23.9900,54203617,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-06,24.0800,24.1700,22.4800,22.7200,75289419,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-09,22.9000,24.4500,22.8200,24.3000,97104049,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-10,24.2700,24.8000,23.9400,24.5900,91368564,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-11,24.4000,24.4600,23.4500,23.6000,60638821,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-12,23.8100,23.9600,22.8400,23.1400,50612408,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-13,22.9900,23.1900,22.6400,23.0800,34719168,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-16,23.2000,23.2600,22.8000,23.2100,25779313,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-17,23.2000,23.2000,21.8600,22.0600,67182580,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-18,21.2600,21.6700,20.1800,21.4600,94660379,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-19,21.1900,21.7400,20.8800,21.4900,35290819,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-20,22.2000,22.8500,21.8000,22.6100,64294863,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-23,22.9500,23.4500,22.6200,22.8800,55710753,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2020-11-24,22.6800,23.4400,22.6800,22.8000,33612605,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
