time,open,high,low,close,volume,note
2018-01-02,47.6600,48.1900,46.5800,47.2100,32077257,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-06-12,63.0000,64.7100,62.5800,63.9100,30430435,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-06-15,63.5100,64.2200,61.8500,61.8700,31250218,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-06-16,62.8000,63.6500,62.6500,63.5900,23548696,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-06-17,63.9500,65.1900,63.0400,65.0000,30197054,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-06-18,64.1300,65.9700,64.1100,65.5500,25313928,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-06-19,65.3000,65.8100,64.6600,65.1100,21496630,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-06-22,65.7000,66.8700,65.4100,65.9900,27255598,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-06-23,65.8100,69.9800,65.4800,69.0300,48818571,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-06-24,69.0000,72.2600,68.5000,71.5900,46675273,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-06-29,71.9300,74.2000,71.1400,72.2400,40013003,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-06-30,72.8800,73.1500,71.5800,72.7500,28236306,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-01,72.9100,80.0300,72.9100,80.0300,63932843,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-02,86.0000,88.0300,85.0000,88.0300,24251970,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-03,91.0000,96.8300,90.7300,96.8300,73128982,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-06,103.0000,106.5100,101.5500,106.5100,19547873,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-07,117.1600,117.1600,117.1600,117.1600,9159177,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-08,115.0000,126.7000,108.0000,120.6000,79793343,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-09,123.0000,132.6600,123.0000,132.6600,64832250,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-10,131.3300,138.3400,126.0000,129.0000,64270346,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-13,126.8600,135.0000,125.3100,134.7500,48330297,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-14,136.0000,137.7800,121.2800,126.9100,62357724,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-15,126.0200,131.0000,122.6600,127.0000,47902318,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-16,126.8800,126.8800,114.3000,114.3000,41919826,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-17,113.5000,118.5800,108.0100,115.0000,40200902,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-20,120.0000,126.5000,118.8900,126.5000,39200798,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-21,130.3300,130.7800,121.6000,124.5000,35460627,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-22,123.0200,128.7000,123.0200,124.1000,27720621,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-23,123.0000,124.4700,117.1000,124.1000,34041188,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-24,122.3000,125.9800,115.8800,116.7500,37240834,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-27,116.0000,128.4300,115.8100,126.0000,45246104,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-28,127.5000,128.4000,121.1900,126.1900,24911355,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-29,126.0000,132.4100,124.8800,128.9900,37197755,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-30,128.8800,128.8800,123.0000,123.9800,31101836,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-07-31,125.0000,127.7000,123.8300,126.8400,29413199,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-03,130.0000,139.5200,127.0000,139.5200,50910093,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-04,138.8900,138.9000,126.1000,127.1000,48745379,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-05,131.1000,138.2000,128.0000,132.8900,41673745,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-06,132.8400,146.1800,130.0100,146.1800,55935851,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-07,149.3300,160.8000,141.6600,156.0000,63780882,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-10,151.0900,160.0000,142.7200,145.2100,47121440,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-11,141.0000,149.2600,138.5000,142.0100,32504371,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-12,140.0000,142.9200,130.0000,137.7300,32687214,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-13,136.9900,142.4800,135.1000,136.1500,23081304,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-14,133.2600,139.0700,133.0000,137.5000,18687322,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-17,137.5000,146.5000,137.0000,143.9100,23953305,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-18,143.9400,150.5800,142.0000,144.3700,26153369,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-19,142.0000,143.8700,135.5000,136.0000,25768172,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-20,135.8800,138.3000,131.0000,133.6500,19359221,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-21,134.1200,135.4500,123.9700,128.4200,31722431,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-24,127.5800,129.8300,125.1900,126.6800,17027617,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-25,127.2000,127.8800,121.3000,121.9800,21931253,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-26,123.3400,125.5000,120.2100,120.9600,17274420,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-27,121.0100,128.8000,117.3300,126.3700,25969641,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-28,124.6000,128.8900,123.1200,127.6900,16749557,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-08-31,129.0000,129.4000,125.3000,125.3000,12915212,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-01,124.9000,129.5600,124.0000,128.2200,15668842,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-02,128.9600,128.9800,124.5000,125.6400,11648738,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-03,125.0000,125.5600,121.4600,123.3000,12162004,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-04,121.4800,128.5000,121.0000,124.4200,16212327,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-07,122.3800,124.8000,113.6100,115.7100,25733025,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-08,116.0600,116.7900,111.1200,113.2800,14882996,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-09,110.5500,114.3700,108.4400,110.9000,14748334,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-10,112.9900,116.6000,111.7400,112.2000,13490938,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-11,112.3000,114.9800,112.0000,114.2000,11008300,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-14,114.9600,115.8000,111.3200,112.0500,11578175,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-15,112.0500,116.2800,110.9100,113.9200,13040959,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-16,112.9200,113.6000,111.3900,111.9500,7977673,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
