time,open,high,low,close,volume,note
2026-01-05,7.5400,7.6600,7.4900,7.5800,6025200,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-05,7.8900,8.0200,7.8700,7.9200,6526200,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-06,7.9100,8.1900,7.8600,8.1700,7656404,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-09,8.1100,8.2000,7.9800,8.1000,7446400,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-10,8.1400,8.2800,8.1100,8.2700,7526900,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-11,8.2700,8.3200,8.1600,8.2400,6408600,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-12,8.2400,8.3300,8.1700,8.2100,7261200,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-13,8.1800,8.3500,8.1700,8.2100,7047200,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-16,8.2100,8.2800,8.0500,8.1000,6419901,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-17,8.1000,8.2200,7.9900,8.0200,6432005,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-18,8.0600,8.0600,7.9400,8.0400,6125608,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-19,7.9900,8.0300,7.6700,7.8100,6150100,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-20,7.8200,7.8600,7.4900,7.5100,8478800,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-23,7.4000,7.4000,6.8600,6.9200,11126008,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-24,7.1100,7.4200,6.9800,7.4000,10326192,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-25,7.4300,7.7200,7.4200,7.6800,9525900,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-26,7.6800,7.7700,7.5400,7.5800,6566700,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
