time,open,high,low,close,volume,note
2022-01-26,8.5000,11.9500,8.5000,10.5500,881979200,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-08-16,6.9800,7.0400,6.9500,7.0200,24162599,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-08-19,7.0000,7.0300,6.9500,6.9800,13946006,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-08-20,6.9900,7.0100,6.9000,6.9400,17310767,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-08-21,6.9200,6.9500,6.8900,6.9000,14584762,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-08-22,6.9300,6.9400,6.7600,6.7700,21894185,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-08-23,6.8000,6.8300,6.7200,6.8000,16227045,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-08-26,6.8200,6.9400,6.8000,6.8900,17648068,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-08-27,6.8300,6.9500,6.8200,6.9200,21100897,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-08-28,6.8800,6.9700,6.8500,6.9400,16716530,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-08-29,6.9900,7.1100,6.9100,7.0500,27614758,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-08-30,7.0400,7.2000,6.9900,7.1900,43628650,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-02,7.1500,7.2200,7.0200,7.0400,29348602,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-03,7.0500,7.3200,6.9700,7.1300,36132873,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-04,7.0200,7.1600,6.9900,7.0000,27353297,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-05,7.0000,7.1200,6.9700,7.0300,19715300,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-06,7.0400,7.0400,6.8500,6.8500,19741833,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-09,6.8500,6.9000,6.7800,6.8200,13950041,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-10,6.8500,6.8600,6.6700,6.7700,18527803,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-11,6.7500,6.8200,6.6600,6.7000,18744315,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-12,6.7300,6.9200,6.7200,6.7300,25644060,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-13,6.7300,6.7700,6.4500,6.5900,39716360,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-18,6.5100,6.5200,6.2700,6.3400,24994234,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-19,6.3700,6.5700,6.3200,6.5000,27512253,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-20,6.4900,6.4900,6.3000,6.4000,26229097,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-23,6.4000,6.4000,6.2200,6.2700,20717687,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-24,6.3100,6.5300,6.2800,6.5300,42523023,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-25,6.5600,6.7800,6.5500,6.5900,44812763,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-26,6.5900,6.9200,6.5400,6.9200,44889435,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-27,6.9900,7.4800,6.9800,7.4000,47874287,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-09-30,7.8300,8.8500,7.8000,8.8100,149864318,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-08,10.5700,10.5700,9.6400,10.5400,196418471,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-09,9.6800,10.2800,9.1100,9.1100,146298609,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-10,9.3100,9.7100,9.0800,9.1000,92772108,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-11,9.1900,9.1900,8.6500,8.9400,65735790,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-14,8.9700,9.1000,8.5700,8.8400,66544690,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
