time,open,high,low,close,volume,note
2018-01-02,101.2200,103.9800,100.1000,100.6900,608534,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-09,195.0000,198.7600,190.6500,192.0300,3794437,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-10,191.9900,201.1000,187.3700,200.5400,9994470,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-11,202.5000,219.8000,196.6000,216.0600,11443656,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-12,212.5200,215.8600,208.0400,211.7300,4612178,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-13,213.5900,217.1200,210.1600,216.0000,4515196,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-16,218.8000,222.0000,209.0300,209.3000,5053039,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-17,209.0000,222.0000,209.0000,220.1100,7019257,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-18,219.0000,221.8200,216.3800,217.6600,3632794,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-19,215.0000,220.8000,213.4400,219.1000,3364926,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-20,221.2900,224.6800,218.0000,222.6800,5907695,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-23,221.2300,222.4900,214.4400,215.5600,4433694,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-24,214.6600,215.3800,207.1200,208.0600,4491783,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-25,208.0000,211.8000,205.7800,207.4000,3777328,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-26,207.7000,212.5000,202.2000,206.8000,3766779,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-27,208.6400,216.8600,208.6400,211.8300,4060775,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-30,214.0000,218.0000,213.0200,216.9800,4420070,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-05-31,215.3400,218.6000,213.3000,217.7600,3062939,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-01,217.0000,224.8500,213.3000,220.0000,4578874,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-02,219.9100,231.4600,217.6000,224.7300,5932424,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-06,226.3000,241.0000,224.0700,234.4100,7961621,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-07,236.7400,237.0000,229.7000,235.6300,4269441,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-08,235.6300,243.0000,229.7600,235.8200,4904520,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-09,233.4900,235.7700,227.7000,230.7600,3155764,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-10,231.0600,238.6600,228.6100,231.1000,7368504,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-13,229.9400,234.5000,227.8800,232.0000,6510691,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-14,229.0000,231.5000,223.2700,230.1900,4684949,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-15,231.5000,236.7600,219.0500,225.7900,8302040,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-16,226.0000,235.8900,225.8000,229.5000,6519431,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-17,229.2000,242.0000,225.5700,239.9000,12971709,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-20,244.0000,253.3000,241.4700,242.1500,11369808,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-21,245.0000,253.8800,240.0000,248.9900,8113128,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-22,247.4700,259.5000,245.0000,254.0500,6473641,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-23,254.0500,264.7000,251.2800,263.2700,6626943,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-24,264.9900,266.4200,257.0000,261.8700,4515344,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-27,264.3200,265.0000,256.0100,258.0800,5041794,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-28,258.0500,262.5000,255.2900,258.4700,5464223,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-29,257.7100,262.5000,250.8300,252.2200,5729226,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-06-30,251.5900,255.0000,243.5600,250.4500,6451430,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-01,249.3200,251.6800,245.5100,246.5000,3959079,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-04,246.5100,254.7000,241.8000,251.9400,5793084,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-05,255.5500,262.2000,250.1000,256.0700,5550650,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-06,255.0000,261.2000,249.5600,253.7000,7078120,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-07,255.8000,256.8000,249.3000,251.5200,6617407,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-08,252.9600,253.1000,236.8000,241.9200,10946997,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-11,239.0000,239.7700,229.0200,231.9500,8738009,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
