time,open,high,low,close,volume,note
2018-01-02,41.9100,42.0800,40.7800,41.9300,12488829,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-06,254.0000,257.5800,249.1100,254.0000,8146902,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-07,254.6000,254.8000,247.1700,249.6400,7359676,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-08,248.4200,252.0000,244.1600,244.9600,6444339,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-09,243.0000,253.5000,241.3800,253.2000,9549178,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-10,251.3300,253.7800,245.0800,248.4900,7275433,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-13,244.0000,253.0000,240.7000,252.2900,8116531,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-14,251.5000,260.5500,245.1100,248.2600,8961537,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-15,250.0000,257.0000,246.1600,255.9300,8512494,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-16,254.1100,261.9000,250.0000,251.1000,9113838,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-17,250.0000,250.9600,236.7800,238.0400,12483707,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-20,236.4800,239.8300,234.0000,239.0700,6625577,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-21,238.4500,241.4600,236.3300,239.0500,4427999,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-22,236.9600,243.5000,236.6100,240.9100,5364374,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-23,239.0000,242.3000,237.5600,240.1000,4022002,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-24,241.3600,242.4000,237.0000,237.3300,4206751,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-27,235.7300,236.3300,230.1600,230.7700,6177000,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-02-28,231.9800,235.3800,229.0000,233.2500,5094060,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-01,231.7600,233.6600,230.3000,233.6500,5260938,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-02,239.0000,241.0400,234.0000,234.7000,7359653,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-03,241.9900,249.0000,240.8800,248.9400,17084411,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-06,246.0000,257.5000,245.0000,254.8800,12542750,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-07,254.8800,257.2800,247.2500,247.6600,8740513,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-08,247.6600,252.9900,246.3000,248.9800,6463462,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-09,250.0000,261.6800,249.4000,258.2900,15449972,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-10,257.1100,266.6600,256.5000,261.1700,12819016,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-13,260.9900,265.9000,258.4000,262.8400,8735907,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-14,260.0000,282.0000,259.4100,278.0000,16184491,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-15,282.6400,282.9000,270.5100,272.0000,12320958,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-16,270.7100,274.8000,263.9500,267.0000,10625603,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-17,273.2600,273.6000,264.0000,270.0000,10402439,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-20,269.1900,282.2100,266.3500,277.2900,13096843,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-21,274.3000,278.4900,267.7800,273.7900,9275436,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-22,274.0000,274.9100,265.0000,267.5200,8706015,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-23,264.9300,271.7000,263.9100,268.3500,10509707,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-24,267.0000,267.0000,256.9500,259.0100,12288996,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-27,259.0000,259.0000,250.7700,252.4200,10368721,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-28,251.3000,253.8000,247.1600,247.3400,6895895,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-29,247.4000,272.0700,246.6800,271.8700,21521384,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-30,269.9900,272.5000,260.0200,263.9700,14271474,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-03-31,264.2000,268.8800,260.5000,265.8500,9443901,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-03,270.1000,281.8800,269.0000,279.8900,16939165,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-04,277.0000,296.6600,276.5000,283.3300,16720428,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-06,283.3300,311.6600,283.0000,307.4300,21388178,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-07,307.4300,313.6200,305.6100,312.6600,12614663,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-10,313.2000,318.8800,297.0000,299.7000,13944295,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-11,300.8200,304.8500,291.0400,295.4000,11601010,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-12,296.1200,300.8600,288.4500,296.2000,8923152,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-13,292.9000,293.7400,284.1400,286.0100,10578485,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-14,300.0000,314.6100,298.5000,314.6100,16553507,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-17,327.0000,338.8100,323.5100,328.9000,20679492,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-18,326.2100,327.9600,315.0000,322.5000,13414787,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-19,319.9900,333.5400,319.9000,327.6000,16031421,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-20,321.6200,354.8600,321.0000,352.0000,17559202,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-21,348.9900,358.0300,336.0600,337.2700,13417825,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-24,339.0000,342.5500,329.3700,332.9100,10904790,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-25,337.3000,342.2000,325.2000,330.8800,13146592,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-26,328.3600,338.4800,319.9600,334.9900,13377236,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-27,329.4800,349.4800,326.1800,336.3000,11686321,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-04-28,336.3100,344.1500,328.9000,334.5200,11171834,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-04,334.7800,334.7800,319.1100,322.3200,9084441,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-05,320.0000,329.2500,319.5100,322.1300,7767728,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-08,302.1400,314.5800,295.0300,301.2300,15475591,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-09,301.2300,311.1300,301.0000,301.1800,8287140,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-10,298.9600,299.9900,286.0000,289.5000,10935013,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-11,294.8100,296.2200,287.0000,289.7000,5626809,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-12,291.0100,298.3500,283.5000,285.7000,7491037,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-15,282.0000,289.5200,280.1000,288.7200,7149184,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-16,288.7200,298.8700,285.3300,296.9500,9726035,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-17,296.3300,305.8500,295.0000,300.7600,7277255,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-18,299.0000,304.5000,298.1300,301.2400,4840090,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-19,303.0000,305.7000,297.2400,301.2800,5637880,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-22,301.4900,303.9000,296.0000,297.3100,3705460,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-23,296.3600,296.3600,290.7300,291.4800,4476121,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-24,291.3200,302.0100,288.6000,297.5100,7019474,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-25,296.5200,299.9000,294.0100,299.1600,4458670,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-26,300.5000,305.6800,298.0200,301.6000,4608540,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-29,303.5000,309.3800,299.0900,304.5500,7731209,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-30,301.4900,306.6400,295.5700,305.1100,7497631,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-05-31,304.0100,309.3800,301.0000,303.4500,5191221,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-01,299.9900,300.8100,294.2000,296.6500,7016568,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-02,296.8500,301.5000,293.8900,298.1900,5508268,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-05,319.9000,328.0100,315.1800,317.0000,16450134,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-06,313.5000,317.1000,307.8200,309.5000,9205487,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-07,309.5000,312.7300,305.0100,308.0000,5916816,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-08,307.2300,307.3300,299.0000,301.9000,5493073,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-09,301.9000,307.0000,297.5500,307.0000,6950589,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-12,304.8800,316.9900,304.0100,315.8000,7716710,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-13,314.7100,321.2300,311.5000,320.5000,6641680,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-14,318.4900,322.8800,316.3000,316.6000,5649236,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-15,316.6000,320.1200,313.1500,317.4500,5170674,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-16,315.3300,320.5800,314.5000,320.4000,5112735,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-19,318.6000,319.7300,313.3500,315.5700,5194653,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-20,313.0000,315.0000,310.0000,310.9700,5449569,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-21,307.9000,310.9700,294.5200,294.9000,8902727,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-26,294.0000,300.8800,291.2000,298.1500,5786277,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-27,298.1500,306.0000,297.0000,300.9800,4647421,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-28,301.0000,325.0000,300.9800,314.0300,10733572,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-06-29,313.6000,318.6000,310.0000,311.7900,4678357,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
