time,open,high,low,close,volume,note
2026-01-15,12.6700,12.6700,12.6700,12.6700,17300139,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-12,12.8900,13.2100,12.8800,13.0800,15495522,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-13,12.9700,13.1300,12.7000,12.7100,16369600,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-24,12.9600,13.2000,12.9600,13.0900,15736777,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-25,13.2300,13.8400,13.1200,13.6600,28448843,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-26,13.6600,13.9600,13.5000,13.5300,18762356,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-27,13.4100,13.9200,13.4100,13.8500,18363525,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-02,13.6500,13.7000,13.3000,13.5600,22221241,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-03,13.5100,13.5100,12.6200,12.6500,26393254,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-04,12.4400,12.8000,12.2900,12.5600,16628700,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-05,12.7000,12.7900,12.4800,12.5500,11072847,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-06,12.5000,12.9000,12.4500,12.8200,11600601,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-09,12.7000,13.0000,12.3800,12.9400,14783601,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-10,12.9600,13.2500,12.9200,13.0300,11939565,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-11,13.0500,13.1200,12.8000,12.8700,11600010,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-12,12.9000,12.9200,12.7100,12.8200,9335600,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-13,12.7700,13.1400,12.4900,12.5000,15534600,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-16,12.4900,12.5500,12.0300,12.0700,17350900,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-17,12.1200,12.3300,11.9400,11.9600,12490801,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-18,11.9900,12.0400,11.7600,11.9200,10262481,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-19,11.8900,11.8900,11.5100,11.5400,13374586,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-20,11.5900,11.6800,11.2800,11.3000,9162230,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-23,11.1500,11.1800,10.5900,10.6800,14469770,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-24,11.1500,11.2000,10.8300,10.9900,14292757,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-25,11.2200,11.4900,11.1000,11.4500,11633647,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-26,11.5000,11.7700,11.2900,11.3400,10520607,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-27,11.2500,11.5500,11.1900,11.5000,8758900,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
