time,open,high,low,close,volume,note
2019-04-15,50.1400,60.1600,50.1400,60.1600,8100,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-10-17,84.6700,85.2200,84.3500,84.6900,451959,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-10-18,84.8000,85.4800,83.5300,83.8000,515729,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-10-21,83.4500,83.4700,80.3700,81.2500,597550,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-10-22,81.3000,82.7500,81.2500,82.7300,458950,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-10-23,82.9300,82.9300,82.2100,82.4600,284300,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-10-24,81.8600,82.6500,81.8600,82.3100,223200,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-10-25,81.4300,83.4800,81.4300,83.1000,320401,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-10-28,82.8000,84.6200,82.0100,84.2400,381400,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-10-29,84.2500,84.2500,81.7000,81.7000,453603,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-10-30,81.5000,82.8800,81.0200,81.8600,380288,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-10-31,81.8600,82.4500,80.8800,80.9000,395188,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-01,80.6100,80.9800,77.6600,80.4600,529394,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-04,79.7600,80.5000,79.5000,80.3400,337200,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-05,80.3900,82.2900,80.1500,81.9000,594427,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-06,81.6000,83.0000,80.9000,81.7100,678094,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-07,81.1600,81.3000,78.1300,79.7500,704277,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-08,80.0000,81.7000,79.6100,81.1700,593900,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-11,80.6700,80.6900,78.2300,78.3600,536700,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-12,78.5900,78.8700,77.3900,78.4000,404650,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-13,78.4800,80.5000,78.4800,80.0800,516090,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-14,80.4800,82.4800,79.3600,82.3300,842583,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-15,81.7700,82.2200,80.3600,80.5000,580342,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-18,80.1000,80.1000,78.5200,79.3500,512234,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-19,79.1900,80.8600,78.8100,80.7600,504993,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
