time,open,high,low,close,volume,note
2018-01-02,15.4500,15.9800,15.0000,15.9300,157146197,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-02-25,20.0100,20.4900,18.7900,19.9600,164547176,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-02-26,19.5200,19.7300,18.6400,18.8800,101585551,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-02-27,19.2700,19.2900,18.1900,18.5600,69117662,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-02-28,17.7700,18.1200,16.9100,17.1900,99067778,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-02,17.6000,17.9800,17.3100,17.6500,68820428,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-03,17.7700,18.4100,17.3500,17.6000,79462046,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-04,17.4000,17.8300,17.0000,17.5500,51852043,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-05,17.8600,17.9400,17.0800,17.6000,66914631,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-06,17.2600,17.5500,17.1500,17.1800,39927228,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-09,16.8000,16.8900,15.9000,15.9900,56611861,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-10,15.9800,17.0400,15.9300,17.0300,68248469,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-11,17.0300,17.2800,16.3900,16.4300,58751588,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-12,16.0600,16.8800,16.0100,16.6700,49412390,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-13,15.9000,17.1300,15.8100,16.8400,65293957,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-16,17.0000,17.0000,15.5600,15.7200,60491155,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-17,16.1000,16.2200,15.1500,15.9300,40717709,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-18,16.1500,16.5700,15.9000,15.9300,47271445,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-19,16.0500,16.5500,15.9100,16.5400,49228985,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-20,16.7000,16.7500,16.1600,16.3900,35713077,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-23,15.9200,16.1100,15.2000,15.4000,36283581,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-24,15.7000,15.8300,14.8500,15.4800,32070173,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-25,15.8200,15.8800,15.4500,15.6400,26927318,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-26,15.5000,15.7600,15.2900,15.2900,23379525,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-27,15.4800,15.5100,15.0500,15.0700,20936231,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-30,14.8000,14.8000,14.3000,14.5500,26271837,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-03-31,14.7900,14.9700,14.3700,14.4500,18304167,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-01,14.4000,14.8400,14.2300,14.5300,24005013,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-02,14.5000,15.3000,14.4300,15.3000,50705538,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-03,15.2500,15.2500,14.8700,14.9100,33318259,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-07,15.2000,15.3500,15.1000,15.2700,30994911,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-08,15.1600,15.4500,15.1000,15.2900,29439585,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-09,15.4000,15.4500,15.2100,15.2600,21494984,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-10,15.2000,15.2000,14.5300,14.6100,31183362,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-13,14.5700,14.5800,14.3000,14.3200,17068820,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-14,14.4000,14.7000,14.4000,14.7000,17690695,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-15,14.7000,15.1300,14.5800,14.7200,28501531,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-16,14.6800,14.8600,14.4000,14.7300,19910934,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-17,14.8300,15.1400,14.7200,14.7400,33485589,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-20,14.7700,14.8900,14.5900,14.8200,18855182,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
