time,open,high,low,close,volume,note
2026-01-05,9.9600,10.1200,9.8300,9.9900,29743547,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-18,9.8600,9.8900,9.4800,9.6800,25461186,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-19,9.5900,9.8000,9.5100,9.5600,20747504,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-20,9.5800,9.7900,9.5600,9.7500,18694386,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-23,9.5700,9.6800,9.3100,9.3600,23863730,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-24,9.4600,9.7000,9.3600,9.6700,19710853,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-25,9.6900,9.9200,9.6300,9.9100,18093903,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-26,9.9400,10.0100,9.8800,9.9100,21044014,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-27,9.8800,10.0100,9.8100,9.9400,16093414,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-30,9.9300,10.1700,9.6500,10.1000,24198817,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-31,10.0600,10.2700,10.0600,10.0700,15879637,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-01,10.1100,10.1600,9.4200,9.4600,37554185,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-02,9.4500,9.6700,9.4000,9.6000,22984640,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-03,9.6000,9.6900,9.5000,9.5400,16822879,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-07,9.5900,9.6400,9.4700,9.4900,15045559,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-08,9.5400,9.6800,9.4900,9.6800,22458162,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-09,9.6200,9.7100,9.4000,9.4100,16139581,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-10,9.4500,9.5000,9.3800,9.4100,16556485,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-13,9.4100,9.4100,9.1500,9.2400,19235897,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-14,9.2800,9.4600,9.2100,9.4300,16663938,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-15,9.4300,9.5900,9.3800,9.5000,19211557,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-16,9.5000,9.6100,9.4600,9.6100,18895790,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-17,9.5600,9.7000,9.5600,9.6700,13060667,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-20,9.6900,10.0200,9.6500,9.8700,23022166,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-21,9.9900,10.2800,9.8400,9.9800,25928469,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-22,9.9800,10.0400,9.8800,10.0100,19061086,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-23,9.9500,10.1500,9.9500,10.0400,15477209,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-24,9.9800,10.1300,9.9600,10.0000,18668460,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-27,9.7900,9.8100,9.1000,9.1200,69870551,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-28,9.1000,9.1400,8.6000,9.0200,49021873,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-29,8.9700,8.9900,8.6800,8.7400,37085189,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-04-30,8.6500,8.6900,8.1000,8.1900,67351519,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-06,8.1600,8.2000,7.9000,8.0200,59571932,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-07,8.0200,8.1300,7.9400,8.0600,46683500,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-08,8.0500,8.2900,8.0400,8.1000,65407176,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-11,8.1200,8.1400,7.9400,8.0000,53960791,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-12,8.0500,8.2300,7.9600,8.0000,62353627,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-13,8.0000,8.0800,7.9300,7.9900,41657260,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-14,8.0000,8.0100,7.9100,7.9600,27351617,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-15,7.9500,8.0600,7.9000,7.9600,37666739,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-18,7.9300,8.0400,7.7500,7.9600,34931553,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-19,7.9700,8.1200,7.9200,8.0700,54523991,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-20,8.0500,8.1100,8.0100,8.0900,24312754,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-21,8.0800,8.1900,8.0500,8.0800,49137075,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-22,8.0800,8.1900,7.9100,8.1000,43605334,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-25,8.1000,8.3300,8.0100,8.3100,40400231,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-26,8.2500,8.5900,8.2300,8.5700,41796055,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-27,8.5700,8.8100,8.5100,8.7900,44733247,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-28,8.7900,8.8300,8.6300,8.7500,22518590,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-05-29,8.8000,8.8800,8.6700,8.7600,38717375,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-01,8.7500,8.7700,8.4300,8.4700,29443405,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-02,8.4500,8.5800,8.4300,8.4800,23860764,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-03,8.4600,8.4700,8.1200,8.1700,25865062,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-04,8.1700,8.3400,8.1700,8.3200,20416577,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-05,8.3700,8.4400,8.2600,8.4000,16577223,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
