time,open,high,low,close,volume,note
2018-10-16,58.5600,70.2700,58.5600,70.2700,419948,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-05,377.0000,391.8100,372.0000,386.0000,5782954,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-08,388.8200,391.7800,357.3200,357.3200,6898374,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-09,357.0500,367.0000,346.5000,348.2200,7503987,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-10,363.0000,374.8500,361.0000,367.9300,7049732,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-11,370.1700,385.0000,367.0400,372.0000,5896457,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-12,374.0000,385.0200,371.0000,384.0300,5377074,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-15,379.0000,379.0000,354.0000,361.1100,6957268,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-16,365.0000,368.0000,358.0000,366.0000,3884632,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-17,365.0500,373.0000,354.9500,368.2100,3984666,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-18,374.0000,384.7100,370.2600,379.9500,3972531,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-19,371.7600,373.0000,355.0000,361.0000,5424643,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-22,360.1500,368.9900,357.4400,361.2000,3739860,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-23,361.5000,377.2500,360.1100,366.6600,3935707,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-24,365.8200,383.0000,365.8000,376.0000,4796238,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-25,374.0000,384.9300,370.1700,382.3700,3907476,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-26,385.3100,390.8700,376.0000,386.0100,6070295,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-29,386.0000,399.7900,383.0300,392.7900,4642880,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-30,393.2100,408.8800,391.4500,408.8800,3951656,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-03-31,407.0000,407.0000,395.0100,399.1100,4637882,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-01,401.1000,416.0000,401.1000,409.0300,2977635,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-02,409.7900,416.7600,402.5100,407.5500,3287212,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-06,407.4500,407.5000,395.7000,399.4000,3078712,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-07,400.2000,401.8000,392.0000,397.3800,3514198,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-08,397.0000,417.0000,393.1300,413.2100,4294395,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-09,417.3500,419.8000,400.0300,402.6000,3109945,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-12,402.4400,410.9900,392.0000,393.0100,3140223,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-13,395.0000,405.5000,394.5800,395.2900,3108475,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-14,401.1100,409.9000,398.0100,405.1300,3601252,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-15,400.2000,402.4300,385.0000,397.5000,4757435,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-16,400.5000,405.9900,392.5500,402.2000,2898777,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
