time,open,high,low,close,volume,note
2026-01-05,4.1600,4.3500,4.1500,4.2800,56190352,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-02,4.0100,4.0100,3.8600,3.8900,21338991,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-03,3.8700,3.9000,3.7200,3.7400,26536643,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-07,3.7200,3.8400,3.7100,3.8300,21450600,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-08,3.9000,3.9500,3.8800,3.9500,18865721,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-09,3.9200,3.9600,3.8700,3.9000,23080400,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-10,3.9300,4.0800,3.9200,4.0100,30000500,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-13,3.9800,4.0300,3.9600,4.0000,19953700,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-14,4.0400,4.1500,4.0200,4.1400,27920100,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-15,4.1500,4.1600,4.0600,4.0700,21467001,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-16,4.0700,4.1200,4.0400,4.1100,18136442,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-17,4.1100,4.1500,4.0900,4.1300,19258360,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-20,4.1400,4.1700,4.1100,4.1600,19165500,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-21,4.1400,4.1700,4.1300,4.1600,15110357,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-22,4.1400,4.2000,4.1300,4.1800,19027181,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-23,4.1200,4.1500,3.9300,3.9500,40854164,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-24,3.9700,3.9900,3.9100,3.9600,18306200,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-27,3.9500,4.0000,3.8100,3.9800,27290098,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-28,3.9600,4.0000,3.8900,3.9100,17754800,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-29,3.8800,4.0500,3.8800,4.0300,22832499,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-30,3.9000,3.9000,3.6300,3.6400,76003626,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-06,3.6200,3.6500,3.5200,3.5400,47423287,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-07,3.5500,3.5700,3.5200,3.5500,27951708,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-08,3.5500,3.5800,3.5100,3.5800,32987009,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-11,3.5900,3.6000,3.4100,3.4500,45901213,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-12,3.4400,3.4500,3.3800,3.3900,29051637,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-13,3.4100,3.5900,3.3900,3.5800,48023996,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-14,3.5800,3.6100,3.3700,3.3700,40364723,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-15,3.3700,3.4000,3.2700,3.2900,30320084,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-18,3.3000,3.3200,3.2300,3.3100,22319865,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-19,3.3000,3.3600,3.2700,3.3500,21050500,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-20,3.3300,3.3300,3.2500,3.2900,18831347,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-21,3.3100,3.3200,3.1300,3.1500,24582683,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-22,3.1600,3.2400,3.1200,3.2000,20319731,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-25,3.2000,3.2300,3.1400,3.1700,17210100,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-26,3.1800,3.1800,3.0800,3.1300,21626975,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-27,3.1300,3.1400,3.0300,3.0500,19310268,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-28,3.0400,3.1400,3.0400,3.1100,24830394,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-05-29,3.1100,3.1500,3.0000,3.0400,25792031,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-01,3.0400,3.1700,3.0100,3.1400,29325552,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-02,3.1400,3.1500,3.0300,3.0800,24272633,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-03,3.0900,3.1000,3.0200,3.0500,19009567,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-04,3.0400,3.0700,2.9900,3.0200,20147921,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-05,3.0200,3.0600,2.9600,3.0100,23455600,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-08,2.9600,3.0300,2.8500,2.9000,27649277,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-09,2.9200,2.9300,2.8500,2.8900,19345363,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-10,2.8900,2.9000,2.8200,2.8700,18322981,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-11,2.8900,3.1600,2.8600,3.1600,39636887,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-12,3.2700,3.4800,3.1700,3.4800,113321991,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-15,3.4500,3.7200,3.3500,3.5800,158414105,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-16,3.5000,3.6700,3.4600,3.6300,113598863,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-17,3.5900,3.6000,3.3600,3.3800,78086099,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-18,3.3900,3.4300,3.2800,3.3900,46030900,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-22,3.3800,3.5500,3.3500,3.4400,63430159,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-23,3.4000,3.4900,3.3200,3.3500,47111597,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-24,3.3400,3.3600,3.1300,3.1600,49547476,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-25,3.1800,3.1800,3.0300,3.0900,41022712,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-26,3.0700,3.0800,2.9600,2.9600,33751827,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-29,2.9600,2.9700,2.8100,2.8800,38903636,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-06-30,2.8600,2.9100,2.7600,2.9000,28624630,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-07-01,2.8900,3.0300,2.8100,2.9400,35384400,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-07-02,2.9400,3.1300,2.9100,2.9600,49519476,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-07-03,2.9300,2.9800,2.8800,2.9200,31302740,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-07-06,2.9100,2.9800,2.8700,2.8900,26678991,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-07-07,2.8900,2.8900,2.7500,2.7800,24619943,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-07-08,2.7700,2.7800,2.7000,2.7400,19465259,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-07-09,2.7400,2.7700,2.6300,2.7300,24676162,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
