time,open,high,low,close,volume,note
2020-02-21,470.0000,538.8800,448.0300,500.1000,11290190,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-09-12,306.9800,310.9000,304.5300,307.5600,608717,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-09-13,308.0500,309.7000,301.8900,303.2700,793667,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-09-14,304.5400,305.9000,291.1300,293.9800,1707450,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-09-15,294.9600,294.9600,282.5000,289.4800,1690601,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-09-18,287.8100,291.8600,282.3800,287.0400,1034161,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-09-19,287.2000,288.8700,282.5500,286.0000,739095,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-09-20,284.1500,286.3400,280.5000,281.5400,757699,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-09-21,279.7900,283.0000,278.2000,279.3000,975487,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-09-22,279.4900,282.0200,274.0800,281.3100,1212777,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-09-25,280.3500,285.5400,277.7600,278.7800,1052694,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-09-26,277.9000,292.0000,276.0100,290.3000,1767707,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-09-27,290.4000,293.8000,288.2200,292.4900,848149,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-09-28,292.4800,298.4200,291.4800,295.3600,858867,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-09,294.3400,296.6400,288.5000,291.2200,701876,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-10,293.9900,294.2100,289.5000,291.4500,588709,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-11,289.8500,300.6900,289.8500,296.5500,767751,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-12,295.0000,300.0000,294.6500,295.0500,753162,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-13,294.0200,300.8700,294.0200,296.5200,759968,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-16,295.5400,301.0000,291.9000,293.5000,557135,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-17,291.9900,297.7900,289.4500,297.4800,529554,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-18,298.0100,299.5100,293.0300,293.7300,462803,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-19,293.7300,296.1200,288.0800,289.5500,588961,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-20,286.0000,287.0000,279.6000,281.7200,879137,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-23,281.7200,283.8700,270.3200,274.6200,1135338,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-24,276.6000,283.5700,273.4400,281.5000,856194,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-25,281.9900,285.9900,277.0500,278.4100,823388,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-26,277.2200,292.4400,277.0000,280.9600,1160458,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-27,285.9600,294.7600,281.2300,291.7700,1231062,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-30,328.0000,333.0200,306.0000,317.5000,3433004,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-10-31,319.2800,324.6400,313.0000,315.9900,1436420,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-01,315.0000,321.9900,303.0000,310.1100,1581163,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-02,312.0000,312.0000,301.1100,301.7700,1110988,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-03,303.5500,310.5000,300.1300,307.3800,1081590,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-06,307.3200,311.0000,285.9500,300.0600,1985734,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-07,299.0000,305.4000,295.1000,303.7100,856674,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-08,301.9100,305.2700,295.5800,304.8500,1195796,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-09,304.8200,305.1400,296.1500,304.9000,858523,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-10,301.0000,311.8700,300.0000,309.7800,1099656,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-13,309.6400,312.0000,297.5800,298.4000,1113002,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-14,297.5000,301.3600,297.5000,299.6900,716391,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-15,304.0000,305.0000,298.9900,304.5000,689576,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-16,304.0000,304.0000,298.1500,300.8800,512481,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-17,301.0000,303.3300,298.2000,303.1000,664723,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-20,298.8900,302.0000,293.7900,295.4500,886556,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-21,296.0000,300.8000,292.0500,296.3600,768091,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-22,296.2800,296.2800,289.5700,290.2500,717436,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-23,290.1400,295.0000,287.9700,294.7300,437351,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-24,291.0000,295.9700,288.5500,292.7700,539534,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-27,286.2700,291.5700,280.8100,283.8000,1456098,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-28,284.0900,287.4900,280.2000,287.4900,1122219,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-29,287.4900,293.7700,285.0100,293.0000,1018799,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-11-30,294.0000,299.0000,290.1900,299.0000,869016,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-01,294.8000,294.8800,277.0000,282.5000,1870692,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-04,282.5000,282.5000,272.0000,273.0000,1633843,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-05,272.2700,275.3300,267.3500,267.7800,994347,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-06,269.9800,273.1900,263.5800,270.8600,1117405,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-07,270.8900,274.2100,266.1300,271.9400,989376,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-08,271.1200,285.9800,271.1200,285.9800,1862985,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-11,282.0000,283.0100,274.6000,276.7000,1449072,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-12,276.5400,279.4700,264.5200,267.2900,1564879,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
