time,open,high,low,close,volume,note
2019-07-22,109.8000,125.0000,62.0000,81.0300,36520183,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-10-22,151.7000,158.5000,151.5500,156.8000,7660270,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-10-25,156.3600,157.8000,152.7700,157.4300,5079251,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-10-26,157.4500,158.2700,153.6500,154.9500,4616844,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-10-27,153.8300,155.9700,148.9400,150.5900,5829193,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-10-28,145.9400,150.4200,143.1100,143.4700,6066134,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-10-29,145.0000,157.6900,144.6600,156.2000,9853420,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-01,157.0000,158.5600,153.5000,157.0000,4856145,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-02,157.9000,162.9000,155.4300,156.8000,5923668,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-03,159.8000,161.5300,154.1800,157.1500,4886397,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-04,157.9800,160.3000,155.6000,156.7000,4219305,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-05,159.9500,162.2500,156.5200,157.1900,5552208,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-08,156.7000,156.7000,149.1300,151.9800,5424671,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-09,152.6000,159.0500,150.7800,158.2000,6748969,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-10,156.0700,170.4200,155.6000,169.3600,13680187,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-11,166.0100,180.6600,165.2800,173.3800,14822403,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-12,170.7000,175.6000,168.3300,169.8900,7065311,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-15,171.6600,172.8000,165.1700,167.6800,6005636,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-16,167.5000,169.3500,162.6000,163.2800,5609659,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-17,163.0000,165.4600,161.3000,164.1700,5218223,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-18,163.4000,165.5000,160.5000,164.4500,5191015,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-19,163.9000,165.3900,161.7800,164.5000,4307674,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-22,164.0000,170.0000,163.0000,169.0900,6063379,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-23,168.1600,171.0000,164.5000,164.6100,6075435,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-24,163.3000,169.3800,161.5000,162.4200,5341356,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-25,162.7100,167.2900,161.7000,166.4000,5605259,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-26,167.0000,167.0000,160.3900,162.0000,4930461,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-29,158.9000,161.5000,158.0000,158.2000,4183785,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-11-30,160.0000,164.0000,159.0000,160.0300,5307920,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-01,158.9000,163.5500,158.7200,160.2400,3962034,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-02,160.2400,161.2100,151.1800,151.9700,8170730,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-03,152.5000,157.8800,152.2600,156.9000,6787949,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-06,156.0000,157.8000,152.3000,153.0300,4471775,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-07,153.9000,154.8900,147.0600,149.1000,5228010,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-08,149.9800,151.9900,149.1400,150.5400,3926828,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-09,150.5700,152.8500,149.6000,152.0000,4823038,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-10,151.0000,152.0000,149.2200,150.0000,5915436,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-13,150.0000,150.9900,147.0900,147.7600,5437262,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-14,148.1800,149.8800,147.0100,148.5300,3437041,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-15,148.9600,149.7500,144.9800,145.1500,4456269,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-16,145.8000,147.5700,144.4500,145.8000,3339229,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-17,145.0000,146.0000,138.0300,138.1000,7899285,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
