time,open,high,low,close,volume,note
2026-01-05,36.6800,36.7700,35.9600,36.3600,13070356,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-08,33.6400,34.1000,33.6400,34.0900,7422301,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-09,33.8500,33.8500,33.4000,33.4400,5684876,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-10,33.5400,33.8700,33.5300,33.6700,5027812,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-13,33.4800,33.8500,33.3500,33.7500,4690433,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-14,33.8600,34.1200,33.7500,34.1200,5386810,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-15,34.1800,34.5400,34.0800,34.1100,5327651,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-16,34.0800,34.3500,33.9500,34.1200,4743702,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-17,34.1300,34.1600,33.7800,34.0600,4345593,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-20,34.0800,34.3300,34.0200,34.2000,5251301,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-21,34.2100,34.2700,33.8100,33.8700,4567841,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-22,33.8000,33.8200,33.5700,33.7800,4491630,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-23,33.7500,34.1400,33.6200,33.7100,5672230,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-24,33.7000,33.7200,33.2000,33.2500,4991700,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-27,33.2000,33.3000,32.8600,33.2400,4308692,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-28,32.6000,32.6000,31.5800,31.6800,13559444,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-29,31.6800,31.8000,31.5900,31.7100,6901338,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-30,31.6100,31.7700,31.1900,31.2100,8637130,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-06,31.1800,31.4700,31.1300,31.2900,8495050,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-07,31.3500,31.4000,30.7300,31.0400,9933658,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-08,30.9800,31.5300,30.8400,31.4800,12041373,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-11,31.5700,31.8800,31.3600,31.5600,9516950,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-12,31.5700,31.6200,31.0300,31.3000,7323903,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-13,31.2700,31.3900,30.9800,31.2400,5805057,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-14,31.2500,31.3100,30.4600,30.5500,8695841,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-15,30.5600,30.6700,30.0700,30.2000,6758474,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-18,30.0500,30.2700,29.7600,29.8500,6083460,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-19,29.7400,29.9900,29.5000,29.8700,6903719,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-20,29.8700,29.8700,28.9400,29.0900,8649130,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-21,29.1500,29.4900,28.6000,28.6800,8065097,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-22,28.7900,28.8200,27.7800,28.0800,11302207,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-25,27.9600,28.3000,27.9000,28.1400,6097775,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-26,28.1400,28.1700,27.8000,28.1700,5493051,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-27,28.3800,28.7900,27.8900,27.9600,8305314,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-28,27.9000,28.2800,27.6900,27.8400,5988693,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-05-29,27.9500,28.0000,27.3800,27.4000,8611500,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-01,27.8800,28.3700,27.4600,27.7100,8807301,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-02,27.6300,27.8800,27.3900,27.7400,6916484,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-03,27.5800,27.7000,26.9500,27.0800,9176023,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
