time,open,high,low,close,volume,note
2026-01-05,7.9500,8.1300,7.8700,8.0800,89570323,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-24,5.5400,5.6400,5.5100,5.6200,171079739,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-25,5.7300,5.8100,5.6900,5.7600,157308699,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-26,5.7400,5.9300,5.6600,5.6900,187002706,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-27,5.6500,5.8400,5.6400,5.7600,101633493,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-30,5.6400,5.7600,5.5800,5.7300,108755845,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-31,5.7400,5.8400,5.6300,5.6500,103609856,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-01,5.7800,5.9500,5.7800,5.9300,159417938,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-02,5.8600,5.8700,5.7200,5.7400,128743957,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-03,5.7300,5.7500,5.6500,5.6700,66607351,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-07,5.6800,5.6800,5.5600,5.6100,69065200,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-08,5.9500,6.1500,5.9400,6.0500,228017223,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-09,5.8800,5.9300,5.7900,5.8200,163273726,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-10,5.8600,5.8900,5.8000,5.8000,108988120,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-13,5.6900,5.7600,5.6800,5.7200,98657657,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-14,5.8100,5.8800,5.6700,5.7400,128239290,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-15,5.8700,5.9300,5.7400,5.7600,156427625,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-16,5.7600,5.8100,5.7300,5.7600,113291640,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-17,5.7300,5.7600,5.6700,5.7100,103071080,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-20,5.7200,5.8200,5.7000,5.8100,199097448,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-21,5.7700,5.8300,5.7400,5.7800,115578744,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-22,5.7400,5.7400,5.6800,5.7200,122169160,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-23,5.6600,5.6900,5.5800,5.6200,136451229,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-24,5.5900,5.6100,5.5400,5.5600,87222629,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-27,5.5300,5.5500,5.4500,5.5100,84449599,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-28,5.4800,5.5100,5.4100,5.4400,90270273,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-29,5.4200,5.5200,5.4100,5.5000,77390282,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-04-30,5.4500,5.5300,5.3800,5.4100,178828398,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-06,5.4500,5.5300,5.4200,5.5100,138658867,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-07,5.6400,5.7100,5.5700,5.6200,163525745,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-08,5.5600,5.7700,5.5400,5.7100,214933051,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-11,5.6500,5.6600,5.5800,5.6500,127631817,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-12,5.6400,5.6900,5.5800,5.6000,101755713,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-13,5.6000,5.6200,5.5300,5.6200,97877124,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-14,5.6100,5.6300,5.4800,5.4900,113392836,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-15,5.4800,5.4900,5.3500,5.3700,143037888,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-18,5.3300,5.3300,5.1900,5.2300,134957900,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-19,5.2500,5.3600,5.2500,5.3500,83906235,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-20,5.3200,5.3300,5.2400,5.2900,61228424,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-21,5.4000,5.4900,5.3600,5.3700,140305661,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-22,5.3800,5.3900,5.2700,5.2900,95871349,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-25,5.4300,5.5800,5.4200,5.5400,202095313,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-26,5.5000,5.6600,5.4700,5.6000,176261235,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-27,5.5500,5.5800,5.4500,5.4700,118723386,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-28,5.5100,5.5800,5.3800,5.4200,111340552,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-05-29,5.5000,5.6800,5.4800,5.4900,205801498,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-01,5.4400,5.5000,5.3400,5.4300,128936577,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-02,5.3600,5.3900,5.2900,5.3500,124379053,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-03,5.2800,5.3000,5.1900,5.2000,166450919,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-04,5.1900,5.2400,5.1700,5.2100,77523623,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-05,5.2600,5.3000,5.1800,5.2200,89356445,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-08,5.1000,5.1100,4.9800,5.0400,152739858,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-09,5.0600,5.1300,5.0300,5.1100,84567784,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-10,5.0700,5.1300,5.0500,5.1100,57334048,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-11,5.0100,5.0400,4.9800,5.0200,68136853,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-12,5.1500,5.3000,5.1200,5.2700,206179119,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-15,5.5400,5.6800,5.4200,5.4600,258318361,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-16,5.4400,5.4800,5.3700,5.3900,109614293,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-17,5.5000,5.5100,5.3800,5.4500,108166929,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-18,5.4200,5.4400,5.2600,5.2900,114932286,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-22,5.2100,5.2900,5.1200,5.2800,88870442,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-23,5.2800,5.3300,5.1300,5.1600,85471618,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-24,5.1600,5.4000,5.1300,5.2500,118815711,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-25,5.3800,5.6400,5.3500,5.5800,291931423,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-26,5.5000,5.5400,5.4100,5.4100,122684832,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-29,5.3500,5.3600,5.2400,5.3000,126671307,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-06-30,5.2700,5.2800,5.1100,5.1800,152325711,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-07-01,5.1900,5.3800,5.1500,5.3500,132813444,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-07-02,5.3800,5.4300,5.2300,5.2600,117102536,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-07-03,5.2600,5.3100,5.1700,5.2100,100252288,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-07-06,5.2100,5.2900,5.1800,5.2300,102505156,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-07-07,5.2000,5.2100,5.1000,5.1200,116541705,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-07-08,5.0500,5.1100,5.0300,5.0600,89545212,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-07-09,5.0100,5.0600,4.9900,5.0500,84860762,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
