time,open,high,low,close,volume,note
2018-01-02,28.8700,29.0800,28.1200,28.4200,4216908,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-07-19,107.8800,108.8700,105.0000,105.3600,19781690,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-07-22,105.9200,106.9800,103.8600,105.1100,14824521,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-07-23,107.2700,107.8800,102.1200,102.1900,16476944,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-07-24,101.5000,106.0100,100.5600,101.0600,19456617,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-07-25,99.0500,99.1000,91.9100,93.6900,35545665,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-07-26,93.6900,96.8000,92.5100,95.3700,20878196,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-07-29,95.3000,101.3300,94.1000,99.6600,27150258,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-07-30,98.0100,99.0600,96.1200,97.6900,15714471,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-07-31,96.9000,100.0000,94.5000,99.7700,30782108,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-01,104.8000,106.7000,101.4500,101.7600,27947520,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-02,96.9500,97.3000,92.3400,92.4100,42753610,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-05,86.8600,91.0900,85.2900,85.5000,42171234,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-06,89.9000,92.2000,88.9700,90.4900,28564386,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-07,90.0000,93.5900,88.8100,91.6700,26405934,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-08,90.6200,91.9500,89.0000,90.8000,18190964,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-09,93.5100,95.9900,92.5000,93.8800,27909337,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-12,93.1000,97.6900,93.1000,95.4300,19597077,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-13,96.3700,99.3400,94.6500,95.9800,20814461,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-14,98.0000,98.6700,95.0000,95.0000,16275428,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-15,94.7000,96.2000,93.9800,94.6000,12955317,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-16,97.4400,100.7800,97.0000,98.2000,25327027,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-19,98.2600,101.7000,97.1100,99.6000,18398436,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-20,101.6400,102.5300,99.3500,99.8900,17226519,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-21,98.0000,101.9200,97.5600,100.4100,15135485,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-22,100.8600,101.6600,98.6500,100.4500,12028160,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-23,99.5600,100.2100,98.1000,98.9900,12225443,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-26,100.5000,100.9000,95.5900,97.3500,17459187,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-27,96.3100,99.6100,95.0000,97.5700,14817152,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-28,97.0100,101.0000,95.7700,97.8300,16080537,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
