time,open,high,low,close,volume,note
2018-01-02,65.2800,66.5500,64.9600,65.8500,12714077,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-09,280.9900,281.4900,276.9900,279.7000,7609826,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-13,282.0000,286.6900,279.3700,284.8000,11152411,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-14,282.0000,283.8000,276.2600,278.3300,10515106,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-15,280.0000,280.5000,266.9100,269.5000,15239523,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-16,268.0000,271.4500,264.3600,265.9800,10447636,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-19,268.0000,273.9000,266.6800,270.3500,11094999,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-20,273.8000,277.4900,272.0100,274.2100,11124502,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-21,271.8000,272.6100,267.0000,270.0000,8375363,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-22,267.4900,269.3800,261.3000,268.5500,9279950,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-23,267.0900,269.7700,264.2800,266.4000,7964412,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-26,266.4000,276.0000,263.5800,272.9500,14360640,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-27,272.9600,274.8300,270.0600,273.9600,8309593,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-28,273.0000,273.0000,265.5000,265.6200,8562018,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-29,270.0000,271.8000,264.0000,264.5700,8835668,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-09-30,263.0000,263.5500,249.0000,252.0100,21403588,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-10,252.2700,256.4000,249.4400,251.2000,11747850,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-11,252.0000,257.3800,249.3300,255.0100,13282039,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-12,254.0000,263.2500,249.9500,262.3400,14487143,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-13,260.0000,263.0000,258.0800,258.1800,9618660,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-14,262.0800,269.1000,259.9500,264.5400,14569451,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-17,263.0000,263.0000,256.6900,260.6600,10967836,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-18,279.0000,279.0000,272.5000,273.6700,24414179,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-19,273.6700,276.4400,266.8800,267.5000,13400403,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-20,264.0000,265.5800,257.4000,263.5100,12841678,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-21,263.5200,270.8800,262.0100,266.3000,10478554,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-24,264.9000,266.3100,253.5700,255.5700,16741256,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-25,253.0000,260.5900,250.0300,257.9100,11324267,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-26,260.0000,264.0400,255.2900,257.8700,12641527,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-27,258.9900,260.7200,255.0000,255.0000,9776582,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-28,253.0000,253.0000,235.8100,239.8900,26316393,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-10-31,237.5000,251.0000,237.1100,246.6700,18794233,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-01,247.1100,262.2000,247.0000,261.8200,21928271,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-02,261.0000,271.6000,258.3600,267.5600,18731929,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-03,265.0200,271.7600,264.1000,267.9800,10238397,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-04,268.9800,283.0200,268.0000,280.2000,22488689,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-07,275.0000,282.0300,272.9900,278.8800,13584206,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-08,279.4500,282.6000,273.5000,276.4100,10563449,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-09,278.1500,278.8800,268.6400,269.6300,11194636,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-10,264.6300,264.9700,255.8000,260.2600,15549677,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-11,270.5000,272.9700,265.1600,268.8000,16609959,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-14,269.2300,272.5400,262.7600,263.7900,11523697,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-15,263.9900,268.3000,260.1000,267.0000,11284835,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-16,265.7800,266.6000,260.1000,261.0800,10354941,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-17,259.9100,259.9100,253.5800,257.0000,11126057,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-18,257.7700,259.5600,253.5000,254.6800,10118376,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-21,252.8400,254.6000,248.5100,254.2000,8251507,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-22,255.0000,255.2500,250.0000,250.4900,8014551,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-23,250.4900,251.5000,247.2000,251.5000,8846881,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-24,253.3500,255.0000,248.2800,249.3900,8531406,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
