time,open,high,low,close,volume,note
2018-03-02,150.0000,174.4400,150.0000,151.6800,14570951,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-13,108.0600,118.0000,107.5000,116.1900,11368821,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-16,116.6000,119.8000,114.1400,117.0400,7041001,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-17,118.1300,121.9900,115.8900,119.5800,7939668,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-18,122.1000,124.9900,116.8300,116.9700,7481518,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-19,115.9000,118.3300,114.0300,116.0200,5255455,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-20,116.9000,121.3600,114.1200,119.0400,6174980,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-23,120.8900,129.1600,120.0000,128.2400,9055501,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-24,125.5000,127.7000,123.5000,126.3900,7036011,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-25,125.1000,129.4700,125.1000,126.3200,4751683,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-26,125.0100,125.6000,114.0000,117.6800,8726835,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-27,117.0000,119.6000,115.5000,118.3100,3446332,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-30,118.2400,118.5500,112.2500,113.5500,4612927,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-31,114.2500,115.7000,113.0000,114.9400,3020928,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-01,116.0400,124.5000,116.0400,118.6800,8545999,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-02,119.0000,122.3800,114.3800,120.5000,6891806,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-03,115.5300,117.7000,108.6000,108.6900,7851168,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-06,106.0000,108.1300,102.9000,104.6900,4475011,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-07,105.0600,107.3300,100.0100,107.0700,5859684,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-08,105.9000,106.9000,98.4800,99.4200,4891605,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-09,98.7200,108.1100,98.1700,106.7900,7249273,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-10,106.7000,112.5000,106.0400,111.1700,6155932,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-13,109.6600,115.2800,108.6800,114.6400,6147902,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-14,113.3300,114.2000,106.8500,108.9600,6496362,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-15,108.1200,109.9300,104.0000,104.9000,5310409,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
