time,open,high,low,close,volume,note
2020-04-20,9.5000,11.0900,8.9600,10.9100,320011200,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-10,46.2000,49.9600,45.5100,48.1400,77560490,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-13,47.9900,57.7700,47.9900,57.7700,88700521,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-14,58.0000,69.0000,55.5000,63.9000,112466579,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-15,62.7700,68.1500,51.1200,51.1600,137935229,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-16,49.4600,49.4900,41.2000,42.3100,123728919,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-17,42.3100,45.7700,42.2700,44.1900,88653158,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-20,45.5300,46.4800,41.1500,45.6700,78019707,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-21,44.9500,47.6000,44.3000,44.3400,64923240,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-22,44.3900,46.1200,44.2000,44.9000,55347320,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-23,44.0000,44.7200,41.0600,43.2100,71058087,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-24,42.0000,42.3500,37.0000,37.0700,87143193,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-27,37.8600,38.9500,37.0200,38.2000,49319330,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-28,38.8700,39.9500,37.7000,38.7700,41070759,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-29,38.4000,46.5000,38.2800,46.5000,97869535,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-30,46.5100,50.5200,44.9200,47.8800,110135743,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-07-31,47.0800,52.8000,47.0000,51.3000,99445300,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-03,53.1800,55.8400,50.4800,50.8300,98871051,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-04,51.6700,53.3300,48.2300,51.9500,84812287,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-05,56.0600,59.6000,53.1800,53.2100,86822306,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-06,51.6100,55.0000,51.6100,52.7800,73133387,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-07,52.3500,52.6200,47.5000,49.1400,80203999,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-10,48.0700,52.3600,48.0600,50.9100,63152356,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-11,50.1400,52.1500,48.0500,48.4600,56504789,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-12,48.6000,50.3400,47.0200,49.9000,56553034,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-13,51.5000,51.8800,48.4100,48.9800,44498328,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-14,48.8200,50.1900,48.5100,49.8900,32521040,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-17,50.1800,50.4500,48.3800,50.2100,42748981,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-18,50.1700,50.7200,48.6000,48.9000,35216576,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-19,48.5000,48.6800,42.6800,42.9600,79624709,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-20,43.0000,45.5000,42.1100,44.3300,43634520,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-21,45.0800,45.4400,42.6800,43.8600,33847049,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-24,44.1200,45.5500,40.3000,44.0200,48109066,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-25,43.9800,44.5500,41.8800,42.1100,34405604,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-26,41.9800,42.5000,38.3400,39.1200,50808088,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-27,38.9500,45.6200,38.1000,45.6000,89385034,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-28,44.0000,44.9000,41.5800,42.9800,61530575,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-08-31,43.1900,45.2300,41.8800,42.8200,49364119,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-01,42.6000,44.4500,41.9700,43.5000,36135358,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-02,43.5000,43.5000,42.0000,42.0000,29621575,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-03,41.6300,43.5200,40.0800,41.9300,43731433,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-04,40.9900,44.2400,40.5000,43.0800,49707301,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-07,41.6000,44.1600,40.8600,41.1500,43374402,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-08,41.4900,41.7600,38.7400,39.2100,40340832,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-09,38.4600,40.1000,36.6800,37.6600,43002633,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-10,38.8200,40.2300,37.6800,38.3400,34763408,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-11,38.1200,39.4300,38.0000,39.1200,27889372,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-14,40.0000,40.3900,38.8200,39.1100,27891422,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-15,38.8400,40.1500,37.5200,39.2300,40097034,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-16,38.5000,40.0100,38.1000,38.3500,25951303,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-17,38.2000,41.8000,37.8300,40.3600,54832299,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-18,39.9800,40.6000,39.6400,40.1900,30922828,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-21,40.5800,40.8700,38.8300,38.8700,23826406,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-22,38.6500,39.6600,38.1100,38.3100,20490671,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-23,38.6800,39.9000,38.3000,39.2500,28621398,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-24,38.7000,39.7700,38.4100,38.4600,21331537,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-25,38.7900,38.8800,37.0100,37.0600,22466979,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-28,36.1900,36.4800,33.7900,34.1500,36543090,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-29,34.6000,36.1500,34.4400,34.7900,27521084,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-09-30,35.2800,35.3600,34.0200,34.0600,16932654,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-09,35.0500,35.5600,34.6800,35.0000,19177014,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-12,35.2000,40.1900,35.2000,39.4300,50376189,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-13,38.5000,39.0000,37.5300,38.4100,34731753,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
