time,open,high,low,close,volume,note
2018-01-02,3.8800,3.9400,3.8800,3.9100,89191447,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-10-17,4.0800,4.4200,4.0700,4.3600,377469732,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-10-18,4.4500,4.4600,4.2200,4.3200,263498614,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-10-19,4.2800,4.3500,4.2300,4.2500,158562426,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-10-20,4.2000,4.3200,4.1600,4.2700,152416893,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-10-21,4.2800,4.3400,4.2100,4.2300,145896583,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-10-24,4.2500,4.3000,4.1500,4.1700,124049797,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-10-25,4.1100,4.1700,4.0400,4.1100,150535045,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-10-26,4.1100,4.2700,4.0900,4.2600,179334456,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-10-27,4.2700,4.3300,4.2100,4.2100,108383456,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-10-28,4.2000,4.2300,4.0700,4.0900,112863965,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-10-31,4.0400,4.1200,3.8700,3.9100,209635229,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-01,3.9600,4.1200,3.9400,4.1200,172375708,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-02,4.1500,4.2000,4.0800,4.1000,143233495,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-03,4.0500,4.0800,3.9800,4.0200,133255041,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-04,4.0100,4.1700,4.0100,4.1600,183328255,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-07,4.1600,4.2600,4.1400,4.1500,149145594,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-08,4.1700,4.2600,4.0600,4.1200,188310433,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-09,4.1800,4.2400,4.1200,4.1800,142946780,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-10,4.1500,4.1600,4.0600,4.0800,140591023,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-11,4.1800,4.2500,4.1300,4.2100,243491201,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-14,4.2300,4.3000,4.1800,4.2100,167639030,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-15,4.2100,4.4800,4.1700,4.4500,481979009,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-16,4.4500,4.5500,4.4300,4.5100,416964951,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-17,4.4900,4.5300,4.3500,4.3900,320373240,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-18,4.4000,4.4400,4.3000,4.3400,261461691,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
