time,open,high,low,close,volume,note
2018-09-18,19.2800,23.1400,19.2800,23.1400,390103,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-06-13,25.6000,26.3500,25.6000,25.6600,3896595,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-06-14,25.7200,25.8800,24.8800,24.8900,5238153,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-06-17,25.2000,25.5000,25.0300,25.1000,3652669,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-06-18,25.4500,25.4500,25.1000,25.3100,1895507,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-06-19,26.3000,27.8400,26.3000,27.8400,12223860,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-06-20,27.8300,27.9800,26.9100,27.4200,8714875,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-06-21,27.9500,28.6000,27.2000,27.9100,6424222,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-06-24,27.6200,27.8300,27.0000,27.7000,5114284,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-06-25,27.7000,27.7000,26.5000,27.3300,4914826,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-06-26,27.1900,29.6700,27.1300,28.7500,8245980,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-06-27,29.3000,30.2800,29.0400,29.6000,8747778,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-06-28,29.2500,29.7200,28.8800,29.3600,5379468,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-01,30.7900,32.2000,30.2200,31.9800,10749140,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-02,31.8000,31.8700,30.5800,31.3300,5967601,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-03,31.2000,31.3300,30.2500,30.6300,3236839,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-04,30.7000,30.9500,29.7100,29.9500,3550354,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-05,30.2700,31.0200,29.9700,30.5300,4215445,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-08,30.9200,30.9200,29.5400,29.8100,3113672,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-09,29.6400,30.2900,29.4800,30.1800,2554628,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-10,30.7500,30.7500,29.6000,29.7400,3352870,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-11,29.9200,30.8500,29.9200,30.4700,4765634,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-12,30.7100,30.7100,29.8900,30.4500,2578118,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-15,30.1600,31.9300,29.7400,31.3000,4887045,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-16,31.1500,33.3000,31.1300,31.9600,6952739,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-17,31.7600,33.5000,31.7600,32.6000,5377565,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-18,32.2300,32.5800,31.2000,31.4700,4345251,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-19,31.8000,32.2800,31.3000,31.6800,2826549,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-22,32.2000,32.3500,30.4900,31.6100,3706207,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-23,31.8200,33.0600,31.2200,32.9100,5436655,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-24,33.1800,34.9500,33.1800,34.2300,8154460,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-25,34.1800,36.0500,33.9800,35.6200,8565795,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-26,35.6400,36.4200,35.0200,35.9100,4771880,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-29,35.9000,36.9600,35.3100,36.0200,6595359,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-30,36.2100,36.3000,34.9300,35.0600,5774812,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-07-31,34.5000,35.9600,34.4800,35.2400,4675029,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-01,35.0500,35.6800,34.5400,35.0000,5087351,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-02,33.1600,35.9300,33.1000,35.2500,9556979,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-05,35.0000,35.8200,34.1200,34.2800,4826152,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-06,33.8700,35.5800,32.6800,34.7600,6761176,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-07,35.7600,36.4300,34.9600,35.2400,5982487,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
