time,open,high,low,close,volume,note
2022-08-12,70.0000,73.8000,60.1000,60.1000,119133625,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-24,43.5600,44.6700,43.4200,43.9800,7556608,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-25,43.6000,45.1500,43.0200,43.4600,7923905,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-28,42.7000,43.5900,41.6600,41.9100,9961786,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-29,41.8500,42.7200,41.5800,42.1200,8446791,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-30,42.1800,42.3000,41.0600,41.4400,8475504,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-01,42.0900,43.5000,41.9600,42.7100,10637205,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-02,42.4000,44.5000,42.3100,43.2500,9510821,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-05,43.8800,44.1700,42.9200,43.6500,6706085,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-06,43.1500,46.5000,43.1500,45.0700,13244351,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-07,45.0000,45.7400,44.5800,45.2000,6987422,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-08,45.0000,46.1500,44.6000,45.2800,7556530,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-09,45.1400,46.7700,45.0400,45.7500,12336370,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-12,45.3600,47.3500,44.9500,46.2100,8902193,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-13,46.0300,46.3300,44.8000,44.8900,6796636,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-14,46.4200,46.6500,44.6000,44.6100,6806794,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-15,44.2600,45.6300,44.1200,44.2400,6114217,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-16,44.2600,44.2600,42.8500,43.1100,6226726,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-19,43.0500,43.2800,41.6000,41.8400,4817118,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-20,41.9600,42.4200,41.4300,41.8300,3675107,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-21,41.8300,41.8400,40.2000,40.5100,4578371,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-22,40.8000,40.9600,39.7000,39.7600,3739417,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-23,39.6000,40.3800,39.2500,40.0800,4174819,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
