time,open,high,low,close,volume,note
2018-01-02,41.5000,42.5200,40.6600,42.4800,10205238,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-09-17,195.8800,196.3000,190.0600,193.0100,10576005,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-09-18,194.1100,197.8500,188.7900,191.8000,11320490,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-09-21,191.5000,193.4900,185.8900,185.9500,9124997,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-09-22,184.2200,189.4000,183.5500,185.5800,8259206,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-09-23,186.0000,186.9000,181.8000,184.7000,7657710,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-09-24,185.5700,186.3800,182.5500,182.8000,6729762,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-09-25,182.7000,183.3500,173.9800,174.9100,10230276,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-09-28,174.0000,177.9800,172.7600,175.2000,5266069,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-09-29,177.5500,179.3000,174.8000,174.9600,5020925,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-09-30,176.9900,180.5000,175.2000,177.3700,6979638,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-09,182.0000,185.9500,182.0000,182.4000,7954317,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-12,183.9700,191.4900,183.5500,191.4300,14498776,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-13,191.5000,193.8800,189.0000,192.1600,9166901,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-14,192.3400,193.3000,183.7600,186.7000,8427497,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-15,188.0000,190.9800,185.2300,185.3000,6573692,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-16,187.5000,192.0000,183.0100,184.5000,7531966,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-19,186.2900,186.9000,179.3500,179.9800,6007193,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-20,178.8100,181.6000,176.0000,180.9000,5313853,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
