time,open,high,low,close,volume,note
2020-07-16,95.0000,95.0000,80.0000,82.9200,552103904,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-05-22,84.0000,84.6800,83.7100,83.8100,13347362,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-05-23,83.8000,84.2400,82.8900,82.9000,18562039,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-05-26,83.4200,84.6800,83.4100,84.0200,22378126,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-05-27,84.0000,84.2300,82.9500,83.0000,14405567,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-05-28,83.1400,83.2400,82.0000,82.0100,15766722,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-05-29,82.0500,83.4900,81.9000,83.4400,19295585,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-05-30,83.0100,83.1000,81.9400,82.0900,14577233,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-03,82.2000,82.7800,81.3700,82.4700,14113706,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-04,82.6000,83.3200,82.2600,83.1800,13713352,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-05,83.4900,84.8700,83.0300,84.3900,24759154,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-06,84.3300,85.0000,83.7800,84.5600,18634650,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-09,84.1500,85.0800,84.1000,84.4300,19227453,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-10,84.4900,84.4900,82.0200,82.3200,25443912,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-11,82.4600,83.3600,82.2900,82.9100,15435894,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-12,82.5000,82.8800,82.0600,82.2700,14536968,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-13,82.0000,83.1000,81.7100,82.7900,22621715,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-16,82.3000,83.0700,82.2800,82.9600,12509643,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-17,82.9800,83.1300,82.0200,82.4000,13764726,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-18,82.2300,82.6700,81.6600,82.0100,14912111,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-19,82.0000,82.8800,81.5100,81.6500,17728970,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-20,81.7300,82.5900,81.2200,81.2800,16691409,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-23,81.0300,85.3000,80.9000,84.2500,45387149,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-24,84.2500,85.3700,84.0900,85.1500,30936689,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-25,85.0000,88.5300,85.0000,88.3900,55719038,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-26,88.3900,89.9800,87.2000,87.2800,38656454,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-27,87.5800,88.1500,86.7000,86.8800,26165913,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-06-30,88.1800,89.6300,87.7900,88.1700,34352802,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-01,88.0000,88.8500,87.6500,87.7600,21688792,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-02,87.5000,87.7300,85.8100,86.1000,22557267,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-03,86.3800,86.7300,85.7800,86.2400,14615027,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-04,86.0000,87.2000,84.8600,85.8000,25225745,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-07,85.6900,86.8600,85.3700,85.4800,13534928,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-08,85.4900,86.8500,85.1800,86.7400,21766848,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-09,86.6500,86.8600,85.5200,85.8500,18310200,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-10,85.6100,86.1700,85.5000,85.6700,17563946,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-11,85.7000,89.3400,85.4000,88.1600,46992238,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-14,88.3000,88.4900,87.4700,87.5200,18983136,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-15,87.1500,87.9500,86.6100,87.8900,20617316,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-16,87.7300,88.2000,86.7700,87.1200,19670851,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-17,87.0600,89.0000,86.3200,88.7900,28792216,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-18,88.7500,89.1300,87.9300,88.5100,21995993,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-21,88.4500,89.5200,88.0400,89.0200,22271915,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-22,88.7000,90.5500,88.5000,89.0800,29742068,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-23,88.9000,90.1900,88.3000,89.3900,31654941,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-24,89.1000,92.9000,89.0000,91.7500,52232453,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-25,91.7400,93.6800,90.9900,93.4700,44212479,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-28,93.6400,93.6900,91.9600,92.1800,34264005,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-29,92.0000,92.6300,90.8100,92.1700,29414208,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-30,91.7000,91.8300,89.7400,90.3600,31001859,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-07-31,90.3200,92.7500,89.4600,89.5000,46198852,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-01,89.2000,90.3300,88.0200,88.2900,27414033,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-04,87.9500,90.6300,87.8800,90.0700,28605760,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-05,89.8500,90.5800,89.5800,90.0000,19567940,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-06,89.8600,91.0000,89.5300,90.7800,26779787,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-07,90.7000,91.7000,89.7500,90.5900,31525994,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-08,88.0000,88.5000,86.6600,86.6600,58473050,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-11,86.6900,87.1800,86.2200,86.9600,27919314,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-12,86.9500,90.1000,86.4200,88.5200,55155240,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-13,88.0100,89.2300,88.0000,88.6600,38430442,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-14,88.6900,92.5800,88.6900,89.4600,74149226,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-15,89.0000,93.3000,88.4800,91.8400,69049946,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-18,93.5000,95.1700,91.3600,92.3100,83342313,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-19,91.6700,92.4800,89.3500,89.3500,74465214,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-20,89.4000,92.4900,88.1900,92.2800,85874556,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-21,92.3000,94.1100,90.8000,91.0500,60682605,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-22,92.5000,105.0000,92.4200,103.9700,206194809,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-25,106.0000,109.2400,101.1000,103.1700,176063698,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-26,101.0000,102.5700,100.1300,100.9300,85607409,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-27,102.2000,106.6900,100.5900,101.5100,142262071,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-28,102.0000,119.2200,101.9900,119.2200,242032511,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-08-29,114.0000,116.0000,112.2600,114.7600,163967037,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-09,102.0000,108.6500,101.2000,102.9900,157469570,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-10,103.0000,105.9600,102.1300,103.9100,103992570,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-11,102.6200,112.8000,99.9800,110.2800,146750166,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-12,109.2800,112.4900,108.0100,108.4200,115902204,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-15,110.5500,112.5500,107.5000,108.6600,94683618,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-16,109.0000,111.8600,108.0900,109.7800,86625924,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-17,110.8000,120.8000,109.8000,117.3900,152847561,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-18,119.9800,127.4900,116.3500,122.1500,193156778,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-19,123.0000,127.4000,120.1100,121.3400,144910623,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-22,120.5400,129.8300,119.0500,128.9200,158828147,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-23,127.6400,129.3300,122.6300,128.5100,144127353,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-24,126.8800,137.9800,126.2300,134.9800,146094753,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-25,133.0000,137.8000,132.3100,134.1100,103258321,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-26,132.7100,135.9500,131.2000,132.2700,91244519,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-29,131.0000,136.0200,129.1600,136.0200,102720723,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-09-30,138.5000,142.0000,136.6000,140.1300,98622900,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-09,144.0000,153.0000,137.0000,138.9100,166284110,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-10,134.8700,134.9400,127.1700,127.9500,161742076,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-13,126.0000,136.4800,126.0000,136.4700,140299486,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-14,136.9600,137.8000,125.8000,127.2000,132100403,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
