time,open,high,low,close,volume,note
2026-01-05,7.4400,7.5000,7.4300,7.4600,8026505,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-10,9.4400,9.4400,8.7000,8.9100,47675450,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-11,8.7000,8.7900,8.4500,8.5600,33930524,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-12,8.5000,8.7000,8.3000,8.6200,42644185,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-15,8.6500,8.7400,8.4700,8.5400,46965587,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-16,8.5400,8.5400,8.2500,8.3500,51212711,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-17,8.3000,8.4100,8.0300,8.1800,47202603,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-18,8.1500,8.1600,7.7400,7.7600,53349579,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-22,7.7000,7.7400,7.5000,7.7100,40181947,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-23,7.6900,7.7100,7.4500,7.4800,33087915,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-24,7.4500,7.4500,7.1800,7.3000,32577999,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-25,7.2900,7.2900,7.0500,7.0800,31867587,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-26,7.1700,7.3800,6.8900,6.9000,52234519,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-29,6.8600,7.1000,6.8000,7.0100,36027072,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-30,6.9200,7.1000,6.9000,7.0500,26322257,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-07-01,7.0500,7.2000,6.9700,7.1700,31837344,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-07-02,7.1300,7.4300,7.0800,7.1000,43781204,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-07-03,7.0700,7.1600,7.0000,7.1100,27138492,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-07-06,7.0800,7.1400,6.8800,6.9000,25384528,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-07-07,6.8800,6.9000,6.6200,6.6400,26921813,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-07-08,6.6600,6.6800,6.4700,6.4900,23261795,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-07-09,6.4900,6.5300,6.3000,6.4900,25857950,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
