time,open,high,low,close,volume,note
2026-01-05,32.8900,33.7500,32.4000,33.5400,23548021,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-27,31.4000,32.8400,31.3900,32.4000,29209713,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-28,32.4500,32.4600,31.7500,31.8400,14838150,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-29,31.8000,32.0100,31.2200,31.5700,15732111,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-30,31.6100,32.0400,30.6800,30.9000,16552612,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-02,30.7300,31.1800,30.3400,30.6900,17399970,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-03,30.6900,31.2700,30.4000,31.2500,14076111,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-04,30.4900,31.1500,29.7500,31.0000,27692323,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-05,31.1000,31.7500,31.0000,31.4600,15983063,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-06,31.3600,31.8500,31.0700,31.5800,10431353,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-09,31.5800,32.0000,31.2800,31.8100,11063046,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-10,31.9900,31.9900,31.4800,31.8000,9730689,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-11,31.8000,31.9300,31.2400,31.5800,10787971,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-12,31.6700,32.4000,31.2600,32.2100,13927269,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-13,32.2100,32.6800,31.9000,31.9200,10013071,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-24,32.0600,32.4200,31.8000,32.2200,8409406,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-25,32.0700,32.3000,31.0600,31.1400,15413661,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-26,31.1600,31.1600,29.4400,29.6900,31988838,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-02-27,29.5000,29.8700,29.2000,29.6900,19447684,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-02,29.5900,30.3800,29.2700,30.2600,20677084,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-03,30.3800,30.4100,29.6000,29.6100,10933005,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-04,29.5600,29.9800,29.2400,29.3900,14342866,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-05,30.3000,31.2400,30.0900,31.0800,24977460,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-06,30.7600,30.7900,29.8100,30.4500,17126841,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-09,30.1000,30.3900,29.3000,29.4400,18784040,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-10,29.4500,30.0300,29.3600,29.9100,11796619,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-11,29.9100,31.0000,29.6000,30.8200,20257036,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-12,30.8300,31.4000,30.5200,31.2600,13670708,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-13,31.1800,31.4000,30.6000,30.6500,15245092,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-16,30.6400,32.0100,30.1900,31.3500,27296260,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-17,31.3500,31.5400,31.0500,31.1800,13674687,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-18,31.1300,31.4200,30.3800,31.1500,13802853,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-19,30.9200,31.8800,30.8000,31.1100,14882005,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-20,31.1100,31.2000,30.4500,30.4900,13797141,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-23,30.2000,31.6700,29.9400,31.4100,30471230,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-24,31.5000,32.8800,31.1500,32.1200,31046604,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-25,32.5300,32.6000,31.8000,32.3200,17219777,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-26,32.2800,33.0700,32.2000,32.7000,22235251,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-27,32.6800,33.0300,32.1600,32.1600,21446947,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-30,32.1800,32.9000,32.0000,32.6000,21006026,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-03-31,35.8600,35.8600,35.3000,35.8600,33446127,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-01,36.8900,38.1200,36.1200,37.2400,91215301,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-02,37.2400,38.5000,36.3200,38.2500,52000153,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-03,38.5000,38.5000,37.0600,37.1500,31063070,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-07,36.5000,37.3800,35.9100,36.3500,27588180,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-08,36.5300,36.8000,36.0100,36.7100,32213970,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-09,36.4600,37.7700,36.4600,37.5800,26981109,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-10,37.5900,37.6800,36.9600,37.1200,21145396,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-13,37.1200,37.3400,36.5000,36.8000,17726126,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-14,36.8500,37.1800,36.3900,36.7500,13509522,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-15,36.6500,36.9800,36.1400,36.4500,19906554,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-16,36.4400,36.8400,36.2000,36.4500,16127832,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-17,36.3300,36.5000,35.7400,36.0400,18002518,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-20,36.0400,36.6600,35.5000,35.9800,13121453,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-21,35.9800,36.5500,35.5600,36.4300,19472946,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-22,36.4500,36.7400,35.7900,36.7400,20799756,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
