time,open,high,low,close,volume,note
2019-09-30,53.0000,69.0000,53.0000,57.8000,48626644,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-11-13,130.0000,143.0000,127.6000,142.0000,4575441,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-11-16,147.3200,150.2600,138.8800,144.0700,6145464,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-11-17,148.2800,148.6000,139.4000,139.8000,4223304,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-11-18,140.7400,141.1000,132.0000,133.5000,4627035,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-11-19,132.0000,145.0000,130.3100,145.0000,5320180,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-11-20,143.1800,145.9900,138.0800,141.3300,4924885,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-11-23,141.3000,147.8200,139.0100,145.0000,4930280,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-11-24,143.8000,147.0800,137.1000,138.7500,4051473,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-11-25,138.6700,143.7600,135.1300,138.8200,4087992,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-11-26,138.7000,144.9900,135.7700,139.4700,3294767,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-11-27,139.3900,143.6900,135.6100,139.5100,3770660,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-11-30,141.6000,141.9900,136.8900,137.8100,3192477,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-01,138.0100,148.0800,138.0100,146.2900,4517999,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-02,146.9800,155.5800,144.0800,145.5700,5468421,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-03,146.2200,148.6700,144.2800,146.8500,2365425,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-04,148.1300,148.1300,140.4400,144.1200,3023796,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-07,143.9100,145.4600,135.5800,136.7200,4373312,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-08,135.5000,143.6900,131.5800,142.8800,4210339,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-09,140.0000,143.2600,134.2500,134.8000,3415412,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
