time,open,high,low,close,volume,note
2018-05-16,36.0800,43.3000,36.0800,43.3000,24566,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-07-31,47.6300,49.4900,47.5500,49.4400,3595297,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-01,49.4500,49.7900,48.8000,48.8000,2601633,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-02,48.5100,49.4900,48.0600,48.2000,2381731,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-05,47.9600,48.7800,47.1300,47.3300,2506676,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-06,47.8100,47.8900,46.9900,47.5700,1716575,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-07,47.5700,47.9000,47.2000,47.5700,1434324,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-08,47.3300,48.5000,47.1000,47.9600,1675690,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-09,48.2000,48.6400,47.5200,47.5300,1752650,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-12,47.3000,47.6700,47.0000,47.3700,1165240,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-13,47.2100,47.9000,47.2100,47.6000,908236,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-14,47.5200,47.9200,47.2300,47.3000,979801,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-15,47.3000,47.8900,46.2300,47.7000,1971788,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-16,47.7500,47.7500,47.1000,47.1100,1170155,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-19,47.1100,47.9500,47.0100,47.4100,1050300,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-20,47.3500,47.6600,46.5200,46.6300,1282700,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-21,46.5000,47.2000,45.3300,45.3300,1622394,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-22,45.3600,45.8400,44.0400,44.0800,2083880,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-23,46.1700,46.2500,44.3100,45.6700,3010930,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-26,45.6700,47.1300,45.2300,46.8300,2434403,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-27,46.5600,47.1800,45.7200,45.9800,1509077,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-28,45.9700,46.9800,45.2800,46.8200,1718635,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-29,46.5000,47.9300,46.4100,47.3300,1630457,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-08-30,47.2400,48.2900,46.5800,46.5800,5507956,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-02,46.6000,46.8700,44.8200,44.8700,3001701,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-03,44.7700,45.6800,44.1100,45.3200,1936399,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-04,44.8700,45.7900,44.7900,45.0600,1131891,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-05,45.4500,45.9900,45.0000,45.7700,1639557,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-06,45.7900,45.9600,44.8600,45.0000,1416500,sz.300454 | 深信服 | baostock | adjustflag=3 raw
