time,open,high,low,close,volume,note
2019-08-01,239.7100,245.9400,236.0000,242.0000,2315166,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-02,231.0000,243.7000,230.0000,231.2000,2798845,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-05,227.9500,236.6600,226.6200,230.5000,2045640,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-06,225.0100,234.8600,220.6200,231.1200,2036473,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-07,231.2900,245.0000,226.1000,236.0300,2495278,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-08,240.0000,259.6300,236.1700,257.0100,3697922,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-09,251.0000,260.8300,244.6000,253.0100,3111226,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-12,251.9900,278.3100,250.1000,278.3100,2831011,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-13,274.0000,287.5100,268.0000,284.0000,2461933,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-14,284.0000,296.2300,264.1100,267.9100,3595227,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-15,258.0800,273.5000,256.9800,270.8000,2079946,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-16,270.0000,294.0300,268.3200,282.0000,2612934,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-19,283.6200,300.8800,283.6200,291.3500,2336659,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-20,291.0000,296.9000,285.8800,296.9000,1602068,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-21,295.0000,317.5500,291.0000,313.2000,2309767,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-22,312.0100,318.2000,289.0000,295.5500,2668604,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-23,293.0100,298.6900,287.2200,294.7700,1785091,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-26,289.0100,295.8000,283.7000,291.5300,1535209,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-27,295.0000,302.4700,288.0000,295.4000,1643483,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-28,294.0000,308.8000,292.0000,304.6700,1990960,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-29,308.0000,323.4000,304.7000,320.0000,1945482,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-08-30,309.9600,319.5000,303.0300,304.0000,3117976,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-02,303.0200,333.0000,302.0400,331.0000,2434936,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-03,328.2000,338.8000,323.9100,335.0000,1904207,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-04,334.0000,348.8800,323.3500,330.0000,2043489,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-05,330.0000,338.5000,324.0000,327.4000,1664284,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-06,325.7000,327.5700,305.2000,318.8900,2332571,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-09,319.9000,346.0800,315.0000,345.4000,2612650,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-10,341.1700,348.1000,332.0000,341.9000,1857118,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-11,343.9700,348.5800,331.0000,337.5000,1605134,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-12,338.8000,346.4600,330.1200,338.3300,1228678,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-16,337.0000,345.9700,332.0300,341.0000,1278186,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-17,341.9900,345.8800,328.1100,334.4500,1504355,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-18,335.0000,341.0000,322.0000,336.8000,1781317,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-19,331.1700,351.8800,330.0000,344.8000,1917329,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-20,343.1100,359.8300,341.9900,354.5700,1825719,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-23,353.9400,387.8300,350.1000,385.9900,2124652,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-24,382.0500,399.9700,380.0100,385.0600,1798805,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-25,381.5500,388.0000,369.0100,379.7000,1398726,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-26,378.0000,388.4500,344.5000,347.7100,2792537,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-27,349.0000,382.4800,348.0000,382.4800,2860225,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-09-30,383.0000,389.3000,362.5000,374.9500,1691295,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-08,368.5000,381.0000,337.4600,337.4600,3070333,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-09,324.0500,343.0000,313.5000,335.4800,2557293,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-10,330.0800,357.0900,326.0200,354.3000,2295966,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-11,355.5000,368.4900,350.0000,364.3300,1945753,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-14,380.0000,393.8300,377.0200,382.5000,2470548,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-15,381.7600,395.2000,368.5600,383.5000,2227320,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-16,382.8000,384.5100,370.1100,373.8500,1433799,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-17,375.0000,379.5000,370.0100,375.7200,929968,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-18,375.8400,381.0000,371.2000,373.9000,1329265,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-21,368.0000,369.4900,344.0000,360.0800,1688853,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-22,362.0700,379.0000,362.0600,376.5000,1664428,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-23,378.0000,378.0000,358.0000,364.7800,1349391,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-24,358.0000,365.7800,347.6500,352.7600,1303499,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-25,354.0000,365.0000,348.3000,360.0400,1225393,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
