time,open,high,low,close,volume,note
2018-11-09,68.0200,81.6200,68.0200,81.6200,38900,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-06,126.0000,129.8600,120.1800,120.4000,6988094,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-07,116.7900,119.7800,113.7900,118.2300,5913334,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-08,119.1600,125.0000,118.3000,119.6100,4960429,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-11,119.6000,134.9000,119.0500,133.7800,9233486,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-12,135.3500,136.0100,131.0100,132.6800,5379551,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-13,132.0000,138.0000,130.3000,138.0000,5742437,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-14,137.1000,142.0800,129.8300,130.5500,4898668,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-15,128.8300,136.5000,126.5700,130.8000,5391562,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-18,131.0200,132.9400,123.4000,124.2300,4548156,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-19,125.4700,132.8900,125.0000,132.8900,4749678,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-20,132.0000,134.7900,129.0200,133.1500,3493356,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-21,139.1400,140.1400,130.3100,131.9600,3512690,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-22,130.0800,130.9800,125.7600,126.0900,3764432,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-25,124.9800,128.5100,122.7800,125.9500,2768105,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-26,123.2300,127.8600,120.1800,120.3000,2786237,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-27,120.3000,124.3500,118.0000,124.0900,2605756,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-28,124.0900,125.9800,122.0600,122.9800,2330984,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-11-29,123.3900,125.5000,121.6000,123.4000,2359403,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-02,120.9100,123.8900,119.0000,122.2000,2860421,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-03,123.3500,127.3000,120.5200,121.1000,3104005,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-04,120.1800,121.9800,118.2000,118.6500,2304470,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-05,118.0500,118.6300,116.5800,117.4200,2188464,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-06,117.4200,121.0000,114.8000,119.7300,3304759,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
