time,open,high,low,close,volume,note
2026-01-05,5.1300,5.1600,5.1100,5.1600,191928834,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-28,4.3500,4.3800,4.3100,4.3500,152123020,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-29,4.3400,4.3900,4.3300,4.3500,169854969,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-01,4.3500,4.4200,4.3300,4.4000,174870726,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-02,4.3900,4.4300,4.3800,4.4200,115978704,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-03,4.4200,4.4300,4.3600,4.3700,152891608,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-04,4.3600,4.3700,4.3000,4.3000,153938758,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-05,4.3100,4.3700,4.2900,4.3400,131581818,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-08,4.3000,4.3800,4.2800,4.3100,196066744,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-09,4.3000,4.3200,4.2800,4.3100,96781082,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-10,4.3000,4.4100,4.3000,4.3800,206084769,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-11,4.3500,4.3700,4.3100,4.3600,145502636,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-12,4.3700,4.4200,4.3300,4.3700,212092005,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-15,4.3900,4.4300,4.3700,4.4000,155994073,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-16,4.3900,4.4000,4.3500,4.3700,120885748,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-17,4.3600,4.3700,4.3000,4.3500,157927942,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-18,4.3300,4.3500,4.2600,4.2800,171741229,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-22,4.2700,4.3500,4.1800,4.3200,188967016,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-23,4.3100,4.3700,4.2700,4.2800,153155116,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-24,4.2700,4.2900,4.1800,4.1800,167932141,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-25,4.1700,4.2000,4.1200,4.1300,143269622,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-26,4.1000,4.1000,4.0400,4.0500,120157909,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-29,4.0300,4.0600,3.9300,4.0200,157732323,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-06-30,4.0100,4.0400,3.9600,4.0000,131088387,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-07-01,4.0000,4.0900,3.9800,4.0800,147121671,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-07-02,4.0800,4.1100,4.0300,4.0600,149808085,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-07-03,4.0600,4.1000,4.0400,4.0700,114929630,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-07-06,4.0600,4.1100,4.0300,4.1100,122837495,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-07-07,4.1000,4.1000,4.0300,4.0500,112169092,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-07-08,4.0400,4.0900,4.0200,4.0900,127161916,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-07-09,4.0700,4.1500,4.0400,4.1000,168595585,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
