time,open,high,low,close,volume,note
2018-01-02,21.2000,21.9300,21.0200,21.3900,18234977,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-08-20,26.2500,26.3100,25.5600,25.7100,7715223,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-08-21,25.3700,25.3700,24.2800,24.3300,18715464,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-08-22,24.3200,24.6800,23.3200,23.3700,16570595,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-08-23,23.2900,23.5000,23.0000,23.1500,11225509,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-08-26,23.1500,23.7700,23.1100,23.2700,10286487,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-08-27,23.3000,23.4500,22.8500,22.8800,11167529,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-08-28,22.8800,22.9900,22.6000,22.6700,9191090,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-08-29,22.5400,23.7500,22.3700,23.3600,16724247,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-08-30,23.2600,24.1600,22.9800,23.6800,20546121,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-02,23.5700,23.9000,22.5000,22.5100,16195119,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-03,22.4500,23.0400,22.3100,22.8000,12332281,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-04,22.5600,23.3900,22.5100,23.0000,11924338,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-05,22.9400,23.5500,22.8800,23.2600,9349000,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-06,23.1900,23.2300,22.6100,22.6700,7839400,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-09,22.5600,22.8200,22.3200,22.4700,7124550,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-10,22.4600,22.6000,22.0700,22.4700,8256940,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-11,22.3600,22.9100,22.2400,22.7200,8497200,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-12,22.7700,23.4600,22.5200,22.5300,11711775,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-13,22.5800,22.6400,21.9700,21.9700,8897335,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-18,21.8800,22.0900,21.6600,21.9200,6381490,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-19,22.2000,22.6400,21.8200,22.1500,9616990,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-20,22.2000,22.2200,21.4600,21.6400,10454862,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-23,21.6400,21.8800,21.3900,21.4000,7877800,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-24,21.6000,22.9500,21.4500,22.9400,21953787,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-25,23.1900,23.9000,23.1900,23.2800,21492828,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-26,23.2800,24.4900,23.0800,24.4900,21706632,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-27,24.8800,27.4800,24.8700,26.9900,42476953,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-09-30,28.8300,32.3900,27.8800,32.3900,63189137,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-08,38.8700,38.8700,36.2600,38.8700,78702679,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-09,38.0000,42.8000,36.7200,38.8000,95836582,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-10,39.1600,39.5500,35.4900,36.7700,52159267,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-11,35.9900,36.6700,32.4700,33.0000,48674507,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-14,33.1000,34.1100,31.9500,33.9300,36053812,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-15,33.5000,34.7000,33.1200,33.3800,30475994,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-16,32.5100,33.8000,32.4800,32.7500,19613987,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-17,33.1800,33.2800,31.9000,31.9100,20692575,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-18,31.8800,36.2600,31.6000,34.7100,47195054,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-21,35.0600,38.3500,35.0600,36.6800,55430550,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-22,36.5100,37.4600,35.7100,37.0800,35243607,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-23,37.0900,38.8000,36.1900,37.7900,48549407,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-24,37.0000,37.1800,35.6800,35.7000,32122188,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-25,35.0000,38.2000,35.0000,37.1500,50380267,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-28,36.9000,36.9000,35.7500,36.4100,29347728,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-29,36.6400,37.5800,35.0200,35.0300,32344160,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-30,34.8000,35.6500,34.5200,34.9100,20056765,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-10-31,35.3500,36.5200,34.9700,36.0000,33504520,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-01,35.6000,35.7100,33.9100,33.9800,30287666,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-04,34.1000,34.6000,33.8500,34.3000,15365383,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-05,34.5700,35.9200,34.0600,35.5800,28878925,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-06,35.6000,37.1000,35.3000,35.6500,33672913,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-07,34.5000,36.1400,34.2500,36.0000,27726959,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-08,36.4600,37.2900,36.0800,36.5000,38991144,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-11,37.0000,39.9900,36.8800,39.9900,60399610,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-12,40.5800,40.5800,37.8000,38.3000,45440228,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-13,38.0000,41.7500,37.9000,40.6300,57103641,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-14,40.4700,41.2500,39.0000,39.1900,34529521,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-15,39.6000,39.9000,36.7800,36.8800,32158865,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-18,36.6000,36.8800,34.5600,34.9100,26959089,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-19,35.0300,36.1300,34.5600,36.1100,20046723,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-20,35.8800,36.2300,35.2800,35.8800,17981305,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-21,36.3000,36.9500,35.5300,35.8800,19272658,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-22,35.5000,35.8100,34.0300,34.1000,21744454,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-25,34.0000,34.3200,33.2800,33.9300,13968710,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-26,33.9600,34.6300,33.5200,33.6100,9848631,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-27,33.5500,34.8800,33.2200,34.8000,13488035,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-28,34.7900,35.0500,34.0400,34.0800,11430568,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-11-29,34.0000,35.3600,33.8000,34.8300,15942164,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-02,34.5000,35.3300,33.6200,35.0400,17297859,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-03,35.0800,35.5600,34.7900,35.4100,15043939,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-04,35.8500,36.1800,34.7000,34.8000,16281744,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-05,34.3100,34.9500,34.3100,34.7000,9979457,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-06,34.7000,35.2200,34.1700,34.7700,13648650,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-09,34.7000,34.8500,34.0100,34.1800,11123114,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-10,35.4800,35.6800,34.3200,34.3600,17348102,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-11,34.1700,34.4400,33.6600,33.7900,14873882,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-12,33.9000,34.1400,33.3300,34.0900,14885870,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-13,33.7800,33.8000,32.7500,32.8000,18551095,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-16,32.7800,32.9900,32.1300,32.3800,10542686,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-17,32.3000,32.7600,32.1800,32.1800,8830524,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-18,32.3700,32.5100,32.1600,32.2300,7682872,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-19,31.8700,32.4300,31.7300,32.4300,9914669,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-20,32.3000,33.0500,32.1000,32.5700,11064622,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-23,32.5300,34.6400,32.3300,34.0700,31606881,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-24,33.7000,34.4600,33.4200,34.1800,19751284,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-25,34.1000,34.1600,32.9100,33.0200,15507952,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-26,32.8800,33.6800,32.8800,33.2200,11334800,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-27,33.0500,34.0500,32.9500,33.4400,16143627,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-30,33.3200,33.6600,32.8800,33.0800,10840802,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2024-12-31,33.0800,33.3500,31.8900,31.9000,14394284,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-02,31.8000,31.8700,29.9900,30.3000,16079897,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-03,30.2900,30.5600,29.3000,29.3900,12190523,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-06,29.1000,29.6400,28.7900,29.0700,10987130,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-07,29.0000,29.4500,28.8000,29.4200,8354213,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-08,29.2000,29.2800,28.1500,28.9300,11508368,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-09,28.7900,29.3800,28.7000,28.7800,8358519,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-10,28.7300,28.9700,27.7800,27.7800,10855197,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-13,27.5100,28.9500,27.4400,28.4900,11302776,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-14,28.5100,29.6000,28.3000,29.5500,13425880,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-15,29.5100,30.1000,29.1600,29.6500,12412831,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-16,29.7200,30.4500,29.3900,30.3600,16190632,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-17,30.1200,32.6300,29.9600,31.8200,26814779,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-20,31.8800,32.1400,31.5100,31.7100,13819104,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-21,31.8300,32.1800,30.9600,31.9200,12455930,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-22,31.7100,32.0200,31.1400,31.2400,8861802,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-23,31.6500,31.8500,30.8300,30.8300,12002793,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-24,30.8600,31.1800,30.6500,31.0200,10174255,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-01-27,31.0600,31.2400,30.5700,30.6000,8444763,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-05,30.6100,30.9800,30.3500,30.5400,6947509,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-06,30.6000,32.1400,30.2700,31.9000,15275083,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-07,31.9900,32.7900,31.8000,32.2600,19006207,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-10,32.4200,32.4500,31.5900,32.0800,12148679,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-11,31.9500,32.0800,31.4000,31.5300,9175796,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-12,31.5000,32.0700,31.3300,31.9800,11764928,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-13,31.9900,32.2100,31.2600,31.2600,10759852,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-14,31.2400,31.6200,31.0200,31.3100,9866188,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-17,31.2500,31.3900,30.9200,31.1500,11878754,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-18,31.1000,31.9000,30.6600,30.6600,15866782,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-19,30.6000,31.7100,30.6000,31.4800,14129515,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-20,31.3500,31.4400,30.8500,31.3900,12044805,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-21,31.3300,31.9300,31.1300,31.7200,17687304,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-24,31.7200,33.3000,31.4800,32.6300,26817823,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-25,32.4500,32.9500,32.2100,32.5800,18208098,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-26,32.6600,34.2000,32.3200,33.8900,32418057,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-27,33.9000,34.3900,32.9200,33.4700,25744916,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-02-28,33.9800,35.1500,33.0500,33.0600,37395139,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-03,33.3500,34.2000,32.6300,32.7800,24603338,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-04,32.6800,33.2700,32.5200,33.0800,15475968,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-05,33.0700,33.0900,32.0200,32.5000,14866874,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-06,32.6500,34.1200,32.5100,33.6400,23346011,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-07,33.5100,33.8800,32.7200,33.2300,17364455,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-10,33.4200,33.7000,33.0500,33.6900,13827300,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-11,33.3000,33.6300,32.9100,33.6100,12980610,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-12,33.7000,35.0000,33.7000,34.4000,24998404,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-13,34.4100,34.5700,33.0700,33.3500,15217433,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-14,33.3400,34.0200,33.0700,33.8500,13000607,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-17,33.8500,35.4700,33.8200,35.4500,32552725,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-18,35.3000,35.4400,34.8700,34.9200,16766338,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-19,35.1000,35.2100,34.3200,34.6100,14416327,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-20,34.6600,34.7000,34.3000,34.4000,9758141,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-21,34.3500,34.8700,33.5600,33.7200,13138063,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-24,33.7200,34.0000,32.8300,33.3400,11162833,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-25,33.3500,33.7900,33.0400,33.2400,8326529,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-26,33.6600,33.9600,33.2000,33.5200,9128481,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-27,33.3300,33.3600,32.3800,32.9700,10473237,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-28,32.9700,33.4500,32.6000,32.6000,7538033,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-03-31,32.4000,32.4700,31.5500,31.9800,8592461,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-01,32.0500,32.8600,32.0200,32.3000,6892995,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-02,32.3600,32.6100,32.1100,32.1700,5228643,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-03,31.9400,32.2800,31.6300,31.6400,7275408,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-07,29.7000,30.0000,26.5000,27.8000,22020917,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-08,28.3600,28.9500,27.5100,27.9200,14371128,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-09,27.5600,28.7500,26.9200,28.2900,13620287,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-10,29.0000,29.5000,28.6700,28.7500,11775941,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-11,28.5200,30.8400,28.5000,29.8700,15756406,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-14,30.1400,30.2400,29.6000,29.6400,9213794,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-15,29.6000,29.6000,29.1200,29.3700,5586148,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-16,29.2300,29.4000,28.4500,28.8600,7014390,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-17,28.5700,29.0200,28.5000,28.5200,5446970,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-18,28.5000,28.6500,28.2700,28.5800,4154499,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-21,27.1800,28.4700,26.8000,28.4300,13777846,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-22,28.2800,29.0900,28.1000,28.8000,8252762,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-23,28.8000,29.2000,28.3000,28.4500,7777784,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-24,28.5000,28.6800,27.7500,27.8900,6179123,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-25,28.0000,28.0400,27.6600,27.6900,5625430,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-28,27.8000,27.8400,27.2600,27.3000,4750396,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-29,27.1800,27.7200,27.0800,27.4800,6873861,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-04-30,27.4000,27.7800,27.4000,27.4200,5471981,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-06,27.6000,28.5000,27.5500,28.4900,8433833,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
