time,open,high,low,close,volume,note
2019-01-28,9.1900,11.0300,9.1900,11.0300,47270,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-02,195.0000,208.7500,189.5000,207.2300,5602373,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-03,207.1100,222.8800,204.0000,219.9700,6401403,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-04,219.0000,231.8000,217.1000,227.1500,4749936,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-05,226.1000,244.6000,221.1100,233.6600,6048562,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-06,233.0800,234.9000,213.6000,218.7000,6773998,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-09,216.7000,222.4000,212.9300,219.3700,3642084,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-10,219.9800,221.3700,206.6000,211.9900,4772968,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-11,211.9900,214.0000,205.9600,212.6100,3746558,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-12,209.8200,214.6900,203.0300,207.1200,2896287,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-13,209.5000,213.8000,206.1800,207.0000,3705271,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-16,204.1600,209.6900,199.3300,202.3700,2489166,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-17,203.3500,204.2200,176.2000,180.6800,8562107,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-18,180.6800,189.5100,180.6800,184.5000,4246582,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-19,185.0000,195.0000,184.5100,193.1900,4947608,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-20,191.8800,192.0000,175.0000,177.9000,7325180,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-23,178.6100,181.1900,173.5000,180.6000,4823031,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-24,181.7500,197.5000,181.0100,195.9800,5504368,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-25,194.1100,197.8700,190.3600,195.4800,2879674,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-26,195.2500,196.4000,186.0000,187.2800,2674009,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-27,188.0000,201.2000,187.3600,193.9100,3652435,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-30,196.5000,200.7500,193.0000,195.5200,2816421,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-08-31,196.0100,198.7200,189.0000,192.5000,2534435,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-01,190.5100,195.6800,181.5100,192.5000,3820463,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-02,191.0000,195.2500,179.0300,179.8000,4848843,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-03,180.6700,186.0000,176.8300,184.5200,4316552,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-06,184.0100,199.9000,180.1100,194.2700,5462233,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-07,195.9800,196.1200,187.0000,191.5200,4363769,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-08,192.8700,192.8700,184.7200,188.3500,2569395,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-09,188.0100,193.5000,187.6000,191.9800,1890840,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-10,190.3500,195.2500,185.3000,195.0000,2746716,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-13,194.0600,198.9800,191.5000,192.5200,1529342,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-14,191.2100,206.6800,191.2100,204.8800,4547482,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-15,203.5200,215.6000,201.4000,210.0000,3976232,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-16,208.1000,212.8000,204.1000,210.0000,2845348,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-17,209.5500,222.9300,205.2200,221.0100,4926728,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-22,217.0000,226.8800,213.9900,219.0000,2989964,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
