time,open,high,low,close,volume,note
2010-01-04,172.0000,172.0000,169.3100,169.9400,4430488,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-13,1772.2800,1784.8800,1756.9800,1764.0000,1836995,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-14,1764.0000,1774.9900,1760.0100,1765.2700,1281675,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-15,1779.0000,1782.8900,1767.0000,1772.9300,1843486,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-16,1774.0000,1776.0000,1760.0500,1760.0500,1255757,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-17,1752.0000,1759.0000,1737.9000,1753.4200,2171363,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-20,1755.0000,1769.5000,1736.6600,1762.5000,1860804,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-21,1783.4200,1798.0000,1770.1000,1790.0000,3009845,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-22,1783.3000,1794.3500,1780.5400,1781.5100,1266457,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-23,1778.3000,1788.0000,1771.0000,1786.0000,1154964,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-24,1789.0000,1789.0000,1775.0000,1777.0000,1308540,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-27,1773.3000,1773.3000,1755.0000,1763.0000,1626074,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-28,1761.0000,1773.8800,1758.0000,1769.0400,1451976,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-29,1768.0000,1776.0000,1758.0000,1774.7100,1714933,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-11-30,1776.7200,1794.7600,1771.0800,1791.5000,2135342,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-01,1789.3100,1789.7000,1748.0000,1760.2800,3305131,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-04,1760.2800,1761.8300,1745.2800,1750.7100,1844047,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-05,1748.7800,1748.8800,1708.0200,1709.0000,2990301,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-06,1702.6300,1719.4700,1701.1300,1703.0000,2385129,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-07,1704.0000,1709.0800,1687.3000,1700.0000,2504150,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-08,1700.0000,1708.8400,1692.2200,1704.9200,2628801,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-11,1690.0000,1704.0000,1657.0000,1698.0000,3683098,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-12,1687.6000,1709.9900,1684.0000,1709.9900,2101066,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-13,1705.2200,1705.7200,1657.0800,1660.0000,3878870,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-14,1665.9600,1669.8700,1635.0200,1635.9000,4067215,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-15,1648.2300,1677.7700,1644.0100,1645.0000,3709251,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-18,1640.0000,1663.3300,1635.0000,1662.0000,1989734,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-19,1665.0000,1679.8700,1645.0900,1675.0000,2220676,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-20,1658.0000,1660.0000,1643.0000,1649.7900,2309203,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-21,1640.0100,1672.3200,1640.0100,1670.0000,2901168,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-22,1669.7000,1679.1000,1658.0100,1670.6500,2166684,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-25,1671.0000,1678.6000,1668.0000,1672.0000,1247106,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-26,1672.5000,1674.9000,1657.5000,1670.0000,1477126,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-27,1668.0000,1677.1500,1661.0000,1667.0600,1605550,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
