time,open,high,low,close,volume,note
2018-01-02,39.0000,41.4400,38.8000,41.2100,7733867,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-03-28,41.7000,43.1100,41.4700,41.9000,8633832,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-03-29,42.0000,42.4800,40.1200,40.8500,8535420,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-03-30,41.0500,43.4000,41.0200,43.3000,9791830,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-02,43.9200,45.3800,43.1900,44.0100,12520803,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-03,43.2600,44.2600,42.0300,44.2400,7966509,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-04,43.7900,44.3000,42.0100,42.4000,7782109,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-09,42.4700,43.2000,42.0200,42.6700,5864737,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-10,42.4000,42.7800,40.7600,41.5700,8771216,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-11,41.6800,41.9700,41.0000,41.7500,6568241,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-12,41.7000,42.1400,41.0700,41.4800,5061559,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-13,41.6400,42.2600,40.6900,40.8100,7450245,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-16,40.8700,42.0500,40.6900,41.8500,8725219,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-17,41.9000,42.2800,39.6000,40.1000,10019152,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-18,40.1100,40.9600,39.3900,40.7000,7079857,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-19,40.6400,42.8600,40.6400,42.5300,12014909,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-20,42.2000,42.7900,41.4700,42.2000,6922329,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-23,42.4600,43.5900,39.1000,39.7700,10786988,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-24,39.0500,40.8400,39.0500,40.7500,7017146,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-25,40.5000,41.1800,39.9000,39.9900,4656830,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-26,40.1000,40.5500,39.3000,39.9100,5207372,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-04-27,39.9100,40.0300,36.8000,38.8000,15502788,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-02,38.5000,38.7300,37.3100,38.0600,5961665,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-03,37.7900,39.4300,37.3000,39.0400,6668765,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-04,39.0400,40.4900,38.6200,40.2900,5535936,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-07,40.2700,40.3500,39.6000,40.3500,5435887,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-08,40.3600,40.9800,39.5200,39.8200,6946038,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-09,39.7800,39.7800,39.1400,39.6500,3608429,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-10,39.7600,39.8100,38.6200,39.2000,4200690,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-11,38.8600,39.3200,38.6200,38.9300,2193130,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-14,39.1500,39.5000,38.2600,38.5000,4039619,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
