time,open,high,low,close,volume,note
2018-01-02,20.1800,20.2400,19.6500,19.7800,11275609,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-24,20.2800,20.5200,19.7700,20.3200,12723187,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-25,20.1200,20.9500,20.1200,20.5100,11496463,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-26,20.5200,20.8200,20.3000,20.5100,6913648,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-29,20.7000,21.5200,20.7000,21.1200,19055305,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-30,21.1800,21.3500,20.8800,20.9600,7290964,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-31,20.9700,21.2000,20.5000,20.5000,4954543,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-01,20.4700,21.1200,20.0000,20.2400,8255377,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-02,19.9300,20.6400,19.9300,20.1000,7840941,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-05,19.8000,20.3500,19.5000,19.9300,8440023,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-06,19.5800,20.0000,18.8000,18.8600,12854498,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-07,19.1700,19.5300,18.2500,19.4500,14626667,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-08,19.3600,20.6000,19.3000,20.4800,16131545,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-09,20.1400,20.4800,19.5800,19.9200,15233752,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-12,20.0000,21.0900,19.9000,21.0900,11849436,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-13,21.1600,21.9000,21.1600,21.3700,11129028,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-14,21.3500,21.8800,21.1700,21.8200,7972474,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-22,21.8700,22.1800,21.5200,21.9700,8955362,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-23,21.9100,22.0900,21.1600,21.5000,9005575,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-26,21.4800,22.8300,21.3900,22.7500,21164561,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-27,22.7500,23.1500,22.4100,22.4100,15243498,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-02-28,22.3000,23.4000,22.3000,23.1100,19723415,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-01,23.2300,23.4000,22.8200,23.0900,11489657,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-02,22.7800,23.2000,22.6700,22.9000,10482526,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-05,23.0000,23.2000,22.6000,23.0400,6963663,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-06,22.9300,23.1800,22.7200,22.8800,7472175,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-07,22.9000,23.0300,22.6600,22.7800,5200658,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-08,22.6800,23.1500,22.6500,22.9000,7017135,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-09,22.8300,24.1000,22.8300,23.9800,18694853,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-12,24.1900,24.8500,23.9800,24.3000,14052933,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-13,24.1400,24.7600,23.7000,24.4400,11724861,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
