time,open,high,low,close,volume,note
2019-03-19,31.9700,38.3600,31.9700,38.3600,9612,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-01-10,55.6300,56.1300,53.6500,53.6900,5757400,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-01-13,53.1000,54.4500,53.0000,53.9100,5296125,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-01-14,53.9600,55.7600,53.3300,55.6700,8968038,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-01-15,55.2000,57.1700,54.6800,55.5600,9589364,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-01-16,55.3900,57.2700,54.9000,55.9100,8340459,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-01-17,54.9500,56.2600,54.5500,55.4200,7001710,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-01-20,55.9800,56.9400,55.5100,56.2400,7357600,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-01-21,56.5300,56.5800,54.3800,54.5800,7240200,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-01-22,54.1000,54.2800,53.0300,53.5200,6860794,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-01-23,54.0000,55.6000,52.5600,53.3100,14458483,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-01-24,52.9900,53.7900,52.3200,52.4900,13329470,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-01-27,52.5200,53.5000,50.7300,50.7300,8597225,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-05,51.2300,52.2300,49.7700,51.4200,7918488,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-06,51.4000,52.8700,50.8000,52.8200,8390470,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-07,52.9900,56.1500,52.8100,55.0700,14861685,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-10,55.2300,55.2700,53.3500,54.0400,13119665,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-11,53.8900,53.9900,52.5200,52.9800,7182589,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-12,52.7300,53.4900,52.0600,53.4600,8989432,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-13,53.3000,53.7800,52.3200,52.3200,8781877,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-14,52.2300,53.7400,51.9700,52.3000,10441024,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-17,52.4000,52.9700,51.8500,52.1800,8837627,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-18,53.0300,53.5000,51.5000,51.5300,14670728,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-19,51.5500,53.2900,51.5100,52.7500,12574360,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-20,52.6900,52.7700,51.1000,51.7100,10808257,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-21,51.5200,52.3900,50.8100,52.2400,10497819,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-02-24,52.2200,52.7700,51.4000,52.1400,9435905,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
