time,open,high,low,close,volume,note
2022-12-28,28.7700,29.5300,25.0000,25.2500,44114184,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-10,31.5000,31.9000,31.4500,31.7000,1678888,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-11,31.6100,32.4000,31.5500,32.2400,3554320,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-14,32.2600,32.4500,32.0100,32.0600,2187954,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-15,32.0200,34.3100,31.8200,33.8200,9130315,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-16,33.6300,33.6300,32.9800,33.2800,6565946,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-17,33.3400,33.4100,33.0000,33.3900,3719916,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-18,33.5700,33.7600,33.2100,33.4000,4256487,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-21,33.5500,34.1000,33.2400,33.4200,5277707,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-22,33.4700,34.4800,33.1600,34.3700,5713253,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-23,34.2700,34.5300,33.7800,33.9100,3920782,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-24,33.8100,34.3800,33.8100,34.2900,3349507,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-25,34.3700,35.0800,34.0800,35.0000,4327455,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-28,35.1500,36.2800,34.7500,35.4000,6010500,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-29,35.2500,35.6900,34.7800,35.0900,3743405,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-30,35.1300,36.1200,34.8900,35.1500,4310528,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-07-31,35.0600,36.5000,34.8800,35.5700,6544350,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-01,35.6100,35.8700,34.4500,35.2900,4405499,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-04,34.9000,35.3500,34.2800,34.7700,4515561,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-05,34.7700,35.7500,34.6800,35.0600,4172102,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-06,35.0600,35.4900,34.7800,35.2200,3086059,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-07,35.0000,35.7800,34.8800,34.9000,3651976,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-08,34.8900,34.9800,33.7600,33.7800,5564391,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-11,33.8000,34.9800,33.7300,34.5400,5302327,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-12,34.6100,34.7700,34.0300,34.3800,3526298,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-13,34.4700,34.5400,33.8800,34.2600,5013544,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
