time,open,high,low,close,volume,note
2021-09-07,55.1100,62.7600,54.6200,57.5000,102426685,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-24,65.9300,68.6200,64.9000,66.4800,5077164,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-25,65.9300,68.1400,65.5100,65.8600,4317942,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-26,66.1000,68.8800,65.2200,67.3600,4132681,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-27,67.2000,68.3500,64.8800,65.5200,4155701,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-28,65.1500,66.2800,62.5500,63.7200,4227613,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-07,65.1500,66.4400,63.3400,65.4000,3678266,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-08,64.9700,64.9700,55.5500,58.7900,12769522,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-09,58.8600,61.7900,58.0000,60.6800,5535855,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-10,60.6800,60.9800,55.7700,56.8300,10017416,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-11,56.9800,57.0800,54.4500,55.0000,5002045,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-14,54.0200,56.2900,53.7000,54.6300,4251403,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-15,55.0000,59.1900,54.8300,58.9800,5325974,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-16,59.6000,60.1300,57.1200,57.3300,4212031,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-17,57.5500,60.3300,55.8000,59.4400,5906792,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-18,58.4200,59.5800,57.4900,58.7100,2631689,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-21,58.4500,59.4800,55.5200,56.2000,6239148,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-22,55.3800,59.2000,53.8000,57.1000,9382511,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-23,57.8000,64.4800,57.1300,62.2300,10957079,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-24,62.8500,65.3500,61.8100,63.7700,10095346,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-25,65.7000,68.8800,65.7000,67.1200,10968861,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-02-28,65.5000,67.1100,63.8500,65.8400,11085844,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-01,65.7300,67.8000,65.0500,67.3100,4938591,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-02,66.4800,66.8000,64.3300,65.5800,5130198,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-03,65.4600,65.5800,61.6500,62.1500,6395591,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-04,60.2200,64.0000,59.8100,62.2000,6208554,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-07,60.9000,62.5000,56.7500,57.3000,14067831,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-08,58.0000,61.9000,57.8500,59.3600,9421011,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-09,60.0300,64.1600,59.7100,62.8000,11074601,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-10,66.0000,68.6800,63.5800,64.6800,13178639,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-11,63.1200,66.8500,63.1000,65.7400,7635653,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-14,64.7100,66.4800,63.6900,63.9800,4603638,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-15,63.0000,68.6500,61.9700,65.0000,6630273,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-16,67.3800,70.4500,63.7400,70.2000,8664620,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-17,73.0600,74.7000,67.7000,68.1800,10107963,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-18,67.5100,71.0900,67.0100,68.3600,7617686,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-21,67.6900,69.9800,66.0000,69.0800,5484023,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-22,67.9300,68.8000,65.6000,65.9300,4152756,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-23,66.6000,66.8800,63.7000,66.6600,4164263,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-24,65.9000,65.9000,61.6000,63.3000,8516387,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-25,63.5300,66.3800,60.4400,60.7200,5062104,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-28,58.7200,61.4600,58.5000,60.6400,4988769,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-29,60.9500,61.7500,57.1800,57.4200,5175651,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-30,58.2500,60.0200,56.5800,59.8700,6117390,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-03-31,59.0400,59.4900,54.1200,54.7500,9501100,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-01,54.4800,55.5000,52.2000,54.3100,5050999,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-06,53.9400,53.9400,49.5000,50.4100,8728437,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-07,49.8000,50.3900,47.7400,48.9100,8344766,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-08,48.9000,50.6700,47.9900,49.1000,6623530,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-11,48.0000,48.6600,45.4200,46.0000,7798043,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-12,45.6300,46.6000,44.4400,45.7000,7443662,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-13,45.7500,46.0000,42.6600,42.8500,7176183,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-14,43.2200,44.9500,41.1600,44.7900,14887078,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-15,43.2900,44.8800,42.7000,43.5800,9092931,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-18,43.0800,47.1500,43.0100,46.9400,9347996,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-19,46.4800,47.3400,43.5800,44.4800,8316715,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-20,44.5000,44.8800,43.2700,43.4600,6579770,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-21,43.5300,45.2000,42.0000,42.7800,7140264,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-22,42.0300,43.3000,40.8000,40.8800,7262571,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-25,39.4800,40.5500,37.5700,37.5700,7567820,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-26,38.1800,39.1400,36.6700,36.8400,6659386,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-27,38.5000,44.2100,38.0700,44.2100,14379388,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-28,45.0400,46.6000,43.5000,45.4900,13770621,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-04-29,45.4000,50.7900,44.5000,49.2000,13786392,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-05,48.3800,49.9800,46.5900,48.6100,8720413,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-06,46.5600,50.5900,46.3000,48.6900,7682066,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-09,47.3500,49.4700,47.3400,47.8200,6822519,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-10,47.0600,53.0000,47.0600,52.5700,9228505,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-11,52.0000,55.4500,50.5300,50.5300,11143979,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-12,49.9000,51.9800,49.5500,51.1800,5454229,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-13,51.4000,52.9500,49.6300,52.8500,8714062,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-16,52.9300,53.8000,51.2000,52.2000,5104293,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-17,52.2600,57.1800,51.5100,55.5500,7924734,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-18,55.9800,56.8500,55.1000,55.9700,3957367,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-19,55.1500,58.0000,54.5000,55.6200,7518845,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-20,56.1000,56.8600,53.4400,54.9100,6855302,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-23,54.9800,55.5500,53.5900,55.3900,4388098,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-24,55.2200,57.1500,52.8100,52.9000,5714780,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-25,52.3500,54.3000,52.0000,53.0000,4872417,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-26,53.0000,54.7700,51.8600,54.1800,4239709,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-27,54.5100,56.7800,54.1400,55.2000,5263082,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-30,55.9900,58.2000,54.1800,55.4800,7261430,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-05-31,54.5200,57.6900,53.3000,56.3800,9275640,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-01,56.0200,60.5000,56.0200,59.6100,8760185,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-02,59.0500,63.8700,58.5000,63.5700,6918989,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-06,63.7500,66.2000,62.4800,65.0000,8004173,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-07,64.8000,65.5000,61.9800,62.5500,6110366,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-08,62.0100,62.4800,58.9100,61.2000,7470855,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-09,60.9000,61.3200,57.4700,58.0900,7091434,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-10,57.4900,61.5000,57.4900,61.2000,11126099,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-13,59.7700,61.1400,59.2200,60.1000,5049555,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-14,59.1700,59.8000,55.0600,57.5500,10194104,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-15,57.9900,58.5600,55.8500,56.0000,7167610,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-16,56.5100,58.4900,56.2700,57.0000,4905076,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-17,56.5800,59.3700,55.4300,59.0000,8893475,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-20,58.3500,60.9400,57.8100,60.0300,8638381,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-21,59.2300,60.1000,56.1700,56.9300,7581995,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-22,57.6000,58.4400,54.6000,54.6000,7602283,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-23,54.8900,58.4400,54.5500,58.3500,7789634,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-24,58.4700,62.3600,58.0800,60.5200,8972871,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-27,62.0000,62.3500,55.8900,56.3400,17973181,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-28,55.5600,62.2000,54.5100,61.3300,15724416,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-29,60.3300,64.1600,60.0000,60.1000,14981162,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-06-30,60.6000,66.0000,58.9800,64.9900,13422273,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-01,66.6600,66.8700,61.9900,63.3700,9567650,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-04,62.9400,65.8000,60.1800,65.6900,10793079,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-05,64.7800,66.4500,62.8000,63.7700,7150163,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-06,62.7100,66.0000,62.4000,63.2100,5961660,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-07,62.8000,65.0500,61.8900,63.9900,5094052,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-08,65.2000,71.8800,64.8300,69.0600,12656886,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-11,67.8900,70.6000,67.0100,68.2900,6003033,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-12,68.8000,68.8000,64.8400,65.4100,4634373,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-13,64.5900,67.0000,63.5000,65.1200,4235858,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-14,64.8000,68.8500,64.7800,66.3500,3769050,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-15,66.0000,69.7500,65.8300,67.4700,3945831,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-18,68.0100,68.3700,62.9300,65.0000,6438802,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-19,64.9400,65.5600,62.0000,62.0500,6403203,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-20,63.1200,64.2500,61.3000,62.1300,7345187,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-21,62.1000,65.8900,61.5700,63.4400,6990614,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-22,62.5000,63.3000,57.6300,59.8800,12525226,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-25,59.1800,61.0800,57.0100,57.8700,7899132,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-26,57.8000,58.2000,56.0300,57.2800,5032061,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-27,57.2300,57.7500,56.1600,56.7300,5060172,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-28,57.3400,59.4000,57.1000,58.4600,8351010,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-07-29,57.8900,58.8000,55.0800,55.2600,9838256,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-01,54.8000,55.9100,53.4600,55.7600,9405492,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-02,55.1000,57.6800,54.2000,56.0500,8047931,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-03,56.4300,58.0100,55.0000,55.7900,7365053,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-04,55.8500,56.6900,54.6000,55.0000,6031269,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-05,55.5100,66.0000,55.0000,66.0000,18829746,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-08,66.6600,66.6600,59.4200,62.6900,15873171,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-09,61.5300,63.3200,60.2600,62.6800,9777321,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-10,61.7700,64.2500,60.3000,60.5700,8730428,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-11,61.0800,61.8500,60.1800,61.5100,5571771,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-12,61.0500,61.5000,59.5800,60.0100,4600114,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-15,60.3000,61.4000,59.4200,60.9900,3842844,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-16,60.8200,62.5800,60.7200,61.3500,4786139,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-17,60.9300,62.6500,60.7000,61.9800,4853703,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-18,61.5000,67.9600,61.4300,66.6200,12267181,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-19,67.2500,70.3800,66.9000,67.3900,11426454,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-08-22,67.0800,68.6000,64.5000,65.3600,6120321,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
