time,open,high,low,close,volume,note
2018-06-11,30.1700,36.2000,30.1700,36.2000,78829,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2022-12-22,410.9900,410.9900,400.0000,402.0000,7390460,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2022-12-23,396.9000,402.8300,394.1000,398.4800,7385760,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2022-12-26,398.4800,407.2500,391.1000,403.9200,11512345,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2022-12-27,402.2300,405.9900,396.6600,403.5700,8139710,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2022-12-28,398.0600,398.3000,380.2800,394.0000,18529322,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2022-12-29,391.0000,397.8000,390.4000,393.9600,9897472,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2022-12-30,398.5000,402.0000,393.0000,393.4200,7405249,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-03,392.0000,392.5700,381.7200,389.6400,10482036,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-04,386.5000,387.0000,382.0500,384.0100,19602262,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-05,388.0000,410.1700,385.0100,407.5100,26043260,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-06,406.0000,424.9800,404.0600,416.6600,18392495,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-09,422.8800,422.8800,414.0000,416.6000,12840302,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-10,417.6600,435.0000,413.3000,432.0000,18260652,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-11,430.5000,436.0000,424.0000,427.8600,12241806,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-12,432.0000,438.7800,429.6800,433.5000,11136798,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-13,444.0000,452.5200,430.0000,439.5000,20757496,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-16,438.5000,449.5000,435.1100,446.6300,16809099,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-17,446.9300,451.8700,443.6100,445.6100,9895801,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-18,448.5100,450.8800,443.1100,448.5000,7344325,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-19,445.3300,451.5000,442.1900,446.7700,7309990,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-20,446.7700,452.2000,444.2600,452.0000,10765650,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-30,479.3700,490.5600,467.4700,470.6500,21174307,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-01-31,469.8800,477.5000,462.4400,465.2000,13954034,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-01,470.9900,479.3600,470.4800,476.8000,11502167,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-02,478.8700,479.7000,464.8800,466.1000,13455712,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-03,464.0000,466.2000,451.3800,456.2000,12020001,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-06,452.0000,453.5200,441.0900,450.6000,10752918,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-07,450.4900,453.8000,444.6600,448.1000,7211237,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-08,449.6000,453.4500,445.0000,447.2100,7329853,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-09,447.2100,455.9900,441.5000,452.9900,8031440,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-10,453.0000,455.6800,445.0100,445.9500,8397790,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-13,450.9800,461.5700,447.0100,460.0000,13418543,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-14,469.0000,469.3000,445.7900,451.0500,12812190,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-15,453.1000,457.0000,448.0000,448.6000,7773387,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-16,451.9900,454.5000,438.0000,443.2000,10091069,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-17,442.0000,442.0000,420.0000,420.1900,21469551,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-20,416.0000,421.8800,406.3300,420.4700,16829872,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-21,417.4800,422.4900,412.0000,415.0100,13184596,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-22,409.0000,414.1000,406.6700,409.4700,12363920,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-23,410.0000,415.1300,407.4000,413.2300,9537265,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-24,411.0000,411.8000,404.0200,405.4000,9989388,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-27,402.7300,405.4800,400.1000,401.1000,9220633,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-02-28,403.9900,408.3000,401.5000,403.9000,9323092,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-01,403.1000,414.1800,403.0300,411.7800,12602005,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-02,409.5000,411.0000,396.2000,400.8000,16145270,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-03,402.3000,405.7100,400.0000,402.3200,8203090,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-06,402.1700,408.8700,392.0100,408.4200,16626662,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-07,404.0000,408.9900,401.8300,402.2000,9918350,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-08,400.0100,402.9300,395.1100,397.7300,8129373,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-09,396.2000,401.2800,388.2400,397.0100,8136684,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-10,401.6900,409.9300,395.9000,405.7900,19142596,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-13,403.0300,406.6600,390.0000,392.0000,18833197,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-14,390.8800,391.0000,378.0000,387.2300,18484663,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-15,393.0000,395.7400,383.6200,388.0000,12968291,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-16,384.0000,389.9100,383.5000,385.1100,10113155,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
