time,open,high,low,close,volume,note
2018-01-02,28.9900,29.8700,28.9500,29.5600,9840927,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-10-27,62.5000,63.6800,61.7000,62.8000,10236796,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-10-28,63.1000,64.7800,62.4000,62.8000,12719277,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-10-29,61.8500,66.0700,61.7100,65.5400,11370333,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-10-30,66.7100,67.3000,63.8200,64.2400,11330087,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-02,72.0000,77.0900,71.7000,77.0900,30597041,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-03,78.7200,79.2900,75.5000,77.8000,28906873,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-04,78.5100,80.3600,77.4400,79.0000,19125845,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-05,79.5100,81.8600,78.2500,80.1200,15839267,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-06,81.0000,81.0000,78.2600,79.4900,15029109,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-09,81.0100,83.1800,79.5400,82.6600,14712460,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-10,81.5000,83.3600,78.0500,82.1000,17162564,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-11,82.9900,86.8800,80.0000,80.3300,20341357,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-12,81.9500,82.4600,78.5000,80.3700,15258200,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-13,81.3700,82.3000,79.6100,81.8300,11161950,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-16,82.9900,84.8400,81.9000,82.6400,16392507,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-17,83.1600,85.3500,80.8800,82.5000,12616754,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-18,81.5400,83.5000,79.3000,80.5600,13863700,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-19,81.2500,81.2500,79.0600,79.9300,10084875,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-20,80.5700,81.8300,79.8000,80.2600,12328122,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-23,81.5000,86.0000,80.2600,84.4200,16347714,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-24,84.4200,85.0000,81.6700,83.8000,10683355,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-25,84.5600,84.7500,81.8800,82.5800,8560008,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-26,82.2200,83.1400,76.1100,78.2000,17743102,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-27,79.0200,79.5000,76.7800,77.8000,9603344,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-11-30,78.5100,79.7900,77.0000,77.0000,13028671,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-01,79.2100,83.1600,78.4400,80.5100,15966340,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-02,81.7200,83.3500,80.1000,81.3100,8798931,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-03,81.6400,82.7700,80.2000,81.0400,6981473,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-04,80.3500,86.3000,79.9200,85.4700,14339915,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-07,85.6100,85.8000,83.7200,84.7000,8960405,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-08,85.5100,87.9000,84.5800,85.5800,12659309,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-09,85.7000,86.3000,83.5300,84.0300,8160554,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
