time,open,high,low,close,volume,note
2026-01-05,4.9700,5.0100,4.9500,5.0100,91639165,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-02,4.9000,4.9300,4.8400,4.8400,82161934,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-03,4.8600,4.8700,4.8100,4.8300,61379615,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-04,4.8100,4.8900,4.8100,4.8800,70483197,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-05,4.8700,4.8800,4.8200,4.8700,60004615,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-06,4.8500,4.8900,4.8400,4.8700,45866560,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-09,4.8900,4.9000,4.8600,4.8900,47588608,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-10,4.8900,4.8900,4.8600,4.8800,33266331,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-11,4.8800,4.9000,4.8700,4.8900,37037199,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-12,4.9000,4.9400,4.8900,4.9200,63974203,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-13,4.9200,4.9300,4.8500,4.8500,57198200,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-24,4.8600,4.9100,4.8500,4.8900,101773665,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-25,4.9000,5.0000,4.8800,4.9000,218926663,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-26,4.9100,4.9900,4.9000,4.9800,132695101,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-02-27,4.9800,5.1200,4.9600,5.1000,259066244,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-02,5.0600,5.2200,5.0500,5.1900,244634971,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-03,5.2000,5.2500,5.1400,5.1600,223538385,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-04,5.1300,5.1700,5.0700,5.1300,150612854,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
