time,open,high,low,close,volume,note
2019-07-22,91.3000,97.2000,66.3000,74.9200,58330685,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-01,57.3800,58.3100,56.5800,57.4800,9656617,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-02,57.4900,58.1000,56.6000,56.8600,8160904,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-03,57.4800,57.9700,56.8100,57.6200,11028922,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-06,57.7900,58.2400,56.6800,57.4000,11699764,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-07,57.3000,57.6800,56.1200,56.1700,9033301,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-08,56.1000,56.4500,55.4000,55.9000,8060788,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-09,55.8500,57.1500,55.6600,56.7400,10357796,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-10,56.0900,56.7700,55.4200,55.8800,7606128,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-13,55.6000,56.1500,54.6500,55.5200,7276131,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-14,55.0600,56.1900,54.6500,55.9900,13646567,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-15,56.6000,57.7900,56.0000,56.0700,14047165,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-16,55.9200,57.3800,55.6600,56.3100,12396454,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-17,56.3800,58.6900,55.5500,57.9200,23753985,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-20,59.0100,63.7500,59.0100,62.5900,43331935,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-21,62.6000,64.4100,60.9100,62.0600,22877909,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-22,61.5900,65.1000,61.5000,63.1300,35754290,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-23,63.2100,69.0000,63.2100,69.0000,54561189,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-24,69.5000,72.5700,69.0700,70.1700,49553886,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-27,70.2900,71.7700,67.4100,68.5900,28767659,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-28,68.1000,69.2500,64.0000,64.4800,30458075,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-29,64.5100,70.3000,63.2500,68.2400,33590320,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-30,70.2500,72.3300,68.1600,70.0000,38919273,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-03-31,69.2700,69.8400,67.0600,69.5200,26545120,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-03,71.8000,71.8700,68.2400,71.5300,44447253,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-04,70.6000,78.0000,70.0500,74.0000,44378764,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-06,72.5000,79.2600,72.1500,75.2300,39030840,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-07,76.0000,78.7500,74.1200,76.3000,24725090,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-10,75.2200,77.5000,71.3000,71.7000,34631841,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-11,72.1600,74.8800,71.4500,72.6000,25969959,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-12,74.5000,77.6600,73.0400,76.4100,30094610,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-13,75.0000,75.4800,71.5000,71.6500,26741130,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-14,72.2800,74.6500,69.7500,74.1900,31632121,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-17,74.2000,74.8600,71.1900,72.0000,24319210,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-18,71.4000,72.4300,69.4500,70.6800,22273739,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-19,71.4200,74.4300,70.1200,72.1000,29934695,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-20,72.4000,76.4900,72.0100,76.4600,33644195,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-21,76.3000,78.5200,72.0600,72.0600,29831671,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-24,72.0000,72.9400,68.5300,69.2000,24389685,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-25,69.0100,71.4800,67.9800,68.7500,22924992,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-26,67.8000,68.0500,64.0000,64.2000,28683122,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-27,63.5700,65.3000,62.5500,63.0400,20055512,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-04-28,58.5000,62.6700,58.4000,60.9000,33509044,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-04,60.2100,61.3500,59.1700,59.3500,15255076,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-05,59.0000,60.5500,58.6600,58.9400,12943368,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-08,58.9600,60.2600,58.7000,59.4100,11861380,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-09,59.8700,59.8700,57.8700,57.8700,15104080,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-10,58.4500,58.8200,56.0000,56.4900,15999789,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-11,57.0800,57.7800,55.5000,55.7900,9543448,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-12,55.9900,56.4800,53.5000,53.7300,15307900,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-15,53.9000,54.5000,52.4000,54.1500,13377892,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-16,54.3700,55.1400,53.2100,53.8100,16680254,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-17,53.8700,55.9800,53.3000,55.1500,17191408,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-18,55.0000,58.8300,54.9600,58.0000,21603267,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-19,59.6000,61.5000,58.8500,58.9600,21434151,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-22,60.0000,60.9900,58.2500,59.4100,11772687,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-23,59.3600,59.4900,57.5700,57.7000,9508864,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-24,57.4100,59.1900,57.2100,58.0000,9271478,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-25,58.6800,60.2400,58.0900,60.1000,13184889,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-26,60.2000,62.2000,60.0100,61.1400,15003706,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-29,62.5000,64.6300,62.3100,62.9200,26755305,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-30,61.8000,64.3500,60.2200,63.7300,17874538,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-05-31,63.8000,64.7300,63.1100,63.8000,13987070,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-01,62.7000,63.1400,61.8600,62.1000,16862324,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-02,62.1200,62.5500,59.6000,60.6900,15512998,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-05,60.5800,61.6800,59.8700,60.2800,14210259,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-06,60.3000,61.2000,59.0700,59.0900,10514723,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-07,58.9800,60.4500,57.8800,59.9100,12187708,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-08,59.6500,59.9900,57.0000,57.1100,16376724,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-09,57.8900,58.1900,56.2000,58.1900,18710076,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-12,58.2900,58.6900,56.8100,58.2000,13962776,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-13,58.1700,63.0500,57.3000,62.8500,23101577,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-14,62.1800,63.6000,61.8500,62.9100,13257519,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-15,63.1500,63.3000,61.0500,61.4900,12210159,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-16,61.4000,61.4000,59.9800,60.8300,15758831,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-19,61.5500,63.2700,61.0500,62.1100,18394792,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-20,61.7800,62.6100,60.1000,60.4000,16815065,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-21,60.1800,60.4200,58.0800,58.0800,13158087,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-26,57.4800,57.5700,55.3100,56.0000,14227336,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-27,56.5500,56.7000,55.0000,56.0900,11375813,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-28,56.0800,56.7300,54.8200,55.3800,11171922,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-29,56.3200,57.4100,55.5100,55.6700,11281945,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-06-30,55.8000,57.6800,55.4000,57.4200,16946032,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-03,57.6200,60.3300,56.7000,59.8700,20365866,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-04,59.9800,63.5500,59.8700,62.7000,23300914,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-05,62.3500,63.8000,62.3000,62.6800,18237324,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-06,62.4000,65.1000,62.0000,63.7200,17560142,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-07,64.0200,65.1700,62.6800,63.7000,19113602,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-10,63.0000,63.0000,60.5000,61.0000,19245203,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-11,60.7800,62.9400,60.7800,61.9700,22235578,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-12,60.8000,60.9500,58.0800,59.0800,20335462,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-13,59.5000,61.9800,59.3100,61.4800,18371696,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-14,61.9600,62.7900,61.5000,61.9900,13133307,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-17,61.8000,62.6000,60.0300,61.1000,14314413,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-18,61.2500,62.1200,60.1600,60.1700,9821163,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-19,60.4300,60.5400,58.1000,59.1900,9132642,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-20,59.3300,59.3400,57.5000,57.7500,8781136,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-21,57.7500,58.8000,57.1500,57.6000,7094265,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-24,57.6400,59.5700,57.6000,58.5900,9292786,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-25,59.1500,59.5900,58.1100,59.2800,8745139,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-26,59.2100,59.5900,58.2800,58.6900,5481630,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-27,58.5800,59.1100,57.3600,58.1000,7557562,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-28,58.4500,59.4000,57.6900,59.0200,8057367,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-07-31,58.5800,60.0800,57.6100,57.9200,12043401,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-01,57.5700,58.8800,57.1300,57.6300,8378334,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-02,57.2000,57.5000,56.3000,56.6500,9484192,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-03,56.6000,57.1000,56.0800,56.9500,5111127,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-04,57.3000,58.9800,56.6000,58.0500,9552716,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-07,57.9300,58.2500,57.5000,57.7900,5375057,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-08,58.0000,59.3100,57.3000,57.4900,7410583,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-09,57.2600,57.7500,56.3100,56.6300,5205449,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-10,56.9200,57.1700,55.5100,56.8700,6335935,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-11,56.5200,56.9900,54.4000,54.5500,7955232,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-14,54.3000,54.9800,52.8300,53.0800,10321174,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
