time,open,high,low,close,volume,note
2018-01-02,17.4300,17.5400,17.1300,17.3200,28846694,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-03,28.4000,28.6900,27.8100,28.0000,79254394,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-04,27.7300,28.2500,27.5300,28.1100,64514808,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-05,28.0100,28.1900,27.6500,28.0500,55932583,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-06,28.2800,28.8300,28.2000,28.6000,74623737,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-07,28.6100,29.0100,28.0000,28.0900,59786015,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-10,27.8700,28.2300,27.6200,28.0700,50542754,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-11,27.5200,28.0600,27.5000,27.8600,48511975,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-12,27.9900,28.1800,27.6800,27.8900,53892271,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-13,27.7300,27.7400,26.4100,26.6500,99904144,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-14,26.5900,27.2600,26.4100,27.1900,65550018,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-17,27.2800,27.5300,27.1600,27.2200,40910918,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-18,27.2900,28.2800,27.1000,27.9300,81573906,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-19,27.7800,28.0800,27.5300,28.0000,50880628,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-20,28.1000,28.1600,27.6600,27.7000,49215879,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-21,27.5900,28.0400,26.8900,26.9900,54224879,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-24,27.1900,28.0400,27.0000,27.5700,72898965,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-25,27.4000,27.7100,26.6500,26.7800,58076495,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-26,26.7600,27.3700,26.6300,26.9500,38855603,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-27,27.1000,27.1000,26.1300,26.7200,44867277,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
