time,open,high,low,close,volume,note
2018-01-02,19.8100,19.9400,19.4400,19.6900,15328029,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-02,50.8000,51.2000,49.3000,50.4500,22840092,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-03,49.5200,50.0800,47.5100,48.0900,40936496,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-06,48.5000,52.7200,48.4700,51.9000,47402752,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-07,51.9100,52.3800,50.3200,51.4400,29404177,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-08,50.8300,52.2200,50.1700,50.5900,22116240,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-09,50.8800,52.6100,50.5000,51.9600,27974549,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-10,52.6000,54.5000,51.8200,53.8500,31973415,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-13,53.9300,56.3500,53.9300,54.8400,23703069,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-14,55.4700,56.5700,54.7000,55.4000,28147331,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-15,54.7000,54.9800,53.3500,54.7800,19380456,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-16,54.5300,55.6400,54.1800,55.1800,15718204,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-17,55.4800,56.5700,54.0000,54.8800,17773749,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-20,55.6000,60.3700,55.6000,60.2900,40746418,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-21,60.1000,60.7600,59.0000,59.8000,20199347,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-22,59.8000,64.1100,58.3100,62.7000,32153586,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-01-23,61.5000,63.5000,59.0000,60.3000,25712377,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-03,54.2700,57.2500,54.2700,54.2700,37112490,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-04,56.9900,59.6600,55.5000,59.1800,31501061,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-05,60.8000,63.6800,59.0000,59.3500,36103591,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-06,57.3200,63.2900,57.0200,62.5400,34753155,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-07,62.5000,62.5000,60.3500,61.0200,20675862,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-10,61.5000,66.4500,61.0300,66.3000,29003207,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-11,66.3000,67.0000,64.5100,66.0800,21503551,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-12,65.0100,71.0700,64.8800,69.8500,27980443,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-13,69.5000,73.1000,69.3200,69.9000,28047737,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-14,69.3000,72.1800,68.8000,70.0300,21271035,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-17,70.1500,77.0300,70.1500,77.0300,28426872,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
