time,open,high,low,close,volume,note
2026-01-05,9.0800,9.1000,9.0300,9.1000,17518597,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-28,9.0300,9.0400,8.9600,8.9700,27031800,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-29,8.9600,9.0500,8.8600,9.0200,29892514,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-30,9.0200,9.1000,8.9800,9.0800,28781684,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-02,9.1000,9.1500,9.0000,9.0600,33333110,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-03,9.0600,9.0900,8.9300,8.9800,22350267,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-04,8.9800,9.1400,8.9700,9.1200,26020000,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-05,9.1200,9.1700,9.1100,9.1500,17872243,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-06,9.1600,9.2000,9.1200,9.1900,19645300,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-09,9.2000,9.2100,9.1100,9.1400,16398001,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-10,9.1400,9.1700,9.0900,9.1600,12849100,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-11,9.1600,9.1700,9.1300,9.1400,10323323,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-12,9.1800,9.1900,9.0700,9.0800,14195801,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-13,9.0800,9.0900,9.0000,9.0200,15654271,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-24,9.0200,9.2100,9.0200,9.1700,25982300,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-25,9.2300,9.2400,9.1500,9.1600,19510200,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-26,9.1600,9.2800,9.1400,9.2700,23599313,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-02-27,9.2900,9.3900,9.2500,9.3700,27291807,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-02,9.3600,9.6900,9.3100,9.6400,51928404,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-03,9.6600,9.8900,9.6500,9.8100,60046815,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-04,9.7900,10.0200,9.6200,10.0000,65313886,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-05,9.9000,10.1300,9.8600,10.1000,46266412,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-06,10.0900,10.3400,10.0500,10.3000,63297435,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-09,10.3000,10.5000,10.2400,10.3700,52967944,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-10,10.3100,10.4200,10.2000,10.3700,40102937,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-11,10.3200,10.5900,10.2500,10.5500,46158784,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-12,10.5800,10.6400,10.4600,10.5800,35600238,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-13,10.5800,10.6600,10.4500,10.4900,36420066,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-16,10.4600,10.5800,10.3800,10.4200,35192765,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-17,10.4200,10.5300,10.2800,10.3100,31153298,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-18,10.3000,10.3800,10.1500,10.2600,27351149,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-19,10.2400,10.4300,10.2300,10.2600,25489726,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-20,10.2400,10.3900,10.1900,10.2300,23303786,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-23,10.1600,10.2800,9.9800,10.0500,48674156,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-24,10.2000,10.2600,10.1000,10.2500,38167175,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-25,10.2500,10.3300,10.1300,10.2300,41627346,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-26,10.2100,10.3700,10.1800,10.2700,29334011,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-27,10.2000,10.2700,10.0900,10.1600,25323099,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-30,10.1400,10.2000,10.0600,10.1000,23332400,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-03-31,10.1000,10.1900,9.8900,9.9100,24371069,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-01,9.9300,9.9600,9.7900,9.8600,23163200,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-02,9.8700,9.8900,9.7800,9.8800,19007569,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-03,9.8700,9.8800,9.6000,9.7100,19841701,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-07,9.7200,9.7200,9.5400,9.5700,19933600,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-08,9.5900,9.6700,9.5800,9.6700,21394184,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-09,9.6400,9.6900,9.5300,9.5900,20051512,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-10,9.5900,9.6100,9.4800,9.5100,24172109,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-13,9.5100,9.5300,9.4200,9.4700,16388008,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-14,9.4800,9.5600,9.3400,9.4100,31587544,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-15,9.4000,9.5200,9.3900,9.4900,29321273,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-16,9.5000,9.5900,9.4600,9.5600,26991988,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-17,9.5600,9.6000,9.4700,9.5100,30205814,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-20,9.5100,9.7200,9.5100,9.7000,33148659,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-21,9.7200,9.9300,9.6900,9.8400,32366883,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-22,9.8400,9.8800,9.7100,9.7300,24845300,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-23,9.7900,9.8200,9.7000,9.7700,26418275,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-24,9.7800,9.8300,9.6500,9.6600,24792000,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-27,9.6800,9.7200,9.5400,9.5800,26713520,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-28,9.5800,9.7100,9.5100,9.6700,25379752,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-29,9.6000,9.6200,9.5000,9.6000,28725579,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-04-30,9.6000,9.6500,9.5000,9.5100,31095854,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-06,9.5100,9.5900,9.4100,9.5900,34624092,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-07,9.5900,9.6500,9.5000,9.6300,29760190,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-08,9.5900,9.7000,9.5600,9.5900,29700308,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-11,9.6000,9.6500,9.5300,9.6100,32963707,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-12,9.6100,9.7200,9.5800,9.6200,37473634,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-13,9.6000,9.7500,9.5900,9.6300,48210579,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-14,9.6400,9.7700,9.5500,9.5700,56188603,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-15,9.5200,9.5700,9.2900,9.5100,56204497,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-18,9.4600,9.5800,9.4500,9.5300,28796836,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-19,9.5500,9.9500,9.4900,9.9000,62902913,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-20,9.9000,9.9100,9.4400,9.4500,56504152,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-21,9.4300,9.5500,9.3000,9.3300,42578309,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
