time,open,high,low,close,volume,note
2018-01-02,46.4600,47.8300,46.2000,47.5800,11265265,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-08-15,43.5200,43.6000,42.3400,42.6100,6587916,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-08-16,42.9100,42.9300,40.7200,41.0700,18297597,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-08-17,41.1000,41.7300,40.7300,41.4500,9124322,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-08-18,32.2900,32.4400,31.2000,31.2800,9005137,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-08-19,31.0200,32.0600,30.9000,31.2200,8623483,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-08-22,31.0000,31.8000,30.9100,31.1700,12060176,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-08-23,31.1900,31.8800,31.0200,31.3300,8526808,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-08-24,31.4400,31.7300,30.0600,30.3100,10129601,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-08-25,30.4000,30.6500,29.7600,30.4700,7512719,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-08-26,30.6600,33.0800,30.5000,32.4400,32244549,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-08-29,31.9900,33.3300,31.7000,32.7000,18550430,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-08-30,32.6000,33.5700,32.5100,33.3300,15707202,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-08-31,33.0500,34.1600,33.0000,33.6400,16978484,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-01,33.7500,35.2800,33.2100,34.5000,18972069,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-02,34.5000,34.7500,34.0100,34.3700,9198115,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-05,34.2000,34.4700,33.3800,33.7300,13408324,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-06,33.9700,33.9800,33.3600,33.6600,7777872,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-07,33.5500,33.6900,33.1600,33.5900,9641033,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-08,33.6100,34.6500,33.4000,33.9900,9848363,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-09,33.9600,35.5000,33.5000,35.3000,17459887,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-13,35.5800,36.5500,35.0100,36.1500,17231425,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-14,35.7800,36.5600,35.5000,36.3000,15800874,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-15,36.2600,36.5800,35.4300,35.7100,11962063,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-16,35.8000,36.3000,33.8800,33.9900,35226212,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-19,34.1400,34.3800,33.4200,33.6900,15299555,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-20,33.6900,34.1000,32.4700,32.7700,12891522,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-21,32.6600,33.3500,31.7500,32.7400,11432438,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-22,32.4300,33.1400,32.2200,32.8000,7126897,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-23,32.8100,33.3600,32.2000,32.5200,7643189,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-26,32.4600,33.3000,31.8600,32.0400,10782840,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-27,32.3100,33.9000,32.0400,33.6700,13616596,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-28,33.6000,33.9600,32.9200,33.5100,8597484,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-29,33.8700,34.6500,33.3100,33.5200,11899406,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-09-30,33.7900,34.7400,33.6000,33.8900,10196081,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-10,33.8900,34.2800,33.3300,33.4600,8716235,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-11,33.8000,33.8500,32.1400,32.4400,11424966,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-12,32.4000,33.5200,31.4600,33.4100,12744774,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-13,33.2400,35.0000,33.0100,34.3100,15501954,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
