time,open,high,low,close,volume,note
2026-01-05,6.2000,6.2500,5.9800,6.0900,222368832,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-24,5.9400,5.9500,5.8600,5.9400,256982236,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-25,5.8700,5.9200,5.7900,5.9200,253393162,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-26,5.8900,5.9400,5.8500,5.8800,220019751,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-27,5.8700,5.9100,5.8400,5.9000,192807151,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-30,5.9300,5.9900,5.9100,5.9700,207317133,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-31,5.9600,6.0100,5.8800,5.8800,173574560,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-01,5.8800,5.9300,5.8500,5.8900,168739314,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-02,5.8800,5.9600,5.8700,5.9500,205126115,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-03,5.9500,5.9500,5.8300,5.8600,158440474,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-07,5.8500,5.9200,5.7900,5.9100,158303366,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-08,5.8000,5.9000,5.7600,5.8900,226362872,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-09,5.8900,5.9400,5.8200,5.8400,167923809,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-10,5.8300,5.8400,5.8100,5.8100,129726922,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-13,5.8500,5.8600,5.7700,5.8300,174104992,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-14,5.8000,5.8100,5.7600,5.7800,135035700,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-15,5.7600,5.7700,5.6800,5.6900,187819522,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-16,5.6700,5.6800,5.6400,5.6600,149625383,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-17,5.6700,5.6700,5.5600,5.5600,215457573,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-20,5.5700,5.5900,5.5300,5.5300,235206731,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-21,5.5300,5.5400,5.4900,5.5000,192409012,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-22,5.5100,5.5100,5.4200,5.4400,241656108,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-23,5.4400,5.4900,5.4000,5.4500,352446641,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-24,5.4300,5.4400,5.3500,5.3900,235104306,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-27,5.3800,5.4100,5.3300,5.3400,210444073,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-28,5.3400,5.3800,5.2700,5.3500,342619735,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-29,5.4000,5.5000,5.3500,5.4200,773519174,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-04-30,5.4000,5.4300,5.3700,5.3900,324654878,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-06,5.3800,5.3900,5.3200,5.3700,338119374,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
