time,open,high,low,close,volume,note
2026-01-05,4.1300,4.1700,4.0400,4.0600,61078256,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-02,3.6500,3.6800,3.6100,3.6200,25580700,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-03,3.6100,3.6100,3.5300,3.5700,28964100,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-04,3.5600,3.5900,3.5100,3.5200,19181250,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-05,3.5300,3.5900,3.5300,3.5400,21357240,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-08,3.5200,3.5300,3.4500,3.4700,31440400,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-09,3.4700,3.4900,3.4500,3.4600,15734400,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-10,3.4600,3.5000,3.4300,3.5000,25903690,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-11,3.4900,3.5000,3.4500,3.4900,18272660,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-12,3.4800,3.5700,3.4700,3.5600,33541078,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-15,3.5900,3.6100,3.5600,3.6100,24123625,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-16,3.5900,3.6100,3.5400,3.5500,22371550,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-17,3.5600,3.5600,3.5100,3.5300,13970135,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-18,3.5100,3.5200,3.4400,3.4600,22155700,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-22,3.4600,3.4600,3.3800,3.4500,23045187,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-23,3.4500,3.5300,3.4400,3.4900,21865350,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-24,3.4900,3.4900,3.3900,3.4000,21680150,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-25,3.3900,3.4000,3.3400,3.3600,23477126,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-26,3.3500,3.3600,3.3000,3.3000,17055548,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-29,3.3100,3.3500,3.2200,3.3200,25314934,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-30,3.3100,3.3200,3.2200,3.2200,16161600,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-07-01,3.2200,3.3200,3.2100,3.3000,22601675,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-07-02,3.3000,3.4100,3.2900,3.3700,22786516,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-07-03,3.3600,3.4200,3.3600,3.3800,13779755,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-07-06,3.3800,3.4500,3.3600,3.4300,19269745,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-07-07,3.4300,3.4400,3.3500,3.3800,16280751,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-07-08,3.3800,3.4200,3.3300,3.4100,19594500,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-07-09,3.3900,3.4300,3.3600,3.3800,20775300,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
