time,open,high,low,close,volume,note
2018-01-02,58.6000,59.0000,57.1800,58.7800,891764,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-04-30,83.2500,84.1000,82.4100,83.4900,22442074,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-06,85.1700,87.1900,85.1500,86.6500,34750081,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-07,88.7600,89.0400,85.6400,86.6500,31463641,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-08,88.8600,98.0000,88.1300,96.4900,99173499,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-09,94.6900,96.4600,94.0000,94.8000,42305504,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-12,98.8000,99.0600,95.1000,97.2700,46824959,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-13,100.8000,100.8000,96.4100,96.4300,52215667,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-14,98.0500,101.0900,98.0500,98.3900,54556418,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-15,98.0000,98.0800,94.1000,94.1200,43481983,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-16,93.4000,99.4800,93.2100,97.8300,52169452,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-19,96.6900,97.4000,95.2200,95.2800,30567106,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-20,95.2900,97.1800,94.4000,95.9600,26424282,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-21,95.6300,97.3000,94.6500,95.7300,26224172,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-22,95.0000,96.7800,94.4000,94.4600,23977495,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-23,94.4100,95.3600,91.7000,91.8700,27309887,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-26,91.9900,92.9900,90.8600,92.3600,18761552,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-27,90.9900,92.1800,88.8800,90.1600,27821888,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-28,91.0000,92.9900,91.0000,92.6200,30626087,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-29,93.6000,96.5900,93.2800,94.9400,42242218,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-05-30,93.7800,94.3800,92.5100,93.5500,21296641,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-03,92.5000,93.2200,91.7500,91.7600,18333010,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-04,92.9900,97.9700,92.9900,97.3000,61162487,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-05,97.3000,103.5800,96.5000,102.8800,67768048,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-06,102.0000,104.4500,101.2500,103.4500,46803762,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-09,105.3100,111.1600,105.1100,108.5500,72691572,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-10,108.1000,109.7300,106.6100,107.7700,47918671,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-11,110.0000,110.9800,107.0800,107.9800,34304423,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-12,107.1000,119.2000,107.0000,116.0000,86486899,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-13,114.5100,117.8900,113.9800,116.6500,47488879,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-16,116.9200,123.4500,116.9000,120.5700,59369856,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-17,121.0100,122.2000,117.9000,119.3600,35823676,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-18,118.5100,125.6000,116.1000,125.0600,67826342,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-19,124.5600,130.7900,123.6000,128.3000,62573477,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-20,130.0000,131.1800,124.7700,129.5000,49300523,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-23,127.3000,129.3300,122.6800,127.0900,53502446,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-24,128.3800,129.9700,124.3000,125.2500,45000554,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-25,127.0000,128.6900,123.2000,125.7300,49245712,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-26,127.6000,133.1800,127.0800,129.7000,59978741,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-27,129.1700,140.2700,126.5600,138.4000,66277872,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-06-30,141.5000,146.6000,138.0100,145.8600,75214393,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-01,143.5900,146.7800,142.7500,145.3000,31959141,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-02,142.5000,142.6000,138.1300,138.9300,36577096,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-03,141.4700,143.8400,139.4900,142.2600,38397875,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-04,143.1100,145.1800,138.5500,139.4500,41874479,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-07,137.5000,139.7700,130.2100,135.1500,57520424,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-08,134.7600,145.2600,133.8200,144.8800,53224112,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
