time,open,high,low,close,volume,note
2022-08-22,170.1100,192.4800,170.1100,181.2200,28709097,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-04-29,124.5100,131.0200,124.5100,129.1600,5345490,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-04-30,129.3300,133.3200,129.3300,132.9000,5507987,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-06,132.0000,136.4000,132.0000,134.2500,4263844,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-07,135.8200,135.9500,133.5200,135.7800,4228744,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-08,135.5100,135.7300,134.1000,135.2000,2282564,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-09,135.2000,137.3600,134.5200,136.6800,2593702,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-12,138.0000,140.0000,135.5900,139.9000,3546530,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-13,140.0000,140.1500,137.2000,138.7800,3690695,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-14,138.7000,139.8000,137.8100,138.3500,1970948,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-15,138.8000,138.8700,136.9200,137.6000,2203636,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-16,137.2600,137.9600,136.0000,137.8300,2287801,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-19,136.7900,138.9900,136.0100,138.2300,1910317,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-20,137.7300,139.0700,137.2600,138.0300,1795397,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-21,138.0000,139.9500,137.6600,139.0600,2049275,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-22,139.0000,139.2700,136.5000,136.9900,1776356,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-23,136.7200,139.9800,136.5000,138.0000,1958958,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-26,137.5900,139.2500,136.6900,138.6800,2013114,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-27,138.8800,139.2000,137.0000,137.6500,1752964,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-28,137.2000,138.9700,136.6000,137.7400,1589508,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-29,137.9000,138.8000,136.5000,138.2500,1927822,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-05-30,138.7800,140.8900,136.7800,137.4300,3444091,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-03,141.2700,143.9000,138.0200,142.0200,6770028,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-04,141.4000,142.2900,133.7300,137.9800,4728235,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-05,137.3000,138.2200,135.8000,137.4500,2316463,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-06,137.3800,138.0500,133.3300,134.1600,4711587,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-09,134.5000,137.2800,133.7600,134.5100,2748431,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-10,134.6000,135.8800,131.6700,131.7700,3672409,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-11,132.5400,134.3500,132.0100,132.1800,2865693,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-12,132.1800,133.7800,131.6600,132.1300,4224185,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-13,132.1500,133.4600,128.6800,129.5000,15794439,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-16,130.0100,130.5200,126.7200,126.9000,4059293,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-17,127.3300,128.3100,125.2100,126.2400,3158739,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-18,126.2000,127.4400,124.8300,126.9300,2519500,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-19,127.0500,128.3700,126.3800,127.1200,2005810,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-20,127.3600,128.4600,126.5100,128.4600,2293055,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-23,128.9800,129.0000,126.6600,128.1000,3193719,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-24,128.3000,128.5000,127.0200,127.4800,3288842,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-25,127.9300,129.5000,127.2300,128.8800,3157783,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-26,129.0300,130.8200,127.7900,129.0800,3227187,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-27,129.0500,129.8400,127.7100,128.2000,2444401,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-06-30,127.6700,128.5000,127.3400,127.7400,2134369,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-01,128.2000,128.8800,127.5300,128.0500,2070182,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-02,128.1400,129.2700,126.0200,126.1500,2601993,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-03,126.2200,127.2500,125.9300,126.3800,1700944,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-04,126.6100,127.9600,126.3800,126.4200,2060811,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-07,129.6500,130.6000,128.0800,129.7100,4225035,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-08,128.7800,129.1600,127.3000,127.9000,2716736,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-09,127.5100,129.0500,126.4700,126.8000,2635821,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-10,126.8100,126.9600,125.6900,125.8500,2762483,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-11,126.4400,127.0900,125.5000,125.5000,3260465,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-14,125.8800,126.0900,124.8400,124.8400,2541476,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-15,125.1200,125.3500,122.5500,124.1000,4259157,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-16,124.1500,125.6000,123.3600,125.3000,2768440,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-17,125.4000,126.7800,124.2300,126.6400,3809937,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-18,126.9900,128.6300,125.9000,127.9000,4498446,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-21,128.5900,129.8600,127.3200,129.5000,4418612,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-22,129.2700,134.4300,129.0600,133.6000,6375212,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-23,134.0000,136.4800,132.3800,133.4700,4288664,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-24,133.6300,137.8800,132.7200,137.2500,5106811,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-25,137.0300,139.4300,136.5100,137.0900,4899876,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-28,137.5700,140.1600,136.7800,137.7000,4045949,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-29,138.3300,138.8800,135.9100,137.3200,4296402,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-30,137.3200,139.6800,135.8000,137.0100,3740193,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-07-31,136.8600,137.1800,133.1800,133.3000,3891080,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-01,134.0000,135.1700,132.5200,133.3100,2738628,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-04,131.5000,131.9800,129.2400,131.2900,4119357,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-05,131.2400,131.2400,128.0000,128.5500,3129421,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-06,128.8000,130.4000,128.6800,129.1500,2377015,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-07,129.3000,133.9300,129.3000,132.1600,4335743,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-08,132.9000,134.4900,130.4800,130.7000,3217501,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-11,130.7000,132.1500,129.7000,130.6800,2827841,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-12,130.4900,135.4900,130.4900,131.1700,5597422,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-13,132.3500,133.3500,130.7000,131.0400,4322414,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-14,131.0000,131.4700,127.7600,127.9200,5449009,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-15,127.9200,129.8000,127.6100,127.9600,4560388,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-18,128.4500,131.3000,127.8900,129.6600,7087359,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-19,130.3900,133.3000,129.5000,129.5500,5588228,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-20,129.7800,130.8000,128.0400,130.0300,4744983,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-21,130.1100,136.0000,130.1100,133.8000,8566229,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-22,135.0000,135.4800,132.2800,135.3800,6973748,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-25,135.5100,137.9400,134.4100,135.8500,7401393,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-26,136.0900,138.8800,135.0100,136.5000,6175560,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-27,139.4500,140.9900,135.5000,135.6000,9877034,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-28,135.6800,137.5800,133.2000,136.2600,8707022,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-08-29,136.2600,142.9800,135.9400,141.8000,12306356,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-01,143.6800,152.1000,142.4300,152.1000,14722027,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-02,151.8800,152.3800,149.2100,150.5600,11245307,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-03,151.4300,154.0600,146.7100,148.8400,7398106,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-04,149.7000,149.7000,139.0000,141.2000,9314230,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-05,141.1000,143.2300,140.0000,142.6400,6034177,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-08,144.6600,164.5000,144.3900,158.3000,16477747,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-09,156.7200,157.9000,151.9000,153.6100,8183007,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-10,153.6400,156.5500,151.7000,152.2900,5721153,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-11,150.8800,155.1800,148.8800,154.9900,8099228,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-12,155.0000,155.8200,151.1000,151.1000,8385769,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-15,151.1300,154.0000,150.7000,152.0000,6272349,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-16,152.2700,153.7500,149.8700,152.9800,6985452,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-17,152.8000,153.9000,149.8000,151.6000,6167161,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-18,150.9000,153.5500,148.8100,150.0000,14170324,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
