time,open,high,low,close,volume,note
2026-01-05,5.9000,6.0100,5.8800,5.9500,30490515,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-31,6.9400,7.0100,6.7000,6.7400,41731373,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-01,6.8600,6.9300,6.7900,6.8400,28177173,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-02,6.8000,6.8500,6.6400,6.7100,25964712,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-03,6.7500,6.7700,6.4800,6.5400,27202769,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-07,6.5700,7.1900,6.5100,7.1900,119133038,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-08,6.9900,7.1800,6.9500,7.1600,84843790,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-09,7.1700,7.2600,7.1100,7.2100,50855946,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-10,7.2200,7.3200,7.1200,7.2300,55208488,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-13,7.2800,7.4300,7.2300,7.3500,58589737,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-14,7.1500,7.3500,6.9200,7.3500,71357314,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-15,7.3400,7.3500,7.1200,7.1400,51125378,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-16,7.2200,7.2900,7.0800,7.1200,41104958,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-17,7.1100,7.1500,7.0000,7.0300,35295608,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-20,7.0300,7.0700,6.9700,7.0600,34710000,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-21,7.0500,7.1100,6.8800,7.0300,43275752,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-22,7.0600,7.0800,6.9800,7.0300,26848629,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-23,7.0300,7.0500,6.8200,6.8900,51465289,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-24,6.8400,7.0100,6.8400,6.9600,30259837,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-27,7.0400,7.0900,6.9600,7.0500,37143341,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-28,7.0100,7.0400,6.8800,6.9600,51813706,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-29,6.9600,7.2000,6.8900,7.1700,49359911,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-04-30,7.1600,7.2200,7.0100,7.0400,42170928,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-06,7.0400,7.0800,6.9200,6.9700,47389655,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-07,6.9800,6.9800,6.7300,6.7600,54053090,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-08,6.7400,6.7900,6.6700,6.7100,29050503,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-11,6.7100,6.7900,6.6700,6.7600,35401373,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-12,6.7600,6.8000,6.5100,6.5600,43590696,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-13,6.5900,6.6400,6.5000,6.6300,23998884,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
