time,open,high,low,close,volume,note
2018-01-02,35.6800,36.2000,35.2200,35.6100,3185344,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-04-21,78.6500,78.9000,75.8600,77.0000,6108609,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-04-22,76.9000,77.3000,76.0000,77.0100,5623478,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-04-23,77.7000,78.0800,74.6000,75.6900,10744009,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-04-24,75.6000,76.4500,74.7000,75.4300,6684052,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-04-27,76.0000,78.4400,75.5000,77.8400,8431363,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-04-28,78.0000,79.7500,76.9000,79.2500,7758806,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-04-29,79.0000,79.0000,75.4300,76.4300,7254820,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-04-30,76.2200,77.2500,74.8300,77.0000,7767059,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-06,76.2200,78.1100,75.6600,78.1100,7726319,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-07,77.5800,78.3200,76.4100,77.7500,6021908,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-08,78.0500,78.8300,77.0100,77.8000,5606461,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-11,80.0000,81.4000,76.0100,76.7000,10152799,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-12,76.7100,80.1500,76.6000,78.8000,10315933,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-13,78.7600,81.6400,78.3900,81.1300,10569809,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-14,81.5100,82.3200,80.5000,81.9800,7291159,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-15,81.9800,82.5000,79.6100,81.2500,8483351,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-18,81.0200,85.0800,80.6300,83.8500,9866266,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-19,85.0000,85.1000,82.9000,84.1800,5323463,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-20,83.8000,84.1800,82.2500,82.8600,4920062,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-21,82.9000,83.9200,80.8100,81.4700,8137753,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-22,82.0100,82.1500,78.4600,79.4000,6848180,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-25,79.9100,80.8000,78.7300,79.9800,5772624,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-26,80.6200,83.0000,80.2000,82.0000,5841176,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-27,82.0000,82.4800,80.7900,81.5800,5895787,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-28,81.9000,82.4000,79.7500,81.7300,5239122,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-05-29,81.9000,85.9000,80.9100,84.8500,8123481,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-01,86.2000,86.2100,83.8800,84.8800,9015296,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-02,84.6600,84.7000,82.3500,83.0000,6625827,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-03,82.8000,83.4700,81.9800,82.3000,6938687,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-04,82.2900,84.6600,81.2000,83.5800,7320408,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-05,83.6300,85.0700,82.7100,84.7200,6217180,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-08,84.6200,85.1800,81.5000,82.2600,7801513,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-09,82.2600,83.2000,81.4400,82.7000,4803162,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-10,82.3600,84.9000,82.0800,84.1000,6064915,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-11,84.0100,85.1800,83.0300,83.9000,5504624,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-12,82.1200,86.0100,82.1200,85.7900,8527260,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-15,86.5000,87.0000,83.7400,84.2100,7379812,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-16,85.0400,86.3000,84.2100,85.4000,7326138,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-17,85.4000,87.5000,84.5600,85.5000,9173892,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-18,85.1700,85.8000,82.8700,84.1000,9401164,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-19,84.3500,91.9900,84.2200,90.1000,17251705,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-22,90.0000,90.8000,89.0000,89.8800,8896888,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-23,90.5000,94.9800,89.3200,94.0200,10230748,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-24,94.0200,99.6900,93.0000,97.6200,11269206,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-29,97.3600,102.8600,97.1000,102.0000,9249917,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-06-30,102.0000,106.8800,99.9600,101.8800,8553362,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-01,102.0500,102.1500,95.8000,98.0100,10815475,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-02,98.0200,99.2000,95.8600,96.1000,12117488,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-03,95.0000,98.8900,93.2200,96.5600,11356774,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-06,95.5000,96.6000,94.2800,96.0600,10003873,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-07,94.2100,98.5000,94.1900,97.3500,10975888,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-08,97.7400,99.8100,96.8000,98.6900,7594212,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-09,98.2000,104.9800,97.2000,104.4000,12098100,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-10,105.0000,111.0000,103.7500,106.3100,8195838,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-13,106.5000,116.3600,106.3900,113.4000,8285431,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-14,115.0000,117.6300,108.3300,112.0100,10631957,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-15,112.5000,118.7000,110.8900,114.5100,9924940,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-16,114.5000,117.9700,106.0000,107.1900,11527104,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-17,107.5100,110.8900,104.8100,107.7400,12270646,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-20,108.5000,109.2700,101.5000,105.7000,9779766,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-21,106.0000,113.0000,104.5600,111.2500,12764744,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-22,110.1000,115.9400,108.6100,112.2200,7907404,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-23,110.8900,118.1100,110.6600,115.6000,10724379,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-24,113.7100,115.0000,104.0500,104.9900,16346884,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-27,104.8000,106.8600,101.2300,103.8400,13001844,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-28,104.7000,105.8000,100.3000,104.6000,11291497,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-29,105.2000,109.6000,104.2100,109.4300,9810142,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-30,109.0000,110.9400,107.1800,107.2800,7445481,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-07-31,108.0000,110.6600,105.0000,107.7000,7481418,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-03,107.7000,107.9800,105.2800,106.5200,10189441,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-04,106.6200,111.6400,106.1300,108.1100,10235111,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
