time,open,high,low,close,volume,note
2018-05-08,25.9200,31.1000,25.9200,31.1000,29739,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-01-24,75.7200,77.1700,75.3700,76.6600,2704533,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-01-25,76.6600,77.6200,76.2100,76.3800,2295206,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-01-28,76.3800,76.8800,73.7300,74.4700,3128954,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-01-29,74.1700,74.9700,72.8800,74.5200,2586828,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-01-30,74.5000,77.1000,74.4300,76.3600,3980710,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-01-31,76.7000,76.8000,73.8600,75.5300,3804091,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-01,76.5100,77.4900,76.0000,77.2000,3541885,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-11,77.1000,79.7900,76.1000,79.0400,3527201,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-12,79.1000,81.4100,79.0400,80.5100,5110043,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-13,80.1700,81.3600,79.6100,80.9600,4869291,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-14,80.9000,84.1000,80.0900,83.4100,6370497,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-15,82.8800,83.3500,81.7600,81.9100,3409279,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-18,82.3000,85.2500,82.3000,85.1800,5505816,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-19,85.1900,87.8600,83.8200,84.7000,6476832,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-20,84.7200,85.5000,83.3600,84.0000,4367114,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-21,83.2600,84.5400,82.0100,82.3100,4528409,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-22,82.0000,85.3400,81.9200,85.2800,4602024,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-25,85.1100,88.8800,84.6000,88.7300,7996177,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-26,88.7100,91.3000,87.0000,87.5800,6521075,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-27,87.3800,88.4300,86.3100,86.7900,3803762,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-02-28,87.7100,90.8000,87.7100,89.8800,7297520,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-01,90.3000,91.0000,88.3200,89.8900,3517226,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-04,89.9500,98.8800,89.9500,96.6600,11354266,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-05,94.9800,99.9800,94.6800,99.3400,7585344,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-06,99.1900,101.6000,96.8800,98.2800,5510301,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-07,98.0000,98.0000,93.4100,95.3800,7174361,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-08,92.7000,96.5000,91.8800,93.5600,5131226,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-11,97.5000,97.5500,94.5500,96.3500,4249560,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-12,96.3400,97.6900,94.4600,95.7400,5669217,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-13,95.9900,97.1000,93.7100,94.5000,4028567,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-14,93.6000,94.0000,90.7000,92.3400,4670839,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-15,92.3500,95.9900,92.2500,93.6500,4402504,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-18,94.5500,97.1800,94.2300,96.9600,4748584,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-19,97.2500,98.8200,95.9000,97.4800,3887635,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-20,96.5100,96.5100,93.1800,94.2100,5246708,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-21,94.5900,94.9800,93.3700,94.3400,3373982,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-22,94.3000,96.8700,93.8900,96.8700,5292350,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-25,97.3900,98.6200,93.6000,93.6500,7192719,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-26,93.6500,94.3700,87.8100,89.4500,6836940,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-27,89.9900,91.5900,89.9900,90.3500,4050382,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-28,90.0000,91.6900,88.7000,90.4000,3050767,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-03-29,91.0000,93.9000,90.4000,93.8200,5360286,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-01,94.5800,95.5000,93.4500,95.0600,6781282,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-02,95.1800,96.9600,93.6000,94.0100,5689586,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-03,93.5700,94.9000,93.0000,94.2200,3282901,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-04,94.2400,94.8000,92.0000,93.1200,5015230,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-08,93.8800,93.8800,91.3900,92.2800,4094454,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-09,92.3000,94.3500,92.0700,94.0800,4282436,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-10,94.5100,98.2600,94.4000,97.6000,8768652,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-11,97.6200,98.2000,94.5300,94.8800,4413813,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-12,94.6600,97.0000,94.3200,96.2500,3739399,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-15,97.8900,97.8900,93.0100,93.0100,4559980,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-16,92.8500,94.1300,91.6300,93.9000,3457767,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-17,94.2900,94.8700,93.3900,93.9400,2334563,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-18,93.0000,93.8000,92.5000,92.9500,1897959,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-19,93.4200,94.0500,92.6000,92.9500,2109968,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-22,93.1700,93.2800,91.5000,91.8000,2309529,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-23,91.0200,91.8500,88.9600,89.2500,4867826,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-24,89.2500,89.5700,87.0300,88.9000,4832614,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-25,88.9100,90.3800,87.8600,88.1000,2987691,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-26,88.0500,89.5600,87.5100,88.2900,2871169,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-29,88.2000,90.0500,88.0800,89.9900,3317831,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-04-30,88.8000,88.8000,87.2500,88.5200,3502778,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-06,79.6800,84.5000,79.6800,80.8400,7205878,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-07,81.0000,81.9000,80.0000,80.8500,3376569,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-08,79.9500,81.2000,79.5000,80.0000,3051802,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-09,79.6900,79.6900,74.2300,74.7600,8421913,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-10,76.0000,78.5000,75.2000,78.2800,6096859,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-13,78.0700,80.8000,77.1700,79.8000,4336213,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-14,79.0200,82.1000,79.0200,80.5700,4145697,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-15,80.9800,82.0000,80.0600,81.5100,3106507,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-16,81.3900,81.8000,80.3600,81.4700,2223085,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-17,81.3200,82.4500,80.0000,80.4600,3239214,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-20,80.2300,80.9900,77.8100,78.4900,2535318,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-21,79.0000,81.7600,78.5400,81.1200,3394211,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-22,81.3700,82.5600,80.8700,81.9700,3734875,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-23,81.8800,81.8800,78.9800,79.0900,2753945,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-24,79.0500,80.6000,79.0000,79.7100,1914944,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-27,79.7200,80.8000,78.5000,80.3900,2632279,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-28,79.9900,80.4000,78.4700,79.0000,3025863,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-29,78.8500,80.3200,78.7000,79.7200,2613056,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-30,79.3500,79.9800,78.5100,79.0000,2020832,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-05-31,79.0000,80.0700,78.8600,79.2000,2398601,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-03,79.0000,79.6800,77.6700,78.3100,2468273,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-04,78.5000,79.1200,77.4900,77.5200,2082307,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-05,78.3000,78.5000,76.9200,77.1900,2393676,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-06,77.0000,77.9000,76.6300,77.1700,2033082,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-10,77.6500,78.9500,76.7700,78.8500,2597216,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-11,78.8000,81.5000,78.4400,81.0200,3920471,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-12,80.8400,81.6800,80.3300,80.7800,2508353,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-13,80.8000,81.8700,80.3100,80.9000,2961862,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-14,80.8000,83.6900,80.7800,82.2000,5701515,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-17,82.3600,86.6800,82.3600,85.0000,6649035,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-18,84.8000,85.3000,84.3500,85.0500,4581575,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-19,86.6800,87.4300,85.2000,85.7200,6230465,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-20,85.6400,86.3300,85.0300,86.3300,7006208,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-21,86.7800,86.8600,83.8000,85.0600,7035668,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-24,84.3000,85.3000,84.0100,85.1000,4880341,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-25,85.4000,85.6900,82.6800,83.6600,4241293,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-26,84.6200,87.3600,82.8200,86.8900,8930057,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-27,87.5000,87.6600,86.0100,87.0100,6617917,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-06-28,86.8900,87.0000,85.7100,86.6800,4735221,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-01,87.9900,92.6600,87.1200,91.1000,9868924,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-02,64.6000,69.4000,64.6000,67.9700,10584274,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-03,67.7300,67.7300,66.4000,66.7500,8916697,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-04,66.6000,66.9500,65.2600,65.9000,7862987,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-05,66.1900,66.3000,65.0500,65.9200,6071315,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-08,65.5000,65.9600,63.4000,64.6300,6791069,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-09,64.2600,65.2000,64.0000,64.5000,5553234,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-10,64.7600,65.8200,64.1500,64.3800,5551582,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-11,64.7000,64.8000,63.2000,63.5700,4946882,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-12,63.7000,64.7600,63.5000,63.5000,4212841,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-15,63.0900,65.1000,61.8300,64.9300,6901316,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-16,64.7200,65.1000,64.3300,64.8500,5430528,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-17,64.8600,65.6000,64.5000,64.9800,4985167,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-18,64.7500,65.0700,63.2000,64.2800,5092702,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-19,64.5900,65.0700,64.1100,64.9500,5597766,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
