time,open,high,low,close,volume,note
2022-08-05,98.0000,117.9500,81.1800,99.0000,26263806,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-06-27,83.2200,87.5000,81.9300,84.9500,14536442,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-06-30,85.3000,89.0100,84.3000,87.4900,11077864,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-01,87.9900,92.1300,85.0500,85.0900,14073077,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-02,84.1000,84.6000,81.8800,83.2000,9226147,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-03,83.1000,85.8500,82.8100,85.8000,7817647,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-04,85.0000,85.5000,82.5800,83.6500,7397925,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-07,83.6200,84.2000,81.5800,82.5000,5417765,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-08,83.5300,84.9600,83.0300,83.6800,5926616,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-09,83.8800,83.8900,81.6100,81.9800,5478435,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-10,81.4800,82.1800,80.3800,80.5300,5329159,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-11,80.5600,82.0700,79.8000,81.5900,5393616,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-14,81.6000,83.3900,80.6900,81.3600,4152834,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-15,81.0000,82.5700,80.0000,81.8500,5180700,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-16,82.0100,84.1900,81.7200,83.2700,5891244,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-17,83.1300,83.5300,82.5000,83.2200,4478125,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-18,83.1200,83.7300,81.0100,81.3500,5135242,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-21,81.8700,81.9600,80.6800,81.3800,3858047,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-22,81.5300,82.2000,80.9500,81.2100,3495680,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-23,81.3000,82.9300,81.0700,81.6800,4594749,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-24,81.8000,86.7600,81.8000,85.7900,10460638,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-25,85.6500,87.8000,85.2900,87.2000,7890707,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-28,87.0000,87.1000,85.2800,85.9500,4977702,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-29,85.7700,92.5000,85.3200,91.0300,12531027,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-30,90.0000,93.3500,89.5000,90.6900,10003844,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-07-31,90.1000,93.6600,89.0100,89.2800,8542323,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-01,88.5100,89.8000,87.3800,87.8600,6552615,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-04,87.0000,90.1500,86.8000,88.3000,5518041,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-05,88.5000,89.6600,87.8000,89.0000,4635704,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-06,89.0000,89.4800,87.7700,89.2300,4442447,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-07,88.7000,90.5900,87.8000,88.5100,6360953,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-08,87.9400,89.3000,87.8500,88.4800,3663936,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-11,89.2500,91.7900,89.1400,90.0800,6998584,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-12,90.0900,92.8600,87.2900,91.1100,8963064,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-13,91.1200,91.3600,88.7000,89.4900,8719451,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-14,89.4900,95.1200,89.4500,90.2600,13102569,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-15,89.5000,92.5600,88.8700,91.6200,7386180,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-18,90.7900,92.7000,89.6000,91.5000,11774936,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-19,91.5100,92.5800,90.0900,90.5700,8336771,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-20,90.5800,92.7800,88.8800,92.7800,10151256,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-21,91.6300,96.6500,91.2700,93.0100,13033272,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-22,92.0600,96.6000,92.0500,96.6000,13122806,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-25,100.0000,105.5000,95.6800,96.7300,18244805,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-26,97.7000,101.7000,97.0000,98.7100,12614442,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-27,99.0000,102.0000,97.3000,97.7900,14039980,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-28,96.8800,99.1800,94.7000,98.6400,13267324,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-08-29,98.0000,98.0000,94.0000,95.4600,10272975,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
