time,open,high,low,close,volume,note
2019-07-22,11.7000,15.2100,7.6900,12.2700,923624416,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-02-18,4.9100,4.9700,4.8900,4.9600,13943870,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-02-21,4.9600,4.9600,4.9200,4.9500,8020755,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-02-22,4.9200,4.9500,4.9000,4.9200,10282753,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-02-23,4.9200,4.9300,4.9000,4.9100,14405604,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-02-24,4.9100,4.9200,4.8100,4.8200,22829007,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-02-25,4.8400,4.8700,4.8200,4.8400,13796170,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-02-28,4.8400,4.8500,4.8000,4.8500,13619153,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-01,4.8300,4.8500,4.8200,4.8400,9055227,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-02,4.8300,4.8700,4.8200,4.8600,9915474,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-03,4.8600,4.9100,4.8600,4.8900,12355196,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-04,4.9000,4.9100,4.8600,4.8800,9752079,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-07,4.8500,4.8900,4.8100,4.8300,12832713,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-08,4.8200,4.8400,4.7800,4.7800,14983545,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-09,4.7800,4.8000,4.4800,4.6300,26539203,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-10,4.7100,4.7200,4.6300,4.6400,13484786,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-11,4.6200,4.7200,4.5100,4.7000,16867091,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-14,4.6800,4.7200,4.5800,4.5800,11459919,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-15,4.5800,4.5800,4.3400,4.3500,21991054,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-16,4.3900,4.4600,4.2800,4.4300,17433895,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-17,4.4800,4.4900,4.4300,4.4400,15154101,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-18,4.4300,4.4900,4.4200,4.4600,10676536,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-21,4.4800,4.5000,4.4300,4.4600,9717313,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-22,4.5000,4.5700,4.4800,4.5400,16196860,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-23,4.5000,4.5200,4.4900,4.5000,8067196,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-24,4.4900,4.4900,4.4300,4.4600,9304344,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-25,4.4500,4.4800,4.4400,4.4400,6006219,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-28,4.4200,4.4700,4.3900,4.4700,8926028,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-29,4.4600,4.4600,4.4200,4.4200,5847367,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-30,4.4300,4.4700,4.4200,4.4700,9165746,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-03-31,4.4500,4.4700,4.4400,4.4500,8046703,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-01,4.4300,4.4800,4.4300,4.4800,7146332,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
