time,open,high,low,close,volume,note
2018-01-02,94.9900,95.0000,91.0000,92.3300,729816,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-08-27,283.3500,298.1100,283.3500,289.6000,2053569,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-08-28,290.0000,295.9000,288.0000,292.1700,1517627,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-08-31,296.0000,297.8800,285.0000,285.1500,1817423,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-01,285.0000,286.9300,280.0000,284.0000,1332171,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-02,286.8700,289.1100,281.5100,282.2700,1170820,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-03,282.2700,307.4000,280.2900,288.8000,3439811,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-04,286.0100,309.0600,286.0100,296.0000,3755334,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-07,296.0100,299.1900,267.0000,268.0100,3690683,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-08,269.0100,278.8800,265.0200,274.0000,2057033,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-09,270.0000,281.9800,263.0000,275.0000,1998973,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-10,277.1000,282.3500,271.9700,271.9900,1876661,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-11,268.0000,283.6600,266.0500,282.2800,2303842,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-14,284.7600,288.8800,280.9000,284.8000,1987396,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-15,284.0000,295.9500,277.9900,289.6800,2177610,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-16,286.4000,292.9000,285.3000,287.9400,1754647,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-17,286.1800,302.9800,285.5000,299.9400,2776378,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-18,298.1600,308.9600,296.8600,302.5000,2149378,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-21,302.5500,307.8500,291.0000,292.4900,1947337,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-22,290.8700,302.8800,289.0000,292.1100,1901375,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-23,292.3100,298.7200,291.6000,295.7900,1476782,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-24,292.4700,299.9900,292.0000,293.4000,1223890,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-25,296.7000,297.2000,282.8800,284.2100,1432914,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-28,285.6300,288.9800,275.8200,286.0000,1251779,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-29,286.0000,288.8000,278.0200,285.1500,1190928,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-09-30,285.1900,305.0000,284.6800,299.3500,2011638,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-09,302.1000,308.1200,300.0100,307.7000,1613036,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-12,308.3500,321.0000,305.3000,318.6000,1918065,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-13,286.1000,304.9900,261.6600,275.0000,5625881,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-14,266.3300,267.9900,252.0200,254.6300,4242667,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-15,256.0000,260.9700,254.7000,258.1900,2162918,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-16,259.8000,259.9800,254.3000,257.3000,1109178,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-19,257.0000,257.0000,246.1000,248.6000,2097671,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-20,248.9800,250.3800,242.5700,250.3000,1749293,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-21,251.0300,252.0000,246.5900,249.7000,1229619,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-22,247.0000,252.0000,247.0000,248.0000,936863,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-23,247.0100,249.4500,237.5900,238.3800,1420765,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-26,235.9100,252.8600,235.0000,251.7000,1696530,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-27,251.4900,264.9500,249.0000,257.0400,1821506,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-28,253.1000,262.0000,253.0900,257.2300,1097082,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-29,255.0500,264.6600,251.0100,260.3300,1429434,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-10-30,263.1300,280.6500,259.5700,272.6000,3052446,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-02,271.0000,292.4900,270.6700,291.9000,2809053,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-03,290.0000,297.2800,285.5000,293.0000,2208660,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-04,290.0000,295.0000,283.1800,291.1000,1478228,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-05,294.6000,300.0000,291.5000,296.1900,1590411,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-06,295.0000,301.8000,292.1500,298.4000,1687023,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-09,304.0000,343.4000,303.0000,338.1800,4092863,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-10,329.5500,333.0000,320.2000,322.0000,2496162,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-11,326.8300,327.9800,292.1000,296.8900,2850897,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-12,306.8700,311.2800,300.1800,301.4000,1757334,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-13,304.0000,316.0000,301.0000,309.8500,1937902,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-16,309.5300,309.8800,299.3000,305.4800,1485799,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-17,305.0000,307.8900,292.5900,302.3000,2180528,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-18,302.0000,306.2700,296.0200,300.4700,1473359,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-19,295.9900,309.8800,294.5900,296.6400,1790127,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-20,296.6400,299.0000,291.0100,292.4600,1297858,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-23,288.0000,294.8800,282.2200,288.3000,1615050,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-24,288.3000,300.0100,286.1100,292.4900,1918693,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-25,289.5100,295.5800,289.0500,290.0100,1070326,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
