time,open,high,low,close,volume,note
2018-01-02,40.8300,41.3100,39.8100,40.8600,16014428,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-02,24.8200,25.2700,24.6700,24.8800,30027018,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-03,24.7000,24.8700,24.1400,24.5200,25754311,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-04,24.3800,24.8800,24.3200,24.7400,23031058,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-07,24.7400,25.2600,24.5600,24.6900,21860620,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-08,24.5600,25.1000,24.4100,25.0000,22622596,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-09,25.0900,25.0900,24.3600,24.3600,19805296,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-10,24.1900,24.5700,24.1000,24.2100,14485014,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-11,24.7000,24.8700,24.0300,24.1900,23674332,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-14,24.2000,24.5600,24.0300,24.3200,15497926,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-15,24.1200,24.7700,24.1200,24.7500,23905360,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-16,24.8100,24.9600,24.4400,24.5400,17946222,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-17,24.6500,25.5500,24.4500,25.5000,45190881,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-18,25.5600,26.2900,25.0000,25.2100,54912121,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-21,24.8000,25.1900,24.5700,25.0200,23508021,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-22,24.9000,25.5100,24.7100,24.9300,24322470,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-23,24.8000,25.6000,24.5500,25.0600,27925947,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-24,24.9000,25.1000,23.0800,23.2900,58606211,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-25,23.1500,23.4900,23.1000,23.2400,18686885,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-28,22.8000,23.3900,22.7100,23.1500,12800617,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-29,23.1500,23.6300,23.1000,23.4500,14522299,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-11-30,23.4500,23.7000,23.3700,23.4800,11372284,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-01,23.7000,24.0100,23.5800,23.9500,21453702,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-02,23.8800,24.2800,23.8000,23.8900,12931959,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-05,24.0900,24.2700,23.8000,24.2300,15410983,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-06,24.2200,24.4900,24.0000,24.2300,13849804,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-07,24.2900,24.2900,23.8500,24.0200,12884771,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-08,23.9200,24.0100,23.7000,23.7200,10613335,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-09,23.7000,23.7500,23.4200,23.5000,12188580,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-12,23.4000,23.8000,23.4000,23.6300,11070137,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-13,23.6400,23.7500,22.8700,23.0900,14874814,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-14,23.2500,23.4200,23.1300,23.2300,10894104,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-15,23.1400,23.5400,23.0100,23.3300,9330438,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-16,23.1700,23.1700,22.6000,22.7200,14947806,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-19,22.7200,22.9200,22.3500,22.5200,10943600,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-20,22.5800,22.7500,22.0700,22.1800,10087539,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-21,22.1900,22.2800,21.8300,22.0100,8602500,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-22,22.2000,22.2400,21.7800,21.9300,7955032,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-23,21.9000,22.0000,21.6700,21.8800,10147127,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-26,21.8900,22.2800,21.8800,22.1000,11040126,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-27,22.1800,22.2700,21.9200,22.2600,9208854,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
